node	edge_count
AZG1	10
F3A4.70	10
F2P9.21	10
CRRSP59	10
RID2	10
CYP704A1	10
NOB1	10
CYP86A1	10
MNJ8.10	10
F27C12.9	10
F4J3A9_ARATH	10
NOC4	10
ENP1	10
MEE6.25	10
F12A24.5	10
KIN14K	10
ELF6	10
F17L21.32	10
GPAT5	10
PRH	10
HAT3.1	10
FAR5	10
RPL40A	10
UBC22	10
FAD4L2	10
RPS27AC	10
RPS27AB	10
RPS27AA	10
RPL40B	10
AT1G78800	10
Q9LTU6_ARATH	10
BETAC-AD	10
EPSIN2	10
BETAB-AD	10
EPSIN1	10
F12A12.60	10
EPSIN3	10
AP17	10
AP2M	10
Q8RX85_ARATH	10
ALPHA-ADR	10
CRRSP58	10
CHC2	10
CLC2	10
LOG6	9
F7F22.4	9
MYB41	9
HHT1	9
MRN1	9
BARS1	9
CYP86B1	9
F26P21.70	9
F3F9.9	8
TPS27	8
BHLH129	8
TPS23	8
F7A10.8	8
LCBK1	8
MEE39	8
NCS1	8
UBC10	7
UBC9	7
KCS21	7
F24L7.7	7
KCS2	7
KCS17	7
FACT	7
UBC8	7
CYP705A5	7
SPHK2	7
dl3720w	7
CDC27A	6
F24O1.44	6
LRR-RLK-4	6
SPHK1	6
dl3725w	6
F4N21.7	6
F26F24.7	6
Q9LW74_ARATH	6
Dl4005W	6
CTU2	6
F28I16.260	6
F27G19.12	6
RBP47B	5
EIF(ISO)4E	5
WSD1	5
SUVR5	5
HDA19	5
HDA6	5
BAM3-2	4
RBP47C-2	4
RBP47C	4
OZF2	4
RPN8A	4
MYOB3	4
HDA9	4
CCT8	4
HDA7	4
HDA10	4
HDA17	4
F4J364_ARATH	4
NAT9	4
CCT7	4
PUP12	4
MAP65-8	3
ICR5	3
T22F8.170	3
NAT5	3
RHS16	3
NAT1	3
RLK7	3
NAT3	3
RBL-2	3
PAB2	3
TRO	3
NAT12	3
TBR	3
CCT5	3
F4I2N3_ARATH	2
K14B15.3	2
ENT1	2
RGP1	2
GLV8	2
PXC2	2
DRG2	2
VLN1	2
AREP1	2
F27J15.5	2
SYD	2
PUP14	2
K21L19.12	2
ROS3	2
DUF1	2
DUF6	2
RTFL18	2
RABD2C	1
LWD2	1
LWD1	1
F9D16.210	1
ACR9	1
MIK1	1
MKK3	1
RGI3	1
K18I23.5	1
CKA1	1
CW9	1
R18I.4	1
F23H11.10	1
BHLH54	1
TTG1	1
