#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BIN4	RHL1	3702.Q9FLU1	3702.O81242	0	0	0.421	0	0	0.237	0	0.793	0.900
BIN4	VHA-G1	3702.Q9FLU1	3702.O82628	0	0	0	0	0	0	0	0.639	0.639
BIN4	Q1G3U1_ARATH	3702.Q9FLU1	3702.Q1G3U1	0	0	0	0	0	0	0	0.758	0.758
BIN4	LUL4	3702.Q9FLU1	3702.Q8LA32	0	0	0	0	0	0	0	0.784	0.784
BIN4	TOP6B	3702.Q9FLU1	3702.Q9C5V6	0	0	0	0	0.265	0	0.720	0.855	0.967
BIN4	PUB7	3702.Q9FLU1	3702.Q9CAG5	0	0	0	0	0	0	0	0.881	0.881
BIN4	LUL1	3702.Q9FLU1	3702.Q9LYW5	0	0	0	0	0	0	0	0.718	0.718
BIN4	SPO11-2	3702.Q9FLU1	3702.Q9M4A1	0	0	0	0	0	0	0	0.718	0.718
BIN4	K9P8.9	3702.Q9FLU1	3702.Q9LTX5	0	0	0	0	0	0	0	0.719	0.719
BIN4	TOP6A	3702.Q9FLU1	3702.Q9LZ03	0	0	0	0	0	0	0.360	0.888	0.925
K9P8.9	BIN4	3702.Q9LTX5	3702.Q9FLU1	0	0	0	0	0	0	0	0.719	0.719
LUL1	BIN4	3702.Q9LYW5	3702.Q9FLU1	0	0	0	0	0	0	0	0.718	0.718
LUL4	BIN4	3702.Q8LA32	3702.Q9FLU1	0	0	0	0	0	0	0	0.784	0.784
PUB7	BIN4	3702.Q9CAG5	3702.Q9FLU1	0	0	0	0	0	0	0	0.881	0.881
Q1G3U1_ARATH	RHL1	3702.Q1G3U1	3702.O81242	0	0	0	0	0	0	0	0.759	0.759
Q1G3U1_ARATH	TOP6A	3702.Q1G3U1	3702.Q9LZ03	0	0	0	0	0	0	0	0.599	0.599
Q1G3U1_ARATH	TOP6B	3702.Q1G3U1	3702.Q9C5V6	0	0	0	0	0	0	0	0.717	0.717
Q1G3U1_ARATH	BIN4	3702.Q1G3U1	3702.Q9FLU1	0	0	0	0	0	0	0	0.758	0.758
RHL1	VHA-G1	3702.O81242	3702.O82628	0	0	0	0	0	0	0	0.476	0.476
RHL1	SPO11-2	3702.O81242	3702.Q9M4A1	0	0	0	0	0	0	0	0.491	0.491
RHL1	Q1G3U1_ARATH	3702.O81242	3702.Q1G3U1	0	0	0	0	0	0	0	0.759	0.759
RHL1	TOP6B	3702.O81242	3702.Q9C5V6	0	0	0.283	0	0	0	0	0.804	0.853
RHL1	TOP6A	3702.O81242	3702.Q9LZ03	0	0	0	0	0	0.474	0	0.795	0.887
RHL1	BIN4	3702.O81242	3702.Q9FLU1	0	0	0.421	0	0	0.237	0	0.793	0.900
SPO11-2	RHL1	3702.Q9M4A1	3702.O81242	0	0	0	0	0	0	0	0.491	0.491
SPO11-2	TOP6B	3702.Q9M4A1	3702.Q9C5V6	0.132	0	0.211	0	0.124	0.908	0	0.960	0.997
SPO11-2	BIN4	3702.Q9M4A1	3702.Q9FLU1	0	0	0	0	0	0	0	0.718	0.718
TOP6A	RHL1	3702.Q9LZ03	3702.O81242	0	0	0	0	0	0.474	0	0.795	0.887
TOP6A	Q1G3U1_ARATH	3702.Q9LZ03	3702.Q1G3U1	0	0	0	0	0	0	0	0.599	0.599
TOP6A	TOP6B	3702.Q9LZ03	3702.Q9C5V6	0.132	0	0.512	0	0.124	0.953	0.360	0.974	0.999
TOP6A	BIN4	3702.Q9LZ03	3702.Q9FLU1	0	0	0	0	0	0	0.360	0.888	0.925
TOP6B	RHL1	3702.Q9C5V6	3702.O81242	0	0	0.283	0	0	0	0	0.804	0.853
TOP6B	VHA-G1	3702.Q9C5V6	3702.O82628	0	0	0	0	0	0	0	0.543	0.543
TOP6B	Q1G3U1_ARATH	3702.Q9C5V6	3702.Q1G3U1	0	0	0	0	0	0	0	0.717	0.717
TOP6B	BIN4	3702.Q9C5V6	3702.Q9FLU1	0	0	0	0	0.265	0	0.720	0.855	0.967
TOP6B	SPO11-2	3702.Q9C5V6	3702.Q9M4A1	0.132	0	0.211	0	0.124	0.908	0	0.960	0.997
TOP6B	TOP6A	3702.Q9C5V6	3702.Q9LZ03	0.132	0	0.512	0	0.124	0.953	0.360	0.974	0.999
VHA-G1	RHL1	3702.O82628	3702.O81242	0	0	0	0	0	0	0	0.476	0.476
VHA-G1	TOP6B	3702.O82628	3702.Q9C5V6	0	0	0	0	0	0	0	0.543	0.543
VHA-G1	BIN4	3702.O82628	3702.Q9FLU1	0	0	0	0	0	0	0	0.639	0.639
