#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CYCD3-1	CYCU2-2	3702.P42753	3702.Q9M205	0	0	0	0	0	0	0	0.428	0.428
CYCD3-1	SIM	3702.P42753	3702.Q9LZ78	0	0	0	0	0	0	0	0.609	0.609
CYCD3-1	KRP1-2	3702.P42753	3702.Q67Y93	0	0	0	0	0	0.696	0	0.875	0.960
CYCU2-2	CYCD3-1	3702.Q9M205	3702.P42753	0	0	0	0	0	0	0	0.428	0.428
CYCU2-2	SIM	3702.Q9M205	3702.Q9LZ78	0	0	0	0	0.060	0	0	0.714	0.719
Dl3855w	FKBP43	3702.Q8L8Z1	3702.F4J9Q6	0	0	0	0	0.068	0	0	0.826	0.830
Dl3855w	UMAMIT24	3702.Q8L8Z1	3702.Q4PT23	0	0	0	0	0	0	0	0.794	0.794
Dl3855w	SIM	3702.Q8L8Z1	3702.Q9LZ78	0	0	0	0	0	0	0	0.790	0.790
Dl3855w	K15I22.11	3702.Q8L8Z1	3702.Q9FJ45	0	0	0	0	0	0	0	0.896	0.896
F4J8A2_ARATH	SIM	3702.F4J8A2	3702.Q9LZ78	0	0	0	0	0	0	0	0.784	0.784
F9C22.2	KRP1-2	3702.Q9SIH5	3702.Q67Y93	0	0	0	0	0	0	0	0.549	0.549
F9C22.2	SIM	3702.Q9SIH5	3702.Q9LZ78	0	0	0	0	0	0	0	0.791	0.791
FKBP43	SIM	3702.F4J9Q6	3702.Q9LZ78	0	0	0	0	0	0	0	0.784	0.784
FKBP43	UMAMIT24	3702.F4J9Q6	3702.Q4PT23	0	0	0	0	0	0	0	0.792	0.792
FKBP43	Dl3855w	3702.F4J9Q6	3702.Q8L8Z1	0	0	0	0	0.068	0	0	0.826	0.830
FKBP43	K15I22.11	3702.F4J9Q6	3702.Q9FJ45	0	0	0	0	0	0	0	0.890	0.890
K15I22.11	FKBP43	3702.Q9FJ45	3702.F4J9Q6	0	0	0	0	0	0	0	0.890	0.890
K15I22.11	UMAMIT24	3702.Q9FJ45	3702.Q4PT23	0	0	0	0	0	0	0	0.803	0.803
K15I22.11	Dl3855w	3702.Q9FJ45	3702.Q8L8Z1	0	0	0	0	0	0	0	0.896	0.896
K15I22.11	SIM	3702.Q9FJ45	3702.Q9LZ78	0	0	0	0	0	0	0	0.793	0.793
KRP1-2	CYCD3-1	3702.Q67Y93	3702.P42753	0	0	0	0	0	0.696	0	0.875	0.960
KRP1-2	F9C22.2	3702.Q67Y93	3702.Q9SIH5	0	0	0	0	0	0	0	0.549	0.549
KRP1-2	SIM	3702.Q67Y93	3702.Q9LZ78	0	0	0	0	0	0	0	0.805	0.805
SIM	F4J8A2_ARATH	3702.Q9LZ78	3702.F4J8A2	0	0	0	0	0	0	0	0.784	0.784
SIM	FKBP43	3702.Q9LZ78	3702.F4J9Q6	0	0	0	0	0	0	0	0.784	0.784
SIM	CYCD3-1	3702.Q9LZ78	3702.P42753	0	0	0	0	0	0	0	0.609	0.609
SIM	UMAMIT24	3702.Q9LZ78	3702.Q4PT23	0	0	0	0	0	0	0	0.719	0.719
SIM	KRP1-2	3702.Q9LZ78	3702.Q67Y93	0	0	0	0	0	0	0	0.805	0.805
SIM	Dl3855w	3702.Q9LZ78	3702.Q8L8Z1	0	0	0	0	0	0	0	0.790	0.790
SIM	K15I22.11	3702.Q9LZ78	3702.Q9FJ45	0	0	0	0	0	0	0	0.793	0.793
SIM	CYCU2-2	3702.Q9LZ78	3702.Q9M205	0	0	0	0	0.060	0	0	0.714	0.719
SIM	TAC1-2	3702.Q9LZ78	3702.Q9SR34	0	0	0	0	0.063	0	0	0.717	0.723
SIM	F9C22.2	3702.Q9LZ78	3702.Q9SIH5	0	0	0	0	0	0	0	0.791	0.791
TAC1-2	SIM	3702.Q9SR34	3702.Q9LZ78	0	0	0	0	0.063	0	0	0.717	0.723
UMAMIT24	FKBP43	3702.Q4PT23	3702.F4J9Q6	0	0	0	0	0	0	0	0.792	0.792
UMAMIT24	SIM	3702.Q4PT23	3702.Q9LZ78	0	0	0	0	0	0	0	0.719	0.719
UMAMIT24	Dl3855w	3702.Q4PT23	3702.Q8L8Z1	0	0	0	0	0	0	0	0.794	0.794
UMAMIT24	K15I22.11	3702.Q4PT23	3702.Q9FJ45	0	0	0	0	0	0	0	0.803	0.803
