node	edge_count
RBR1	46
CDKA-1	31
CKS1	29
CYCA2-3	27
CDKB2-1	24
CDKB1-2	23
CDC6	22
CKS2	22
CDKB1-1	21
FZR2	21
E2FC	20
DPB	17
CDKB2-2	16
E2FA	16
APC8	15
DPA	15
APC7	15
APC10	15
APC4	15
KRP2	14
FZR3	14
FZR1	14
CYCD3-1	14
CYCA2-1	13
MSI1	12
PYM	12
WEE1	12
E2FE	11
CYCD5-1	11
ALY1	11
CYCD2-1	11
E2FB	11
ALY3	11
ALY2	11
APC1	10
BIN4	10
APC5	10
UPL3	10
UBA1	10
APC2	10
MCM7	10
CDC27B	10
CYCB1-2	10
CDC27A	10
MYB3R3	10
MCM6	10
MCM5	10
ORC3	10
ORC5	10
ORC2	10
TCP15	10
APC6	10
SIM	10
MCM3	10
MCM4	10
CDT1A	9
YUP8H12.3	9
PUB1	9
F12P19.7	9
UBC37	9
UBA2	9
ECR1	9
PRT6	9
ATG7	9
CDC20-1	9
CDT1B	9
CYCB1-3	9
TCP13	8
CYCB1-1	8
FBL17	8
TCP4	8
CYCA3-4	8
CYCD4-1	8
KRP4	8
KRP3	8
CYCD3-2	8
T2P4.2	8
CDC25	7
TCP10	7
TCP5	7
TCP3	7
KRP5	7
TCP24	6
TCP2	6
RHL1	6
TOP6B	6
CYCA3-3	6
CYCD4-2	6
SMR8	5
CYCA1-1	5
CYCA2-2	5
CYCA2-4	5
FKBP43	4
TOP6A	4
Dl3855w	4
Q1G3U1_ARATH	4
UMAMIT24	4
K15I22.11	4
SOG1	4
SPO11-2	3
VHA-G1	3
KRP1-2	3
SRFR1	3
UBP12	2
SKP2A	2
CYCU2-2	2
F9C22.2	2
F4J8A2_ARATH	1
LUL4	1
K9P8.9	1
LUL1	1
PUB7	1
GATA27	1
DAR1	1
DAR2	1
TAC1-2	1
