protein1 protein2 neighborhood neighborhood_transferred fusion cooccurence homology coexpression coexpression_transferred experiments experiments_transferred database database_transferred textmining textmining_transferred combined_score
3702.Q84WJ2 POLA 0 0 0 0 0 210 920 0 991 540 933 353 516 999
3702.Q84WJ2 RFC3 0 0 0 0 0 69 606 0 79 0 933 784 511 997
DPB2 3702.Q8GWQ6 0 0 0 0 0 0 0 0 991 0 0 0 0 991
3702.Q8GWQ6 RD21C 0 0 0 0 0 0 0 0 991 0 50 0 0 991
3702.Q8RXY0 ATR 0 0 0 0 0 0 0 0 977 0 0 0 516 988
CDC25 3702.Q8RXY0 0 0 0 0 0 0 121 0 897 0 936 0 428 996
RD21C ATHB-51 0 0 0 0 0 0 0 0 0 0 0 735 0 735
ATR RAD17 0 0 0 0 0 42 0 0 884 0 732 780 516 996
CDC25 WEE1 0 0 0 0 0 0 80 0 884 0 85 941 464 996
DPB2 POLA 0 0 0 0 0 79 677 0 817 540 931 540 516 999
RFC3 RAD17 0 0 0 0 0 0 71 0 991 0 936 0 516 999
