protein1 protein2 neighborhood neighborhood_transferred fusion cooccurence homology coexpression coexpression_transferred experiments experiments_transferred database database_transferred textmining textmining_transferred combined_score
3702.Q56XE4 3702.Q8RUH0 0 0 0 0 0 0 489 0 986 540 724 0 516 999
RNU1 3702.Q56XE4 0 0 0 0 0 0 76 0 884 540 437 952 396 999
3702.Q8GWQ6 CYP18-2 0 0 0 0 0 44 0 0 898 0 879 0 0 987
3702.Q8GWQ6 RD21C 0 0 0 0 0 0 0 0 991 0 50 0 0 991
3702.Q8RUH0 CBP20 0 0 0 0 0 138 172 0 985 0 437 0 396 995
3702.Q8RXY0 ATR 0 0 0 0 0 0 0 0 977 0 0 0 516 988
CDC25 3702.Q8RXY0 0 0 0 0 0 0 121 0 897 0 936 0 428 996
3702.Q96251 3702.Q9FT52 0 0 0 0 0 161 850 0 889 720 647 540 425 999
atpF 3702.Q96251 0 132 0 0 0 0 850 0 889 540 591 0 425 998
3702.Q9FNN5 APC3 0 0 0 0 0 0 0 0 765 0 455 0 75 871
CIB22 3702.Q9FNN5 0 0 0 0 0 54 920 800 987 900 591 0 447 999
CIB22 3702.Q9FT52 0 0 0 0 0 250 996 0 49 0 0 0 309 997
DRB1 3702.Q9FVT2 0 0 0 0 0 53 548 0 897 0 884 0 423 996
RPL5B 3702.Q9FVT2 0 0 0 0 0 105 999 0 201 0 0 0 208 999
RPS29C 3702.Q9LSA1 0 0 0 0 0 106 849 0 888 0 691 0 425 996
rps16 3702.Q9LSA1 0 0 0 0 0 0 850 0 888 0 691 0 425 996
ALY1 RBR1 0 0 0 0 0 0 206 0 732 900 625 0 425 994
Y14 ALY1 0 0 0 0 0 48 78 994 85 0 622 0 331 998
ALY2 RBR1 0 0 0 0 0 0 206 0 732 900 625 0 425 994
THO2 ALY2 0 0 0 0 0 0 80 0 808 900 602 721 401 998
APC6 APC10 0 0 0 0 0 0 0 497 990 540 936 941 514 999
APC8 APC10 0 0 0 0 0 0 64 497 987 540 936 953 514 999
CDKA-1 APC10 0 0 0 0 0 0 96 497 48 0 510 789 219 956
RD21C ATHB-51 0 0 0 0 0 0 0 0 0 0 0 735 0 735
CAS1 SQE1 0 0 0 362 0 69 282 0 0 900 279 718 115 990
CBP20 SE 0 0 0 0 0 0 0 292 982 540 872 719 513 999
Y14 CBP20 0 0 0 0 0 45 126 0 985 0 909 400 209 999
CDKA-1 CDC25 0 0 0 0 0 0 62 0 622 0 563 866 288 982
CDC25 WEE1 0 0 0 0 0 0 80 0 884 0 85 941 464 996
CDC5 MOS4 0 0 0 0 0 44 70 835 986 540 936 967 513 999
CDC5 MSJ1.11 0 0 0 0 0 69 273 0 991 0 0 363 485 997
CDC5 PRP8A 0 0 0 0 0 72 114 994 901 0 0 319 427 999
THO2 CDC5 0 0 0 0 0 0 191 204 990 0 0 695 300 998
CDKA-1 CYCD3-1 0 0 0 0 0 0 94 836 289 0 303 978 111 998
CDKA-1 KRP7 0 0 0 0 0 0 0 703 0 0 0 793 0 935
CDKA-1 RBR1 0 0 0 0 0 0 64 230 526 0 551 917 433 991
CDKB1-1 RBR1 0 0 0 0 0 0 64 206 526 0 551 899 425 988
U2AF65A CDKG1 0 0 0 0 0 65 0 0 0 0 0 892 0 894
CYCD3-1 KRP1 0 0 0 0 0 0 0 696 0 0 0 875 0 960
CYCL1-1 MOS4 0 0 0 0 0 45 0 292 0 0 0 793 0 847
CYP18-2 PRP8A 0 0 0 0 0 0 53 994 408 0 90 0 0 996
DPA E2FB 0 0 0 404 0 81 0 831 0 900 0 888 289 999
E2FE DPA 0 0 0 299 0 51 0 0 0 0 0 790 289 887
DRB1 SE 0 0 0 0 0 0 0 811 0 0 0 946 0 989
E2FA RBR1 0 0 0 0 0 72 68 780 897 0 765 965 450 999
E2FB RBR1 0 0 0 0 0 0 0 783 0 900 0 970 507 999
E2FC RBR1 0 0 0 0 0 0 68 603 897 900 765 898 450 999
FBL17 KRP7 0 0 0 0 0 0 0 623 0 0 0 899 0 960
SBT1.2 GTL1 0 0 0 0 0 0 0 0 0 0 0 926 0 926
HMGS PED1 0 125 0 0 0 46 741 0 860 900 574 0 369 998
HMGS SQE1 0 0 0 0 0 83 677 0 0 0 0 793 309 951
KRP1 SIM 0 0 0 0 0 0 0 0 0 0 0 805 0 805
MED16 MED14 0 0 0 0 0 59 0 478 0 900 0 964 0 997
RPL9C MED14 0 0 0 0 0 0 99 0 884 0 649 0 423 976
MED16 MED25 0 0 0 0 0 0 0 0 47 900 0 984 0 998
MYC2 MED25 0 0 0 0 0 0 0 474 0 0 0 983 0 990
U2AF65A MSJ1.11 0 0 244 0 0 63 163 0 737 540 0 852 284 990
MYC2 TIFY6A 0 0 0 0 0 0 0 292 0 900 0 785 0 983
PEX5 NBR1 0 0 0 0 0 42 0 0 59 0 940 793 516 993
RPL40B NBR1 0 0 0 0 0 0 0 0 991 0 871 0 204 998
PED1 PEX7 0 0 0 0 0 50 0 221 888 0 672 719 398 994
PEX5 PEX7 0 0 0 0 0 0 0 625 895 900 936 964 513 999
SKIP PRP8A 0 0 0 0 0 62 68 994 876 0 0 0 309 999
Y14 PYM 0 0 0 0 0 0 0 0 991 900 0 891 428 999
RNU1 RS2Z33 0 0 0 0 0 69 104 994 209 0 324 784 116 999
RPL40B RPS29C 0 0 0 0 0 430 865 0 926 0 746 0 425 999
RPL40B UBP14 0 0 0 0 0 0 0 0 888 0 756 306 97 980
RPL9C RPL5B 0 118 0 0 0 307 897 163 926 0 739 794 428 999
RPL5B RPS29C 0 122 0 0 0 177 923 0 991 0 0 0 514 999
SCL28 RS2Z33 0 0 0 0 0 0 0 994 79 0 170 739 64 998
SBT1.2 SPCH 0 0 0 0 0 211 0 0 0 0 0 892 0 911
SPCH SCRM 0 0 0 0 0 78 0 230 0 0 0 998 0 998
TIFY6A SCRM 0 0 0 0 0 0 0 292 0 0 0 978 0 983
atpF rps16 0 106 0 0 0 427 736 0 0 0 0 926 425 993
