protein1 protein2 neighborhood neighborhood_transferred fusion cooccurence homology coexpression coexpression_transferred experiments experiments_transferred database database_transferred textmining textmining_transferred combined_score
HMG1 3702.P46086 0 144 0 0 0 0 125 0 57 900 594 699 478 994
3702.P46086 PMK 0 0 0 0 0 0 73 0 0 900 661 928 515 998
3702.Q56XE4 MSJ1.11 0 0 0 0 0 0 80 0 976 360 807 280 512 998
RNU1 3702.Q56XE4 0 0 0 0 0 0 76 0 884 540 437 952 396 999
3702.Q683D4 3702.Q9FMU5 0 0 0 0 0 108 470 0 991 540 753 0 65 999
3702.Q683D4 RPS28B 0 0 0 0 0 250 723 0 902 720 593 597 204 999
3702.Q94C55 DDB1A 0 0 0 0 0 0 0 0 899 720 765 0 479 996
3702.Q94C55 PCNA 0 0 0 0 0 163 273 0 901 0 743 0 81 983
3702.Q9FMU5 NOP56 0 0 0 0 0 305 727 0 906 540 644 0 304 997
ALY2 RBR1 0 0 0 0 0 0 206 0 732 900 625 0 425 994
THO2 ALY2 0 0 0 0 0 0 80 0 808 900 602 721 401 998
ALY3 RBR1 0 0 0 0 0 0 206 0 732 900 625 0 425 994
Y14 ALY3 0 0 0 0 0 0 78 994 85 0 622 0 331 998
APC4 APC10 0 0 0 0 0 0 0 497 990 540 936 922 515 999
APC6 APC10 0 0 0 0 0 0 0 497 990 540 936 941 514 999
APC8 APC10 0 0 0 0 0 0 64 497 987 540 936 953 514 999
CDC20-2 APC10 0 0 0 0 0 0 0 230 661 540 545 784 299 989
CDC20-6 APC10 0 0 0 0 0 0 0 0 661 540 545 785 299 987
CDKA-1 APC10 0 0 0 0 0 0 96 497 48 0 510 789 219 956
FZR1 APC10 0 0 0 0 0 0 0 497 661 540 545 865 288 995
APC4 UBC19 0 0 0 0 0 0 0 0 884 0 765 165 309 982
APC6 CDC20-3 0 0 0 0 0 0 67 0 728 540 549 823 283 991
APC6 CDC20-4 0 0 0 0 0 0 67 0 728 540 549 780 283 989
APC6 CDC20-5 0 0 0 0 0 0 67 0 728 540 549 785 283 989
APC8 CDC20-1 0 0 0 0 0 56 53 497 694 540 549 881 284 996
FZR2 APC8 0 0 0 0 0 0 53 497 694 540 549 717 284 992
ATR ATM 0 0 0 0 561 69 257 0 926 0 607 430 464 992
ATM RAD50 0 0 0 0 0 126 77 0 884 0 743 801 370 996
ATR RAD17 0 0 0 0 0 42 0 0 884 0 732 780 516 996
SOG1 ATR 0 0 0 0 0 81 0 0 0 0 0 926 0 929
CAS1 SQE1 0 0 0 362 0 69 282 0 0 900 279 718 115 990
CBF5 NOP56 0 0 0 0 0 514 579 195 522 540 0 892 229 996
CBF5 TERT 0 0 0 0 0 0 0 292 198 0 566 987 284 997
CDC5 MOS4 0 0 0 0 0 44 70 835 986 540 936 967 513 999
CDC5 MSJ1.11 0 0 0 0 0 69 273 0 991 0 0 363 485 997
THO2 CDC5 0 0 0 0 0 0 191 204 990 0 0 695 300 998
CDKA-1 CYCD3-1 0 0 0 0 0 0 94 836 289 0 303 978 111 998
CDKA-1 KRP2 0 0 0 0 0 0 0 837 0 0 0 880 0 979
CDKA-1 KRP7 0 0 0 0 0 0 0 703 0 0 0 793 0 935
CDKA-1 RBR1 0 0 0 0 0 0 64 230 526 0 551 917 433 991
CDKB1-1 CYCA2-3 0 0 0 0 0 88 245 728 285 0 306 974 209 997
CDKB1-1 RBR1 0 0 0 0 0 0 64 206 526 0 551 899 425 988
CDKB1-1 SMR1 0 0 0 0 0 0 0 497 0 0 0 654 0 818
CYCL1-1 CDKG1 0 0 0 0 0 0 50 206 307 0 0 794 390 922
COI1 SKP1A 0 0 0 0 0 0 0 983 195 0 151 994 47 999
COI1 TIFY10A 0 0 0 0 0 0 0 982 78 900 0 998 42 999
CUL4 DDB1A 0 0 0 264 0 98 81 830 823 720 601 982 318 999
CUL4 RBX1A 0 0 0 0 0 0 0 618 639 0 598 998 318 999
CYCD3-1 KRP1 0 0 0 0 0 0 0 696 0 0 0 875 0 960
CYCL1-1 MOS4 0 0 0 0 0 45 0 292 0 0 0 793 0 847
E2FA DPA 0 0 0 390 0 71 79 804 838 0 639 996 382 999
E2FE DPA 0 0 0 299 0 51 0 0 0 0 0 790 289 887
DPA RBR1 0 0 0 0 0 0 81 624 887 900 750 873 476 999
E2FA DPB 0 0 0 362 0 0 79 804 838 0 639 920 382 999
DPB E2FC 0 0 0 370 0 0 79 618 838 900 639 988 382 999
E2FA RBR1 0 0 0 0 0 72 68 780 897 0 765 965 450 999
E2FB RBR1 0 0 0 0 0 0 0 783 0 900 0 970 507 999
E2FE FZR1 0 0 0 0 0 0 126 0 0 0 0 892 0 901
FBL17 KRP7 0 0 0 0 0 0 0 623 0 0 0 899 0 960
FIB2 MED19A 0 0 0 0 0 0 0 0 0 900 0 891 0 988
FIB2 NOP56 0 0 0 0 0 455 742 193 832 540 601 795 319 999
SBT1.2 GTL1 0 0 0 0 0 0 0 0 0 0 0 926 0 926
HMG1 HMGS 0 144 0 0 0 53 911 0 0 900 594 884 476 999
HMGS SQE1 0 0 0 0 0 83 677 0 0 0 0 793 309 951
KRP1 SIM 0 0 0 0 0 0 0 0 0 0 0 805 0 805
KU70 RAD50 0 0 0 0 0 139 80 0 890 0 732 717 457 995
KU70 TERT 0 0 0 0 0 0 0 0 887 0 0 939 514 996
MED16 MED19A 0 0 0 0 0 0 0 0 0 900 0 885 0 988
MOS4 PRP8A 0 0 0 0 0 44 0 994 901 0 0 305 293 999
MSJ1.11 PRP40C 0 0 0 0 0 0 166 0 990 0 0 484 64 995
MYC2 TIFY10A 0 0 0 0 0 308 0 874 181 900 0 993 0 999
MYC2 TIFY6A 0 0 0 0 0 0 0 292 0 900 0 785 0 983
RFC3 PCNA 0 77 0 0 0 78 669 0 926 0 763 599 303 998
PMK PRP40C 0 0 0 0 0 0 0 0 985 0 0 0 0 985
SKIP PRP8A 0 0 0 0 0 62 68 994 876 0 0 0 309 999
Y14 PYM 0 0 0 0 0 0 0 0 991 900 0 891 428 999
RFC3 RAD17 0 0 0 0 0 0 71 0 991 0 936 0 516 999
SKP1A RBX1A 0 0 0 0 0 78 64 0 502 0 373 999 166 999
RNU1 RS2Z33 0 0 0 0 0 69 104 994 209 0 324 784 116 999
RPL40B RPS29C 0 0 0 0 0 430 865 0 926 0 746 0 425 999
RPL40B UBP14 0 0 0 0 0 0 0 0 888 0 756 306 97 980
