#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATPK1	F4IIZ5_ARATH	3702.P42818	3702.F4IIZ5	0	0	0	0	0	0.662	0.495	0.247	0.860
ATPK1	RPS6A	3702.P42818	3702.O48549	0	0	0	0	0	0.415	0.601	0.918	0.979
ATPK1	LST8-1	3702.P42818	3702.Q9LV27	0	0	0	0	0	0.078	0.593	0.711	0.882
ATPK1	PDPK2	3702.P42818	3702.Q4V3C8	0	0	0.128	0.782	0.043	0.723	0.601	0.209	0.913
ATPK1	PDPK1	3702.P42818	3702.Q9XF67	0	0	0.126	0.785	0	0.723	0.601	0.287	0.921
ATPK1	FKBP12	3702.P42818	3702.Q8LGG0	0	0	0	0	0.076	0.053	0.655	0.828	0.941
ATPK1	RPS6B	3702.P42818	3702.P51430	0	0	0	0	0.048	0.415	0.601	0.826	0.956
ATPK1	RAPTOR2	3702.P42818	3702.Q9LZW9	0	0	0	0	0	0.532	0.498	0.849	0.961
ATPK1	RAPTOR1	3702.P42818	3702.Q93YQ1	0	0	0	0	0	0.716	0.498	0.853	0.977
ATPK1	TOR	3702.P42818	3702.Q9FR53	0	0	0	0	0	0.750	0.495	0.835	0.977
F4IIZ5_ARATH	ATPK1	3702.F4IIZ5	3702.P42818	0	0	0	0	0	0.662	0.495	0.247	0.860
F4IIZ5_ARATH	FKBP12	3702.F4IIZ5	3702.Q8LGG0	0	0	0	0	0	0.826	0	0.397	0.890
F4IIZ5_ARATH	LST8-1	3702.F4IIZ5	3702.Q9LV27	0	0	0	0	0	0.788	0.593	0.306	0.934
F4IIZ5_ARATH	RAPTOR2	3702.F4IIZ5	3702.Q9LZW9	0	0	0	0	0.117	0.788	0.593	0.305	0.939
F4IIZ5_ARATH	RAPTOR1	3702.F4IIZ5	3702.Q93YQ1	0	0	0	0	0.117	0.788	0.593	0.305	0.939
FKBP12	F4IIZ5_ARATH	3702.Q8LGG0	3702.F4IIZ5	0	0	0	0	0	0.826	0	0.397	0.890
FKBP12	RPS6A	3702.Q8LGG0	3702.O48549	0	0	0	0	0.124	0.583	0	0.789	0.916
FKBP12	ATPK1	3702.Q8LGG0	3702.P42818	0	0	0	0	0.076	0.053	0.655	0.828	0.941
FKBP12	RPS6B	3702.Q8LGG0	3702.P51430	0	0	0	0	0.213	0.583	0	0.063	0.665
FKBP12	LST8-1	3702.Q8LGG0	3702.Q9LV27	0	0	0	0	0.070	0.617	0	0.723	0.892
FKBP12	RAPTOR2	3702.Q8LGG0	3702.Q9LZW9	0	0	0	0	0	0.753	0	0.843	0.959
FKBP12	RAPTOR1	3702.Q8LGG0	3702.Q93YQ1	0	0	0	0	0	0.753	0	0.885	0.970
FKBP12	TOR	3702.Q8LGG0	3702.Q9FR53	0	0	0	0	0	0.826	0	0.935	0.988
LST8-1	F4IIZ5_ARATH	3702.Q9LV27	3702.F4IIZ5	0	0	0	0	0	0.788	0.593	0.306	0.934
LST8-1	RPS6A	3702.Q9LV27	3702.O48549	0	0	0	0	0	0	0	0.817	0.817
LST8-1	ATPK1	3702.Q9LV27	3702.P42818	0	0	0	0	0	0.078	0.593	0.711	0.882
LST8-1	RPS6B	3702.Q9LV27	3702.P51430	0	0	0	0	0	0	0	0.418	0.418
LST8-1	FKBP12	3702.Q9LV27	3702.Q8LGG0	0	0	0	0	0.070	0.617	0	0.723	0.892
LST8-1	RAPTOR1	3702.Q9LV27	3702.Q93YQ1	0	0	0	0.579	0	0.922	0.924	0.639	0.997
LST8-1	TOR	3702.Q9LV27	3702.Q9FR53	0	0	0	0	0	0.859	0.957	0.851	0.999
LST8-1	RAPTOR2	3702.Q9LV27	3702.Q9LZW9	0	0	0	0	0	0.888	0.924	0.937	0.999
PDPK1	RPS6A	3702.Q9XF67	3702.O48549	0	0	0	0	0	0.058	0	0.790	0.793
PDPK1	ATPK1	3702.Q9XF67	3702.P42818	0	0	0.126	0.785	0	0.723	0.601	0.287	0.921
PDPK1	RPS6B	3702.Q9XF67	3702.P51430	0	0	0	0	0	0.058	0	0.804	0.808
PDPK1	TOR	3702.Q9XF67	3702.Q9FR53	0	0	0	0	0.284	0.077	0	0.640	0.741
PDPK2	ATPK1	3702.Q4V3C8	3702.P42818	0	0	0.128	0.782	0.043	0.723	0.601	0.209	0.913
RAPTOR1	F4IIZ5_ARATH	3702.Q93YQ1	3702.F4IIZ5	0	0	0	0	0.117	0.788	0.593	0.305	0.939
RAPTOR1	RPS6A	3702.Q93YQ1	3702.O48549	0	0	0	0	0	0.067	0	0.862	0.866
RAPTOR1	ATPK1	3702.Q93YQ1	3702.P42818	0	0	0	0	0	0.716	0.498	0.853	0.977
RAPTOR1	RPS6B	3702.Q93YQ1	3702.P51430	0	0	0	0	0	0.067	0	0.489	0.503
RAPTOR1	FKBP12	3702.Q93YQ1	3702.Q8LGG0	0	0	0	0	0	0.753	0	0.885	0.970
RAPTOR1	RAPTOR2	3702.Q93YQ1	3702.Q9LZW9	0	0	0.050	0.981	0.043	0.081	0.900	0.058	0.906
RAPTOR1	LST8-1	3702.Q93YQ1	3702.Q9LV27	0	0	0	0.579	0	0.922	0.924	0.639	0.997
RAPTOR1	TOR	3702.Q93YQ1	3702.Q9FR53	0	0	0	0	0.171	0.871	0.957	0.926	0.999
