#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BASL	ERL1	3702.Q5BPF3	3702.C0LGW6	0	0	0	0	0.103	0	0	0.795	0.808
BASL	KINUA	3702.Q5BPF3	3702.Q9FZ06	0	0	0	0	0	0	0	0.824	0.824
BASL	TMM	3702.Q5BPF3	3702.Q9SSD1	0	0	0	0	0.235	0	0	0.785	0.828
BASL	EPFL9	3702.Q5BPF3	3702.Q9SV72	0	0	0	0	0.090	0	0	0.820	0.829
BASL	EPF1	3702.Q5BPF3	3702.Q8S8I4	0	0	0	0	0.140	0	0	0.899	0.909
BASL	MUTE	3702.Q5BPF3	3702.Q9M8K6	0	0	0	0	0.203	0	0	0.896	0.913
BASL	EPF2	3702.Q5BPF3	3702.Q8LC53	0	0	0	0	0.307	0	0	0.899	0.927
BASL	YDA	3702.Q5BPF3	3702.Q9CAD5	0	0	0	0	0	0	0	0.935	0.935
BASL	BRXL2	3702.Q5BPF3	3702.Q8GYL9	0	0	0	0	0	0	0	0.953	0.953
BASL	SPCH	3702.Q5BPF3	3702.Q700C7	0	0	0	0	0.401	0	0	0.929	0.955
BRXL2	BASL	3702.Q8GYL9	3702.Q5BPF3	0	0	0	0	0	0	0	0.953	0.953
BRXL2	SPCH	3702.Q8GYL9	3702.Q700C7	0	0	0	0	0	0	0	0.795	0.795
BRXL2	EPF1	3702.Q8GYL9	3702.Q8S8I4	0	0	0	0	0	0	0	0.540	0.540
BRXL2	MUTE	3702.Q8GYL9	3702.Q9M8K6	0	0	0	0	0	0	0	0.600	0.600
BRXL2	EPF2	3702.Q8GYL9	3702.Q8LC53	0	0	0	0	0	0	0	0.697	0.697
EPF1	ERL1	3702.Q8S8I4	3702.C0LGW6	0	0	0	0	0.069	0.926	0.900	0.991	0.999
EPF1	BASL	3702.Q8S8I4	3702.Q5BPF3	0	0	0	0	0.140	0	0	0.899	0.909
EPF1	SPCH	3702.Q8S8I4	3702.Q700C7	0	0	0	0	0.141	0	0	0.928	0.935
EPF1	BRXL2	3702.Q8S8I4	3702.Q8GYL9	0	0	0	0	0	0	0	0.540	0.540
EPF1	EPF2	3702.Q8S8I4	3702.Q8LC53	0	0	0	0.808	0.126	0	0.900	0.218	0.925
EPF1	YDA	3702.Q8S8I4	3702.Q9CAD5	0	0	0	0	0	0	0	0.892	0.892
EPF1	MUTE	3702.Q8S8I4	3702.Q9M8K6	0	0	0	0	0.186	0	0	0.929	0.939
EPF1	EPFL9	3702.Q8S8I4	3702.Q9SV72	0	0	0	0	0.100	0	0	0.964	0.966
EPF1	TMM	3702.Q8S8I4	3702.Q9SSD1	0	0	0	0	0.211	0.900	0	0.854	0.987
EPF2	ERL1	3702.Q8LC53	3702.C0LGW6	0	0	0	0	0.100	0.926	0.900	0.974	0.999
EPF2	BASL	3702.Q8LC53	3702.Q5BPF3	0	0	0	0	0.307	0	0	0.899	0.927
EPF2	SPCH	3702.Q8LC53	3702.Q700C7	0	0	0	0	0.430	0	0	0.926	0.956
EPF2	BRXL2	3702.Q8LC53	3702.Q8GYL9	0	0	0	0	0	0	0	0.697	0.697
EPF2	KINUA	3702.Q8LC53	3702.Q9FZ06	0	0	0	0	0.042	0	0	0.542	0.542
EPF2	YDA	3702.Q8LC53	3702.Q9CAD5	0	0	0	0	0	0	0	0.822	0.822
EPF2	EPF1	3702.Q8LC53	3702.Q8S8I4	0	0	0	0.808	0.126	0	0.900	0.218	0.925
EPF2	MUTE	3702.Q8LC53	3702.Q9M8K6	0	0	0	0	0.211	0	0	0.926	0.939
EPF2	EPFL9	3702.Q8LC53	3702.Q9SV72	0	0	0	0	0.089	0	0	0.972	0.973
EPF2	TMM	3702.Q8LC53	3702.Q9SSD1	0	0	0	0	0.308	0.926	0	0.887	0.993
EPFL9	ERL1	3702.Q9SV72	3702.C0LGW6	0	0	0	0	0.097	0	0	0.926	0.930
EPFL9	BASL	3702.Q9SV72	3702.Q5BPF3	0	0	0	0	0.090	0	0	0.820	0.829
