#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CAS1	SQE6	3702.P38605	3702.O65402	0	0	0.343	0	0.282	0	0.924	0.372	0.974
CAS1	SQE4	3702.P38605	3702.O65403	0	0	0.338	0	0.282	0	0.924	0.342	0.973
CAS1	SQE5	3702.P38605	3702.O65404	0	0	0.356	0	0.282	0	0.924	0.367	0.975
CAS1	ERG28	3702.P38605	3702.O80594	0	0	0	0	0.090	0.644	0	0.805	0.931
CAS1	SQE2	3702.P38605	3702.O81000	0	0	0.354	0	0.282	0	0.924	0.575	0.983
CAS1	CPI1	3702.P38605	3702.Q9M643	0	0	0	0	0.072	0	0	0.945	0.947
CAS1	CYP51G1	3702.P38605	3702.Q9SAA9	0	0	0.264	0	0.221	0.534	0.366	0.834	0.966
CAS1	SQE3	3702.P38605	3702.Q8VYH2	0	0	0.355	0	0.282	0	0.924	0.475	0.979
CAS1	SQE1	3702.P38605	3702.Q9SM02	0	0	0.362	0	0.302	0	0.924	0.739	0.990
CAS1	SMT1	3702.P38605	3702.Q9LM02	0	0	0	0	0.085	0.239	0.900	0.926	0.994
CPI1	ERG28	3702.Q9M643	3702.O80594	0	0	0	0	0.124	0	0	0.897	0.905
CPI1	CAS1	3702.Q9M643	3702.P38605	0	0	0	0	0.072	0	0	0.945	0.947
CPI1	SMT1	3702.Q9M643	3702.Q9LM02	0	0	0	0	0.063	0	0	0.937	0.938
CPI1	CYP51G1	3702.Q9M643	3702.Q9SAA9	0	0	0	0	0.079	0	0.910	0.909	0.991
CYP51G1	SQE6	3702.Q9SAA9	3702.O65402	0	0	0.267	0	0.586	0.071	0.072	0.715	0.911
CYP51G1	SQE4	3702.Q9SAA9	3702.O65403	0	0	0.264	0	0.586	0.071	0.072	0.682	0.901
CYP51G1	SQE5	3702.Q9SAA9	3702.O65404	0	0	0.278	0	0.586	0.071	0.072	0.709	0.911
CYP51G1	ERG28	3702.Q9SAA9	3702.O80594	0	0	0	0	0.284	0.907	0	0.527	0.965
CYP51G1	SQE2	3702.Q9SAA9	3702.O81000	0	0	0.275	0	0.586	0.071	0.072	0.759	0.926
CYP51G1	CAS1	3702.Q9SAA9	3702.P38605	0	0	0.264	0	0.221	0.534	0.366	0.834	0.966
CYP51G1	SQE3	3702.Q9SAA9	3702.Q8VYH2	0	0	0.270	0	0.601	0.071	0.072	0.683	0.906
CYP51G1	SMT1	3702.Q9SAA9	3702.Q9LM02	0	0	0	0	0.275	0.411	0.047	0.911	0.959
CYP51G1	CPI1	3702.Q9SAA9	3702.Q9M643	0	0	0	0	0.079	0	0.910	0.909	0.991
CYP51G1	SQE1	3702.Q9SAA9	3702.Q9SM02	0	0	0.277	0	0.606	0.071	0.072	0.778	0.935
ERG28	SQE6	3702.O80594	3702.O65402	0	0	0	0	0.163	0.064	0	0.303	0.406
ERG28	SQE4	3702.O80594	3702.O65403	0	0	0	0	0.163	0.064	0	0.303	0.406
ERG28	SQE5	3702.O80594	3702.O65404	0	0	0	0	0.163	0.064	0	0.303	0.406
ERG28	SQE3	3702.O80594	3702.Q8VYH2	0	0	0	0	0.163	0.064	0	0.303	0.406
ERG28	SQE1	3702.O80594	3702.Q9SM02	0	0	0	0	0.163	0.064	0	0.334	0.432
ERG28	SQE2	3702.O80594	3702.O81000	0	0	0	0	0.163	0.064	0	0.342	0.440
ERG28	SMT1	3702.O80594	3702.Q9LM02	0	0	0	0	0.046	0.513	0	0.471	0.732
ERG28	CPI1	3702.O80594	3702.Q9M643	0	0	0	0	0.124	0	0	0.897	0.905
ERG28	CAS1	3702.O80594	3702.P38605	0	0	0	0	0.090	0.644	0	0.805	0.931
ERG28	CYP51G1	3702.O80594	3702.Q9SAA9	0	0	0	0	0.284	0.907	0	0.527	0.965
SMT1	ERG28	3702.Q9LM02	3702.O80594	0	0	0	0	0.046	0.513	0	0.471	0.732
