#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDC25	CKS1	3702.Q8GY31	3702.O23249	0	0	0	0	0.243	0.198	0	0.450	0.637
CDC25	CDKA-1	3702.Q8GY31	3702.P24100	0	0	0	0	0.062	0.622	0.563	0.900	0.982
CDC25	CYCD2-1	3702.Q8GY31	3702.P42752	0	0	0	0	0.048	0	0	0.430	0.434
CDC25	CYCD3-1	3702.Q8GY31	3702.P42753	0	0	0	0	0	0	0	0.584	0.584
CDC25	CYCA2-3	3702.Q8GY31	3702.Q38819	0	0	0	0	0.116	0.050	0.481	0.471	0.738
CDC25	CKS2	3702.Q8GY31	3702.Q9SJJ5	0	0	0	0	0.086	0.198	0	0.403	0.524
CDC25	RBR1	3702.Q8GY31	3702.Q9LKZ3	0	0	0	0	0.051	0	0.087	0.524	0.551
CDKA-1	CKS1	3702.P24100	3702.O23249	0	0	0	0	0.237	0.936	0.421	0.825	0.994
CDKA-1	CYCA2-3	3702.P24100	3702.Q38819	0	0	0	0	0.245	0.607	0.306	0.909	0.978
CDKA-1	KRP2	3702.P24100	3702.Q9SCR2	0	0	0	0	0	0.837	0	0.880	0.979
CDKA-1	CDC25	3702.P24100	3702.Q8GY31	0	0	0	0	0.062	0.622	0.563	0.900	0.982
CDKA-1	CKS2	3702.P24100	3702.Q9SJJ5	0	0	0	0	0.237	0.913	0.421	0.626	0.983
CDKA-1	CYCD4-2	3702.P24100	3702.Q0WQN9	0	0	0	0	0.094	0.862	0.303	0.904	0.990
CDKA-1	CYCD4-1	3702.P24100	3702.Q8LGA1	0	0	0	0	0.094	0.862	0.303	0.905	0.990
CDKA-1	RBR1	3702.P24100	3702.Q9LKZ3	0	0	0	0	0.064	0.619	0.551	0.950	0.991
CDKA-1	CYCD2-1	3702.P24100	3702.P42752	0	0	0	0	0.094	0.839	0.303	0.952	0.994
CDKA-1	CYCD3-1	3702.P24100	3702.P42753	0	0	0	0	0.094	0.878	0.303	0.979	0.998
CKS1	CKS2	3702.O23249	3702.Q9SJJ5	0	0	0.051	0.978	0.205	0	0	0.328	0.449
CKS1	KRP2	3702.O23249	3702.Q9SCR2	0	0	0	0	0.042	0.621	0	0.042	0.621
CKS1	CDC25	3702.O23249	3702.Q8GY31	0	0	0	0	0.243	0.198	0	0.450	0.637
CKS1	CYCD4-1	3702.O23249	3702.Q8LGA1	0	0	0	0	0.104	0.236	0.390	0.377	0.705
CKS1	CYCD3-1	3702.O23249	3702.P42753	0	0	0	0	0.121	0.049	0.390	0.579	0.757
CKS1	CYCD2-1	3702.O23249	3702.P42752	0	0	0	0	0.104	0.627	0.390	0.124	0.797
CKS1	CYCD4-2	3702.O23249	3702.Q0WQN9	0	0	0	0	0.104	0.624	0.390	0.162	0.804
CKS1	RBR1	3702.O23249	3702.Q9LKZ3	0	0	0	0	0.058	0	0.727	0.370	0.823
CKS1	CYCA2-3	3702.O23249	3702.Q38819	0	0	0	0	0.182	0.750	0.396	0.658	0.952
CKS1	CDKA-1	3702.O23249	3702.P24100	0	0	0	0	0.237	0.936	0.421	0.825	0.994
CKS2	CKS1	3702.Q9SJJ5	3702.O23249	0	0	0.051	0.978	0.205	0	0	0.328	0.449
CKS2	CDKA-1	3702.Q9SJJ5	3702.P24100	0	0	0	0	0.237	0.913	0.421	0.626	0.983
CKS2	CYCD2-1	3702.Q9SJJ5	3702.P42752	0	0	0	0	0.104	0.624	0.390	0.483	0.879
CKS2	CYCD3-1	3702.Q9SJJ5	3702.P42753	0	0	0	0	0.153	0.627	0.390	0.446	0.879
CKS2	CYCD4-2	3702.Q9SJJ5	3702.Q0WQN9	0	0	0	0	0.104	0.624	0.390	0.178	0.808
CKS2	CYCA2-3	3702.Q9SJJ5	3702.Q38819	0	0	0	0	0.209	0.363	0.396	0.448	0.809
CKS2	CDC25	3702.Q9SJJ5	3702.Q8GY31	0	0	0	0	0.086	0.198	0	0.403	0.524
CKS2	CYCD4-1	3702.Q9SJJ5	3702.Q8LGA1	0	0	0	0	0.123	0.624	0.390	0.228	0.824
CKS2	RBR1	3702.Q9SJJ5	3702.Q9LKZ3	0	0	0	0	0.058	0	0.727	0.484	0.855
CKS2	KRP2	3702.Q9SJJ5	3702.Q9SCR2	0	0	0	0	0	0.621	0	0.161	0.668
