#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDKB1-2	CKS1	3702.Q2V419	3702.O23249	0	0	0	0	0.242	0.840	0.421	0.897	0.991
CDKB1-2	CYCA2-2	3702.Q2V419	3702.Q147G5	0	0	0	0	0.260	0.425	0.306	0.895	0.965
CDKB1-2	CYCA3-4	3702.Q2V419	3702.Q3ECW2	0	0	0	0	0.257	0.425	0.306	0.894	0.964
CDKB1-2	CYCA3-1	3702.Q2V419	3702.Q9FMH5	0	0	0	0	0.282	0.425	0.306	0.894	0.965
CDKB1-2	CYCA2-1	3702.Q2V419	3702.Q39071	0	0	0	0	0.267	0.425	0.306	0.896	0.965
CDKB1-2	CYCA1-1	3702.Q2V419	3702.Q9C6Y3	0	0	0	0	0.436	0.285	0.306	0.902	0.969
CDKB1-2	CYCA2-4	3702.Q2V419	3702.Q9C968	0	0	0	0	0.352	0.425	0.306	0.896	0.969
CDKB1-2	CKS2	3702.Q2V419	3702.Q9SJJ5	0	0	0	0	0.373	0.848	0.421	0.525	0.970
CDKB1-2	CYCA2-3	3702.Q2V419	3702.Q38819	0	0	0	0	0.282	0.425	0.306	0.910	0.971
CDKB1-2	RBR1	3702.Q2V419	3702.Q9LKZ3	0	0	0	0	0.064	0.526	0.551	0.895	0.976
CKS1	CKS2	3702.O23249	3702.Q9SJJ5	0	0	0.051	0.978	0.205	0	0	0.328	0.449
CKS1	RBR1	3702.O23249	3702.Q9LKZ3	0	0	0	0	0.058	0	0.727	0.370	0.823
CKS1	CYCA2-1	3702.O23249	3702.Q39071	0	0	0	0	0.182	0.363	0.396	0.612	0.861
CKS1	CYCA3-1	3702.O23249	3702.Q9FMH5	0	0	0	0	0.182	0.363	0.396	0.633	0.869
CKS1	CYCA2-2	3702.O23249	3702.Q147G5	0	0	0	0	0.182	0.363	0.396	0.702	0.894
CKS1	CYCA2-4	3702.O23249	3702.Q9C968	0	0	0	0	0.182	0.363	0.396	0.702	0.894
CKS1	CYCA1-1	3702.O23249	3702.Q9C6Y3	0	0	0	0	0.182	0.363	0.396	0.740	0.907
CKS1	CYCA2-3	3702.O23249	3702.Q38819	0	0	0	0	0.182	0.750	0.396	0.658	0.952
