#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CALS5	CDKG1	3702.Q3B724	3702.Q9FGW5	0	0	0	0	0	0	0	0.791	0.791
CALS5	NPU	3702.Q3B724	3702.Q8L776	0	0	0	0	0	0	0	0.794	0.794
CDKG1	U2AF65A	3702.Q9FGW5	3702.O23212	0	0	0	0	0.065	0	0	0.892	0.894
CDKG1	CALS5	3702.Q9FGW5	3702.Q3B724	0	0	0	0	0	0	0	0.791	0.791
CDKG1	NPU	3702.Q9FGW5	3702.Q8L776	0	0	0	0	0	0	0	0.795	0.795
CDKG1	CYCL1-1	3702.Q9FGW5	3702.Q8RWV3	0	0	0	0	0.050	0.426	0	0.868	0.922
CDKG1	RS2Z33	3702.Q9FGW5	3702.Q8VYA5	0	0	0	0	0	0	0	0.597	0.597
CDKG1	SINAT6	3702.Q9FGW5	3702.Q93WE4	0	0	0	0	0	0.361	0	0.717	0.811
CDKG1	RH13	3702.Q9FGW5	3702.Q93Y39	0	0	0	0	0.088	0	0	0.669	0.686
CDKG1	NDL3	3702.Q9FGW5	3702.Q9ZUN1	0	0	0	0	0.047	0	0	0.598	0.600
CDKG1	SF1	3702.Q9FGW5	3702.Q9LU44	0	0	0	0	0.082	0.077	0	0.600	0.631
CDKG1	MSJ1.11	3702.Q9FGW5	3702.Q9FMF9	0	0	0	0	0.095	0	0	0.698	0.715
CYCL1-1	U2AF65A	3702.Q8RWV3	3702.O23212	0	0	0	0	0.072	0	0	0.440	0.458
CYCL1-1	RH13	3702.Q8RWV3	3702.Q93Y39	0	0	0	0	0	0	0	0.695	0.695
CYCL1-1	CDKG1	3702.Q8RWV3	3702.Q9FGW5	0	0	0	0	0.050	0.426	0	0.868	0.922
MSJ1.11	U2AF65A	3702.Q9FMF9	3702.O23212	0	0.244	0	0	0.182	0.737	0.540	0.889	0.990
MSJ1.11	RS2Z33	3702.Q9FMF9	3702.Q8VYA5	0	0	0	0	0.159	0	0.099	0.821	0.852
MSJ1.11	RH13	3702.Q9FMF9	3702.Q93Y39	0	0	0	0	0.128	0.377	0.328	0.098	0.626
MSJ1.11	CDKG1	3702.Q9FMF9	3702.Q9FGW5	0	0	0	0	0.095	0	0	0.698	0.715
MSJ1.11	SF1	3702.Q9FMF9	3702.Q9LU44	0	0	0	0	0.292	0.735	0.141	0.877	0.977
NDL3	CDKG1	3702.Q9ZUN1	3702.Q9FGW5	0	0	0	0	0.047	0	0	0.598	0.600
NPU	CALS5	3702.Q8L776	3702.Q3B724	0	0	0	0	0	0	0	0.794	0.794
NPU	CDKG1	3702.Q8L776	3702.Q9FGW5	0	0	0	0	0	0	0	0.795	0.795
RH13	CYCL1-1	3702.Q93Y39	3702.Q8RWV3	0	0	0	0	0	0	0	0.695	0.695
RH13	SF1	3702.Q93Y39	3702.Q9LU44	0	0	0	0	0.070	0.253	0.177	0.181	0.469
RH13	MSJ1.11	3702.Q93Y39	3702.Q9FMF9	0	0	0	0	0.128	0.377	0.328	0.098	0.626
RH13	CDKG1	3702.Q93Y39	3702.Q9FGW5	0	0	0	0	0.088	0	0	0.669	0.686
RS2Z33	U2AF65A	3702.Q8VYA5	3702.O23212	0	0	0	0	0.146	0.066	0.349	0.585	0.756
RS2Z33	SF1	3702.Q8VYA5	3702.Q9LU44	0	0	0	0	0.079	0.053	0	0.452	0.480
RS2Z33	CDKG1	3702.Q8VYA5	3702.Q9FGW5	0	0	0	0	0	0	0	0.597	0.597
RS2Z33	MSJ1.11	3702.Q8VYA5	3702.Q9FMF9	0	0	0	0	0.159	0	0.099	0.821	0.852
SF1	U2AF65A	3702.Q9LU44	3702.O23212	0	0	0	0.559	0.231	0.619	0	0.698	0.904
SF1	RS2Z33	3702.Q9LU44	3702.Q8VYA5	0	0	0	0	0.079	0.053	0	0.452	0.480
SF1	RH13	3702.Q9LU44	3702.Q93Y39	0	0	0	0	0.070	0.253	0.177	0.181	0.469
SF1	CDKG1	3702.Q9LU44	3702.Q9FGW5	0	0	0	0	0.082	0.077	0	0.600	0.631
SF1	MSJ1.11	3702.Q9LU44	3702.Q9FMF9	0	0	0	0	0.292	0.735	0.141	0.877	0.977
SINAT6	CDKG1	3702.Q93WE4	3702.Q9FGW5	0	0	0	0	0	0.361	0	0.717	0.811
U2AF65A	CYCL1-1	3702.O23212	3702.Q8RWV3	0	0	0	0	0.072	0	0	0.440	0.458
U2AF65A	RS2Z33	3702.O23212	3702.Q8VYA5	0	0	0	0	0.146	0.066	0.349	0.585	0.756
U2AF65A	CDKG1	3702.O23212	3702.Q9FGW5	0	0	0	0	0.065	0	0	0.892	0.894
U2AF65A	SF1	3702.O23212	3702.Q9LU44	0	0	0	0.559	0.231	0.619	0	0.698	0.904
U2AF65A	MSJ1.11	3702.O23212	3702.Q9FMF9	0	0.244	0	0	0.182	0.737	0.540	0.889	0.990
