#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDKG1	CYCL1-1	3702.Q9FGW5	3702.Q8RWV3	0	0	0	0	0.050	0.426	0	0.868	0.922
CYCL1-1	PRP19B	3702.Q8RWV3	3702.O22785	0	0	0	0	0.176	0	0	0.717	0.756
CYCL1-1	SNC1	3702.Q8RWV3	3702.O23530	0	0	0	0	0	0	0	0.739	0.739
CYCL1-1	MOS14	3702.Q8RWV3	3702.Q8GUL2	0	0	0	0	0	0	0	0.791	0.791
CYCL1-1	PRP19A	3702.Q8RWV3	3702.Q94BR4	0	0	0	0	0.043	0	0	0.718	0.718
CYCL1-1	EXA1	3702.Q8RWV3	3702.Q9FMM3	0	0	0	0	0.071	0	0	0.719	0.727
CYCL1-1	PANS1	3702.Q8RWV3	3702.Q9LJG6	0	0	0	0	0	0	0	0.738	0.738
CYCL1-1	PYM-2	3702.Q8RWV3	3702.Q9LPZ4	0	0	0	0	0.134	0	0	0.720	0.747
CYCL1-1	MOS4	3702.Q8RWV3	3702.Q949S9	0	0	0	0	0.045	0.292	0	0.793	0.847
CYCL1-1	RPP8	3702.Q8RWV3	3702.Q8W4J9	0	0	0	0	0	0	0	0.853	0.853
CYCL1-1	CDKG1	3702.Q8RWV3	3702.Q9FGW5	0	0	0	0	0.050	0.426	0	0.868	0.922
EXA1	CYCL1-1	3702.Q9FMM3	3702.Q8RWV3	0	0	0	0	0.071	0	0	0.719	0.727
MOS14	PRP19B	3702.Q8GUL2	3702.O22785	0	0	0	0	0.055	0	0	0.652	0.657
MOS14	SNC1	3702.Q8GUL2	3702.O23530	0	0	0	0	0	0.225	0	0.759	0.805
MOS14	PRP19A	3702.Q8GUL2	3702.Q94BR4	0	0	0	0	0.055	0	0	0.654	0.659
MOS14	MOS4	3702.Q8GUL2	3702.Q949S9	0	0	0	0	0	0	0	0.739	0.739
MOS14	CYCL1-1	3702.Q8GUL2	3702.Q8RWV3	0	0	0	0	0	0	0	0.791	0.791
MOS4	PRP19B	3702.Q949S9	3702.O22785	0	0	0	0	0.244	0.970	0.887	0.979	0.999
MOS4	SNC1	3702.Q949S9	3702.O23530	0	0	0	0	0	0	0	0.825	0.825
MOS4	MOS14	3702.Q949S9	3702.Q8GUL2	0	0	0	0	0	0	0	0.739	0.739
MOS4	CYCL1-1	3702.Q949S9	3702.Q8RWV3	0	0	0	0	0.045	0.292	0	0.793	0.847
MOS4	PRP19A	3702.Q949S9	3702.Q94BR4	0	0	0	0	0.286	0.970	0.887	0.981	0.999
PANS1	CYCL1-1	3702.Q9LJG6	3702.Q8RWV3	0	0	0	0	0	0	0	0.738	0.738
PRP19A	PRP19B	3702.Q94BR4	3702.O22785	0	0	0.050	0.981	0.091	0	0.900	0.279	0.929
PRP19A	SNC1	3702.Q94BR4	3702.O23530	0	0	0	0	0	0	0	0.784	0.784
PRP19A	MOS14	3702.Q94BR4	3702.Q8GUL2	0	0	0	0	0.055	0	0	0.654	0.659
PRP19A	CYCL1-1	3702.Q94BR4	3702.Q8RWV3	0	0	0	0	0.043	0	0	0.718	0.718
PRP19A	MOS4	3702.Q94BR4	3702.Q949S9	0	0	0	0	0.286	0.970	0.887	0.981	0.999
PRP19B	MOS14	3702.O22785	3702.Q8GUL2	0	0	0	0	0.055	0	0	0.652	0.657
PRP19B	SNC1	3702.O22785	3702.O23530	0	0	0	0	0.044	0	0	0.755	0.755
PRP19B	CYCL1-1	3702.O22785	3702.Q8RWV3	0	0	0	0	0.176	0	0	0.717	0.756
PRP19B	PRP19A	3702.O22785	3702.Q94BR4	0	0	0.050	0.981	0.091	0	0.900	0.279	0.929
PRP19B	MOS4	3702.O22785	3702.Q949S9	0	0	0	0	0.244	0.970	0.887	0.979	0.999
PYM-2	CYCL1-1	3702.Q9LPZ4	3702.Q8RWV3	0	0	0	0	0.134	0	0	0.720	0.747
RPP8	CYCL1-1	3702.Q8W4J9	3702.Q8RWV3	0	0	0	0	0	0	0	0.853	0.853
SNC1	PRP19B	3702.O23530	3702.O22785	0	0	0	0	0.044	0	0	0.755	0.755
SNC1	CYCL1-1	3702.O23530	3702.Q8RWV3	0	0	0	0	0	0	0	0.739	0.739
SNC1	PRP19A	3702.O23530	3702.Q94BR4	0	0	0	0	0	0	0	0.784	0.784
SNC1	MOS14	3702.O23530	3702.Q8GUL2	0	0	0	0	0	0.225	0	0.759	0.805
SNC1	MOS4	3702.O23530	3702.Q949S9	0	0	0	0	0	0	0	0.825	0.825
