#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CYCB1-1	PYM	3702.P30183	3702.O48533	0	0	0	0	0.101	0	0	0.740	0.756
CYCB1-1	DPA	3702.P30183	3702.Q9FNY3	0	0	0	0	0.051	0	0.158	0.672	0.715
CYCB1-1	E2FE	3702.P30183	3702.Q8LSZ4	0	0	0	0	0.106	0	0	0.697	0.718
CYCB1-1	SOG1	3702.P30183	3702.Q6NQK2	0	0	0	0	0.080	0	0	0.795	0.803
CYCB1-1	RBR1	3702.P30183	3702.Q9LKZ3	0	0	0	0	0.051	0.071	0.263	0.836	0.879
CYCB1-1	FZR1	3702.P30183	3702.Q8VZS9	0	0	0	0	0.273	0.506	0.298	0.682	0.909
CYCB1-1	FZR2	3702.P30183	3702.Q8L3Z8	0	0	0	0	0.273	0.506	0.298	0.737	0.925
CYCB1-1	FZR3	3702.P30183	3702.Q8LPL5	0	0	0	0	0.366	0.506	0.298	0.756	0.939
DPA	CYCB1-1	3702.Q9FNY3	3702.P30183	0	0	0	0	0.051	0	0.158	0.672	0.715
DPA	FZR2	3702.Q9FNY3	3702.Q8L3Z8	0	0	0	0	0.143	0.050	0	0.444	0.507
DPA	FZR3	3702.Q9FNY3	3702.Q8LPL5	0	0	0	0	0.099	0.050	0	0.641	0.666
DPA	E2FE	3702.Q9FNY3	3702.Q8LSZ4	0	0	0.299	0	0.051	0	0	0.844	0.887
DPA	FZR1	3702.Q9FNY3	3702.Q8VZS9	0	0	0	0	0.099	0.050	0	0.447	0.486
DPA	DPB	3702.Q9FNY3	3702.Q9FNY2	0	0	0.090	0.901	0.048	0	0.900	0.119	0.913
DPA	RBR1	3702.Q9FNY3	3702.Q9LKZ3	0	0	0	0	0.081	0.955	0.973	0.930	0.999
DPB	FZR2	3702.Q9FNY2	3702.Q8L3Z8	0	0	0	0	0.099	0.050	0	0.369	0.413
DPB	FZR3	3702.Q9FNY2	3702.Q8LPL5	0	0	0	0	0.099	0.050	0	0.450	0.488
DPB	E2FE	3702.Q9FNY2	3702.Q8LSZ4	0	0	0.266	0	0	0	0	0.845	0.881
DPB	FZR1	3702.Q9FNY2	3702.Q8VZS9	0	0	0	0	0.099	0.050	0	0.444	0.482
DPB	DPA	3702.Q9FNY2	3702.Q9FNY3	0	0	0.090	0.901	0.048	0	0.900	0.119	0.913
DPB	RBR1	3702.Q9FNY2	3702.Q9LKZ3	0	0	0	0	0.081	0.940	0.973	0.886	0.999
E2FE	PYM	3702.Q8LSZ4	3702.O48533	0	0	0	0	0.073	0	0	0.803	0.810
E2FE	CYCB1-1	3702.Q8LSZ4	3702.P30183	0	0	0	0	0.106	0	0	0.697	0.718
E2FE	GATA27	3702.Q8LSZ4	3702.Q5PP38	0	0	0	0	0	0	0	0.718	0.718
E2FE	SOG1	3702.Q8LSZ4	3702.Q6NQK2	0	0	0	0	0	0	0	0.695	0.695
E2FE	FZR2	3702.Q8LSZ4	3702.Q8L3Z8	0	0	0	0	0.129	0	0	0.758	0.780
E2FE	FZR3	3702.Q8LSZ4	3702.Q8LPL5	0	0	0	0	0.151	0	0	0.720	0.752
E2FE	RBR1	3702.Q8LSZ4	3702.Q9LKZ3	0	0	0	0	0	0	0	0.869	0.869
E2FE	DPB	3702.Q8LSZ4	3702.Q9FNY2	0	0	0.266	0	0	0	0	0.845	0.881
E2FE	DPA	3702.Q8LSZ4	3702.Q9FNY3	0	0	0.299	0	0.051	0	0	0.844	0.887
E2FE	FZR1	3702.Q8LSZ4	3702.Q8VZS9	0	0	0	0	0.126	0	0	0.892	0.901
FZR1	PYM	3702.Q8VZS9	3702.O48533	0	0	0	0	0	0	0	0.793	0.793
FZR1	CYCB1-1	3702.Q8VZS9	3702.P30183	0	0	0	0	0.273	0.506	0.298	0.682	0.909
FZR1	FZR2	3702.Q8VZS9	3702.Q8L3Z8	0	0	0.051	0.979	0	0	0.900	0.060	0.903
FZR1	FZR3	3702.Q8VZS9	3702.Q8LPL5	0	0	0.061	0.958	0	0	0.900	0.077	0.905
FZR1	E2FE	3702.Q8VZS9	3702.Q8LSZ4	0	0	0	0	0.126	0	0	0.892	0.901
