#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDC6	DPA	3702.O82387	3702.Q9FNY3	0	0	0	0	0.048	0	0.095	0.466	0.500
CDC6	DPB	3702.O82387	3702.Q9FNY2	0	0	0	0	0	0	0.095	0.517	0.544
CDC6	E2FD	3702.O82387	3702.Q9LFQ9	0	0	0	0	0.198	0	0	0.618	0.680
CDC6	FZR1	3702.O82387	3702.Q8VZS9	0	0	0	0	0.256	0.302	0.345	0.296	0.728
CDC6	RBR1	3702.O82387	3702.Q9LKZ3	0	0	0	0	0.263	0	0.098	0.829	0.876
CDC6	CDKB1-1	3702.O82387	3702.P25859	0	0	0	0	0.127	0.614	0.439	0.825	0.962
CDKB1-1	CDC6	3702.P25859	3702.O82387	0	0	0	0	0.127	0.614	0.439	0.825	0.962
CDKB1-1	DPB	3702.P25859	3702.Q9FNY2	0	0	0	0	0	0.070	0.419	0.517	0.716
CDKB1-1	E2FD	3702.P25859	3702.Q9LFQ9	0	0	0	0	0.054	0	0	0.742	0.746
CDKB1-1	DPA	3702.P25859	3702.Q9FNY3	0	0	0	0	0	0.070	0.419	0.694	0.820
CDKB1-1	FZR1	3702.P25859	3702.Q8VZS9	0	0	0	0	0.291	0.335	0.310	0.781	0.919
CDKB1-1	RBR1	3702.P25859	3702.Q9LKZ3	0	0	0	0	0.064	0.607	0.551	0.939	0.988
DPA	CDC6	3702.Q9FNY3	3702.O82387	0	0	0	0	0.048	0	0.095	0.466	0.500
DPA	CDKB1-1	3702.Q9FNY3	3702.P25859	0	0	0	0	0	0.070	0.419	0.694	0.820
DPA	FZR1	3702.Q9FNY3	3702.Q8VZS9	0	0	0	0	0.099	0.050	0	0.447	0.486
DPA	DPB	3702.Q9FNY3	3702.Q9FNY2	0	0	0.090	0.901	0.048	0	0.900	0.119	0.913
DPA	E2FD	3702.Q9FNY3	3702.Q9LFQ9	0	0	0.330	0	0	0	0	0.839	0.888
DPA	RBR1	3702.Q9FNY3	3702.Q9LKZ3	0	0	0	0	0.081	0.955	0.973	0.930	0.999
DPB	CDC6	3702.Q9FNY2	3702.O82387	0	0	0	0	0	0	0.095	0.517	0.544
DPB	CDKB1-1	3702.Q9FNY2	3702.P25859	0	0	0	0	0	0.070	0.419	0.517	0.716
DPB	FZR1	3702.Q9FNY2	3702.Q8VZS9	0	0	0	0	0.099	0.050	0	0.444	0.482
DPB	E2FD	3702.Q9FNY2	3702.Q9LFQ9	0	0	0.275	0	0	0	0	0.840	0.879
DPB	DPA	3702.Q9FNY2	3702.Q9FNY3	0	0	0.090	0.901	0.048	0	0.900	0.119	0.913
DPB	RBR1	3702.Q9FNY2	3702.Q9LKZ3	0	0	0	0	0.081	0.940	0.973	0.886	0.999
E2FD	F4J8S4_ARATH	3702.Q9LFQ9	3702.F4J8S4	0	0	0	0	0	0	0	0.718	0.718
E2FD	F4J8S5_ARATH	3702.Q9LFQ9	3702.F4J8S5	0	0	0	0	0	0	0	0.717	0.717
E2FD	CDC6	3702.Q9LFQ9	3702.O82387	0	0	0	0	0.198	0	0	0.618	0.680
E2FD	CDKB1-1	3702.Q9LFQ9	3702.P25859	0	0	0	0	0.054	0	0	0.742	0.746
