#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EBP1	T13E15.13	3702.Q96327	3702.O22165	0	0	0	0	0.729	0.893	0	0.437	0.982
EBP1	RPL5B	3702.Q96327	3702.P49227	0.110	0	0	0	0.658	0.926	0	0.290	0.981
EBP1	RPL23AA	3702.Q96327	3702.Q8LD46	0.110	0	0	0	0.556	0.884	0	0.468	0.972
EBP1	RDP1	3702.Q96327	3702.Q94AK8	0.092	0	0	0	0.742	0.893	0	0.425	0.983
EBP1	RPL23AB	3702.Q96327	3702.Q9M3C3	0.110	0	0	0	0.581	0.884	0	0.447	0.972
EBP1	T32M21_200	3702.Q96327	3702.Q9LZ65	0	0	0	0	0.631	0.884	0	0.423	0.973
EBP1	MDB19.11	3702.Q96327	3702.Q9LUG5	0	0	0	0	0.759	0.894	0	0.424	0.984
EBP1	PES	3702.Q96327	3702.Q9LYK7	0	0	0	0	0.864	0.896	0	0.207	0.987
EBP1	NMD3	3702.Q96327	3702.Q9SI58	0	0	0	0	0.676	0.926	0	0.604	0.989
EBP1	NUG2	3702.Q96327	3702.Q9C923	0	0	0	0	0.829	0.898	0	0.499	0.990
MDB19.11	T13E15.13	3702.Q9LUG5	3702.O22165	0	0	0	0	0.955	0.956	0	0.513	0.998
MDB19.11	RPL5B	3702.Q9LUG5	3702.P49227	0	0	0	0	0.319	0.988	0	0.515	0.995
MDB19.11	RPL23AA	3702.Q9LUG5	3702.Q8LD46	0	0	0	0	0.245	0.893	0	0.149	0.925
MDB19.11	RDP1	3702.Q9LUG5	3702.Q94AK8	0	0	0	0	0.961	0.947	0	0.514	0.998
MDB19.11	EBP1	3702.Q9LUG5	3702.Q96327	0	0	0	0	0.759	0.894	0	0.424	0.984
MDB19.11	NUG2	3702.Q9LUG5	3702.Q9C923	0	0	0	0	0.925	0.968	0	0.516	0.998
MDB19.11	RPL23AB	3702.Q9LUG5	3702.Q9M3C3	0	0	0	0	0.324	0.893	0	0.149	0.933
MDB19.11	NMD3	3702.Q9LUG5	3702.Q9SI58	0	0	0	0	0.882	0	0	0.508	0.939
MDB19.11	PES	3702.Q9LUG5	3702.Q9LYK7	0	0	0	0	0.938	0.984	0	0.208	0.999
MDB19.11	T32M21_200	3702.Q9LUG5	3702.Q9LZ65	0	0	0	0	0.954	0.984	0	0.504	0.999
NMD3	T13E15.13	3702.Q9SI58	3702.O22165	0	0	0	0	0.850	0.974	0	0.649	0.998
