#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A0A1P8B5C8	RBR1	3702.A0A1P8B5C8	3702.Q9LKZ3	0	0	0	0	0	0	0	0.598	0.598
A0A1P8B5C8	FBL17	3702.A0A1P8B5C8	3702.Q8W104	0	0	0	0	0	0	0	0.793	0.793
CDKA-1	DUO1	3702.P24100	3702.A0A178VEK7	0	0	0	0	0.060	0.075	0	0.600	0.621
CDKA-1	DUO3	3702.P24100	3702.F4I6S6	0	0	0	0	0	0	0	0.790	0.790
CDKA-1	RHF2A	3702.P24100	3702.Q9ZT42	0	0	0	0	0.057	0	0	0.493	0.501
CDKA-1	RHF1A	3702.P24100	3702.Q4TU14	0	0	0	0	0	0	0	0.598	0.598
CDKA-1	FBL17	3702.P24100	3702.Q8W104	0	0	0	0	0.045	0	0	0.891	0.891
CDKA-1	KRP7	3702.P24100	3702.Q94CL9	0	0	0	0	0	0.703	0	0.793	0.935
CDKA-1	KRP4	3702.P24100	3702.Q8GYJ3	0	0	0	0	0	0.781	0	0.739	0.940
CDKA-1	KRP6	3702.P24100	3702.Q0WNX9	0	0	0	0	0	0.804	0	0.796	0.958
CDKA-1	RBR1	3702.P24100	3702.Q9LKZ3	0	0	0	0	0.064	0.619	0.551	0.950	0.991
DUO1	RHF2A	3702.A0A178VEK7	3702.Q9ZT42	0	0	0	0	0	0	0	0.460	0.459
DUO1	RBR1	3702.A0A178VEK7	3702.Q9LKZ3	0	0	0	0	0	0.165	0.071	0.364	0.464
DUO1	RHF1A	3702.A0A178VEK7	3702.Q4TU14	0	0	0	0	0	0	0	0.542	0.542
DUO1	CDKA-1	3702.A0A178VEK7	3702.P24100	0	0	0	0	0.060	0.075	0	0.600	0.621
DUO1	KRP6	3702.A0A178VEK7	3702.Q0WNX9	0	0	0	0	0	0	0	0.651	0.651
DUO1	KRP7	3702.A0A178VEK7	3702.Q94CL9	0	0	0	0	0	0	0	0.700	0.700
DUO1	FBL17	3702.A0A178VEK7	3702.Q8W104	0	0	0	0	0	0	0	0.795	0.795
DUO1	DUO3	3702.A0A178VEK7	3702.F4I6S6	0	0	0	0	0	0	0	0.926	0.926
DUO3	DUO1	3702.F4I6S6	3702.A0A178VEK7	0	0	0	0	0	0	0	0.926	0.926
DUO3	KRP6	3702.F4I6S6	3702.Q0WNX9	0	0	0	0	0	0	0	0.652	0.652
DUO3	KRP7	3702.F4I6S6	3702.Q94CL9	0	0	0	0	0	0	0	0.713	0.713
DUO3	RHF2A	3702.F4I6S6	3702.Q9ZT42	0	0	0	0	0	0	0	0.783	0.783
DUO3	CDKA-1	3702.F4I6S6	3702.P24100	0	0	0	0	0	0	0	0.790	0.790
DUO3	RHF1A	3702.F4I6S6	3702.Q4TU14	0	0	0	0	0	0	0	0.791	0.791
DUO3	FBL17	3702.F4I6S6	3702.Q8W104	0	0	0	0	0	0	0	0.823	0.823
FBL17	DUO1	3702.Q8W104	3702.A0A178VEK7	0	0	0	0	0	0	0	0.795	0.795
FBL17	A0A1P8B5C8	3702.Q8W104	3702.A0A1P8B5C8	0	0	0	0	0	0	0	0.793	0.793
FBL17	DUO3	3702.Q8W104	3702.F4I6S6	0	0	0	0	0	0	0	0.823	0.823
FBL17	CDKA-1	3702.Q8W104	3702.P24100	0	0	0	0	0.045	0	0	0.891	0.891
FBL17	KRP6	3702.Q8W104	3702.Q0WNX9	0	0	0	0	0	0.292	0	0.897	0.923
FBL17	RHF1A	3702.Q8W104	3702.Q4TU14	0	0	0	0	0	0	0	0.800	0.800
FBL17	KRP4	3702.Q8W104	3702.Q8GYJ3	0	0	0	0	0	0.230	0	0.794	0.834
FBL17	RHF2A	3702.Q8W104	3702.Q9ZT42	0	0	0	0	0	0	0	0.793	0.793
FBL17	RBR1	3702.Q8W104	3702.Q9LKZ3	0	0	0	0	0.058	0	0	0.794	0.797
FBL17	KRP7	3702.Q8W104	3702.Q94CL9	0	0	0	0	0	0.623	0	0.899	0.960
KRP4	CDKA-1	3702.Q8GYJ3	3702.P24100	0	0	0	0	0	0.781	0	0.739	0.940
KRP4	RHF1A	3702.Q8GYJ3	3702.Q4TU14	0	0	0	0	0	0	0	0.664	0.664
KRP4	RHF2A	3702.Q8GYJ3	3702.Q9ZT42	0	0	0	0	0.050	0	0	0.399	0.404
KRP4	RBR1	3702.Q8GYJ3	3702.Q9LKZ3	0	0	0	0	0	0.230	0	0.719	0.774
KRP4	FBL17	3702.Q8GYJ3	3702.Q8W104	0	0	0	0	0	0.230	0	0.794	0.834
KRP6	DUO1	3702.Q0WNX9	3702.A0A178VEK7	0	0	0	0	0	0	0	0.651	0.651
KRP6	DUO3	3702.Q0WNX9	3702.F4I6S6	0	0	0	0	0	0	0	0.652	0.652
KRP6	CDKA-1	3702.Q0WNX9	3702.P24100	0	0	0	0	0	0.804	0	0.796	0.958
KRP6	RBR1	3702.Q0WNX9	3702.Q9LKZ3	0	0	0	0	0	0	0	0.785	0.785
KRP6	RHF2A	3702.Q0WNX9	3702.Q9ZT42	0	0	0	0	0	0	0	0.824	0.824
KRP6	FBL17	3702.Q0WNX9	3702.Q8W104	0	0	0	0	0	0.292	0	0.897	0.923
KRP6	RHF1A	3702.Q0WNX9	3702.Q4TU14	0	0	0	0	0.044	0.292	0	0.897	0.924
KRP7	DUO1	3702.Q94CL9	3702.A0A178VEK7	0	0	0	0	0	0	0	0.700	0.700
KRP7	DUO3	3702.Q94CL9	3702.F4I6S6	0	0	0	0	0	0	0	0.713	0.713
KRP7	CDKA-1	3702.Q94CL9	3702.P24100	0	0	0	0	0	0.703	0	0.793	0.935
KRP7	RHF1A	3702.Q94CL9	3702.Q4TU14	0	0	0	0	0	0	0	0.792	0.792
KRP7	FBL17	3702.Q94CL9	3702.Q8W104	0	0	0	0	0	0.623	0	0.899	0.960
KRP7	RHF2A	3702.Q94CL9	3702.Q9ZT42	0	0	0	0	0	0	0	0.751	0.751
KRP7	RBR1	3702.Q94CL9	3702.Q9LKZ3	0	0	0	0	0	0	0	0.759	0.759
