#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APC10	APC6	3702.Q9ZPW2	3702.B3DNN5	0	0	0	0	0	0.994	0.969	0.970	0.999
APC10	FZR3	3702.Q9ZPW2	3702.Q8LPL5	0	0	0	0	0	0.822	0.781	0.858	0.994
APC10	FZR1	3702.Q9ZPW2	3702.Q8VZS9	0	0	0	0	0	0.822	0.781	0.899	0.995
APC10	CYCA1-2	3702.Q9ZPW2	3702.Q9FVX0	0	0	0	0	0	0.279	0.412	0.751	0.885
APC10	GIG1	3702.Q9ZPW2	3702.Q9M2R1	0	0	0	0	0.045	0.497	0	0.800	0.895
APC10	APC8	3702.Q9ZPW2	3702.Q9STS3	0	0	0	0	0.064	0.993	0.969	0.976	0.999
APC10	MS5	3702.Q9ZPW2	3702.Q9SUC3	0	0	0	0	0	0	0	0.408	0.408
APC10	CDC20-1	3702.Q9ZPW2	3702.Q9SZA4	0	0	0	0	0	0.727	0.781	0.913	0.994
APC6	MS5	3702.B3DNN5	3702.Q9SUC3	0	0	0	0	0.042	0	0	0.570	0.570
APC6	CYCA1-2	3702.B3DNN5	3702.Q9FVX0	0	0	0	0	0.057	0.250	0.443	0.629	0.834
APC6	GIG1	3702.B3DNN5	3702.Q9M2R1	0	0	0	0	0.092	0.497	0	0.784	0.892
APC6	FZR1	3702.B3DNN5	3702.Q8VZS9	0	0	0	0	0.067	0.857	0.783	0.726	0.991
APC6	CDC20-1	3702.B3DNN5	3702.Q9SZA4	0	0	0	0	0.098	0.857	0.783	0.845	0.995
APC6	FZR3	3702.B3DNN5	3702.Q8LPL5	0	0	0	0	0.115	0.857	0.783	0.842	0.995
APC6	APC8	3702.B3DNN5	3702.Q9STS3	0	0	0	0	0.304	0.994	0.969	0.993	0.999
APC6	APC10	3702.B3DNN5	3702.Q9ZPW2	0	0	0	0	0	0.994	0.969	0.970	0.999
APC8	APC6	3702.Q9STS3	3702.B3DNN5	0	0	0	0	0.304	0.994	0.969	0.993	0.999
APC8	FZR3	3702.Q9STS3	3702.Q8LPL5	0	0	0	0	0.090	0.839	0.783	0.845	0.994
APC8	FZR1	3702.Q9STS3	3702.Q8VZS9	0	0	0	0	0.053	0.839	0.783	0.790	0.992
APC8	CYCA1-2	3702.Q9STS3	3702.Q9FVX0	0	0	0	0	0	0.250	0.443	0.511	0.778
APC8	GIG1	3702.Q9STS3	3702.Q9M2R1	0	0	0	0	0.057	0.497	0	0.784	0.888
APC8	MS5	3702.Q9STS3	3702.Q9SUC3	0	0	0	0	0	0	0	0.718	0.718
APC8	CDC20-1	3702.Q9STS3	3702.Q9SZA4	0	0	0	0	0.067	0.839	0.783	0.911	0.996
APC8	APC10	3702.Q9STS3	3702.Q9ZPW2	0	0	0	0	0.064	0.993	0.969	0.976	0.999
CDC20-1	APC6	3702.Q9SZA4	3702.B3DNN5	0	0	0	0	0.098	0.857	0.783	0.845	0.995
