#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ASIL2	SHA1	3702.Q9LJG8	3702.Q8GUG6	0	0	0	0	0	0	0	0.753	0.753
ASIL2	ASR3	3702.Q9LJG8	3702.Q8VZ20	0	0	0	0	0	0	0	0.573	0.573
ASIL2	GTL1	3702.Q9LJG8	3702.Q9C882	0	0	0	0	0	0	0	0.791	0.791
ASR3	ASIL2	3702.Q8VZ20	3702.Q9LJG8	0	0	0	0	0	0	0	0.573	0.573
ASR3	GTL1	3702.Q8VZ20	3702.Q9C882	0	0	0	0	0	0	0	0.791	0.791
EPF2	SBT1.2	3702.Q8LC53	3702.O64495	0	0	0	0	0.216	0	0	0.898	0.916
EPF2	GTL1	3702.Q8LC53	3702.Q9C882	0	0	0	0	0	0	0	0.739	0.739
EPF2	EPFL9	3702.Q8LC53	3702.Q9SV72	0	0	0	0	0.089	0	0	0.972	0.973
EPFL9	SBT1.2	3702.Q9SV72	3702.O64495	0	0	0	0	0.098	0	0	0.900	0.905
EPFL9	EPF2	3702.Q9SV72	3702.Q8LC53	0	0	0	0	0.089	0	0	0.972	0.973
EPFL9	GTL1	3702.Q9SV72	3702.Q9C882	0	0	0	0	0.065	0	0	0.716	0.723
F15D2.5	GTL1	3702.Q6NPR7	3702.Q9C882	0	0	0.358	0	0.056	0	0	0.482	0.658
GTL1	SBT1.2	3702.Q9C882	3702.O64495	0	0	0	0	0	0	0	0.926	0.926
GTL1	PP2AA2	3702.Q9C882	3702.Q38950	0	0	0	0	0	0	0	0.771	0.771
GTL1	F15D2.5	3702.Q9C882	3702.Q6NPR7	0	0	0.358	0	0.056	0	0	0.482	0.658
GTL1	SHA1	3702.Q9C882	3702.Q8GUG6	0	0	0	0	0.044	0	0	0.793	0.793
GTL1	EPF2	3702.Q9C882	3702.Q8LC53	0	0	0	0	0	0	0	0.739	0.739
GTL1	ASR3	3702.Q9C882	3702.Q8VZ20	0	0	0	0	0	0	0	0.791	0.791
GTL1	Q94JR1_ARATH	3702.Q9C882	3702.Q94JR1	0	0	0	0	0.050	0	0	0.795	0.796
GTL1	EPFL9	3702.Q9C882	3702.Q9SV72	0	0	0	0	0.065	0	0	0.716	0.723
GTL1	ASIL2	3702.Q9C882	3702.Q9LJG8	0	0	0	0	0	0	0	0.791	0.791
GTL1	XXT3	3702.Q9C882	3702.Q9LF80	0	0	0	0	0	0	0	0.796	0.796
PP2AA2	XXT3	3702.Q38950	3702.Q9LF80	0	0	0	0	0	0	0	0.547	0.547
PP2AA2	GTL1	3702.Q38950	3702.Q9C882	0	0	0	0	0	0	0	0.771	0.771
Q94JR1_ARATH	GTL1	3702.Q94JR1	3702.Q9C882	0	0	0	0	0.050	0	0	0.795	0.796
SBT1.2	XXT3	3702.O64495	3702.Q9LF80	0	0	0	0	0	0	0	0.790	0.790
SBT1.2	EPFL9	3702.O64495	3702.Q9SV72	0	0	0	0	0.098	0	0	0.900	0.905
SBT1.2	EPF2	3702.O64495	3702.Q8LC53	0	0	0	0	0.216	0	0	0.898	0.916
SBT1.2	GTL1	3702.O64495	3702.Q9C882	0	0	0	0	0	0	0	0.926	0.926
SHA1	ASIL2	3702.Q8GUG6	3702.Q9LJG8	0	0	0	0	0	0	0	0.753	0.753
SHA1	GTL1	3702.Q8GUG6	3702.Q9C882	0	0	0	0	0.044	0	0	0.793	0.793
XXT3	SBT1.2	3702.Q9LF80	3702.O64495	0	0	0	0	0	0	0	0.790	0.790
XXT3	PP2AA2	3702.Q9LF80	3702.Q38950	0	0	0	0	0	0	0	0.547	0.547
XXT3	GTL1	3702.Q9LF80	3702.Q9C882	0	0	0	0	0	0	0	0.796	0.796
