#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MED14	MED15A	3702.Q9SR02	3702.F4I171	0	0	0.411	0	0.061	0.238	0.900	0.792	0.989
MED14	MED23	3702.Q9SR02	3702.F4I4P3	0	0	0.346	0	0.094	0.982	0.987	0.935	0.999
MED14	MED16	3702.Q9SR02	3702.F4JGZ1	0	0	0	0	0.059	0.478	0.900	0.964	0.997
MED14	MED8	3702.Q9SR02	3702.Q4V3C1	0	0	0	0	0	0.204	0.900	0.884	0.989
MED14	MED25	3702.Q9SR02	3702.Q7XYY2	0	0	0	0	0.061	0.325	0.900	0.938	0.995
MED14	MED32	3702.Q9SR02	3702.Q84VW5	0	0	0	0	0	0	0.900	0.972	0.997
MED14	MED27	3702.Q9SR02	3702.Q8RWM3	0	0	0	0	0.045	0.216	0.900	0.931	0.994
MED14	MED19A	3702.Q9SR02	3702.Q9FMP0	0	0	0	0	0	0	0.900	0.923	0.991
MED14	MED28	3702.Q9SR02	3702.Q9LFA5	0	0	0	0	0	0	0.900	0.652	0.963
MED14	MED18	3702.Q9SR02	3702.Q9SJZ6	0	0	0	0	0	0.991	0.960	0.982	0.999
MED15A	MED28	3702.F4I171	3702.Q9LFA5	0	0	0	0	0	0	0.900	0	0.900
MED15A	MED18	3702.F4I171	3702.Q9SJZ6	0	0	0	0	0	0.054	0.900	0.540	0.952
MED15A	MED23	3702.F4I171	3702.F4I4P3	0	0	0	0	0.079	0	0.900	0.718	0.971
MED15A	MED19A	3702.F4I171	3702.Q9FMP0	0	0	0	0	0.048	0	0.900	0.773	0.976
MED15A	MED27	3702.F4I171	3702.Q8RWM3	0	0	0	0	0	0.627	0.900	0.480	0.978
MED15A	MED25	3702.F4I171	3702.Q7XYY2	0	0	0.241	0	0.076	0.078	0.904	0.718	0.979
MED15A	MED32	3702.F4I171	3702.Q84VW5	0	0	0	0	0	0.237	0.900	0.784	0.982
MED15A	MED16	3702.F4I171	3702.F4JGZ1	0	0	0	0	0.060	0.246	0.900	0.801	0.984
MED15A	MED8	3702.F4I171	3702.Q4V3C1	0	0	0	0	0	0.627	0.900	0.719	0.988
MED15A	MED14	3702.F4I171	3702.Q9SR02	0	0	0.411	0	0.061	0.238	0.900	0.792	0.989
MED16	MED15A	3702.F4JGZ1	3702.F4I171	0	0	0	0	0.060	0.246	0.900	0.801	0.984
MED16	MED23	3702.F4JGZ1	3702.F4I4P3	0	0	0	0	0.047	0	0.900	0.894	0.989
MED16	MED28	3702.F4JGZ1	3702.Q9LFA5	0	0	0	0	0	0	0.900	0.790	0.978
MED16	MED19A	3702.F4JGZ1	3702.Q9FMP0	0	0	0	0	0	0	0.900	0.885	0.988
MED16	MED27	3702.F4JGZ1	3702.Q8RWM3	0	0	0	0	0	0.453	0.900	0.857	0.991
MED16	MED32	3702.F4JGZ1	3702.Q84VW5	0	0	0	0	0	0	0.900	0.937	0.993
MED16	MED8	3702.F4JGZ1	3702.Q4V3C1	0	0	0	0	0	0.239	0.900	0.947	0.995
MED16	MED18	3702.F4JGZ1	3702.Q9SJZ6	0	0	0	0	0	0	0.900	0.954	0.995
MED16	MED14	3702.F4JGZ1	3702.Q9SR02	0	0	0	0	0.059	0.478	0.900	0.964	0.997
