#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MMS21	PIAL1	3702.Q8GYH7	3702.A0A0A7EPL0	0	0	0	0	0	0.616	0	0.955	0.982
MMS21	NSE4B	3702.Q8GYH7	3702.F4JET1	0	0	0	0	0	0.908	0.887	0.780	0.997
MMS21	PIAL2	3702.Q8GYH7	3702.F4JYG0	0	0	0	0	0	0.616	0	0.959	0.983
MMS21	SCE1	3702.Q8GYH7	3702.Q42551	0	0	0	0	0.051	0.865	0.833	0.975	0.999
MMS21	SMC3	3702.Q8GYH7	3702.Q56YN8	0	0	0	0	0	0.710	0.833	0.660	0.982
MMS21	emb1379	3702.Q8GYH7	3702.Q84VP9	0	0	0	0	0	0.991	0.969	0.901	0.999
MMS21	SMC6B	3702.Q8GYH7	3702.Q9FII7	0	0	0	0	0	0.926	0.887	0.842	0.998
MMS21	NSE4A	3702.Q8GYH7	3702.Q9C689	0	0	0	0	0	0.908	0.887	0.886	0.998
MMS21	SMC6A	3702.Q8GYH7	3702.Q9FLR5	0	0	0	0	0	0.926	0.887	0.867	0.998
MMS21	SMC5	3702.Q8GYH7	3702.Q9LFS8	0	0	0	0	0	0.991	0.969	0.966	0.999
NSE4A	NSE4B	3702.Q9C689	3702.F4JET1	0	0	0.057	0.967	0	0	0.540	0.070	0.561
NSE4A	SCE1	3702.Q9C689	3702.Q42551	0	0	0	0	0	0	0.700	0.449	0.827
NSE4A	SMC3	3702.Q9C689	3702.Q56YN8	0	0	0	0	0.081	0.609	0.700	0.661	0.958
NSE4A	emb1379	3702.Q9C689	3702.Q84VP9	0	0	0	0	0.093	0.926	0.887	0.887	0.999
NSE4A	MMS21	3702.Q9C689	3702.Q8GYH7	0	0	0	0	0	0.908	0.887	0.886	0.998
NSE4A	SMC6B	3702.Q9C689	3702.Q9FII7	0	0	0	0	0.071	0.884	0.826	0.958	0.999
NSE4A	SMC6A	3702.Q9C689	3702.Q9FLR5	0	0	0	0	0.071	0.884	0.826	0.978	0.999
NSE4A	SMC5	3702.Q9C689	3702.Q9LFS8	0	0	0	0	0.248	0.926	0.887	0.974	0.999
NSE4B	NSE4A	3702.F4JET1	3702.Q9C689	0	0	0.057	0.967	0	0	0.540	0.070	0.561
NSE4B	SCE1	3702.F4JET1	3702.Q42551	0	0	0	0	0	0	0.700	0.212	0.753
NSE4B	SMC3	3702.F4JET1	3702.Q56YN8	0	0	0	0	0.081	0.609	0.700	0.355	0.921
NSE4B	emb1379	3702.F4JET1	3702.Q84VP9	0	0	0	0	0.093	0.926	0.887	0.477	0.995
NSE4B	MMS21	3702.F4JET1	3702.Q8GYH7	0	0	0	0	0	0.908	0.887	0.780	0.997
NSE4B	SMC6B	3702.F4JET1	3702.Q9FII7	0	0	0	0	0.071	0.884	0.826	0.969	0.999
NSE4B	SMC6A	3702.F4JET1	3702.Q9FLR5	0	0	0	0	0.071	0.884	0.826	0.961	0.999
NSE4B	SMC5	3702.F4JET1	3702.Q9LFS8	0	0	0	0	0.248	0.926	0.887	0.942	0.999
