#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AGL14	PIN3	3702.Q38838	3702.Q9S7Z8	0	0	0	0	0	0	0	0.407	0.407
AGL14	MYB124	3702.Q38838	3702.Q94FL6	0	0	0	0	0	0	0	0.431	0.431
ARF7	MYB124	3702.P93022	3702.Q94FL6	0	0	0	0	0	0	0	0.525	0.525
ARF7	PIN7	3702.P93022	3702.Q940Y5	0	0	0	0	0	0	0	0.790	0.790
ARF7	PIN3	3702.P93022	3702.Q9S7Z8	0	0	0	0	0	0	0	0.796	0.796
CSP3	MYB124	3702.Q94C69	3702.Q94FL6	0	0	0	0	0	0	0	0.472	0.472
CYCA2-3	FBS4	3702.Q38819	3702.Q5XF11	0	0	0	0	0	0	0	0.540	0.540
CYCA2-3	MYB124	3702.Q38819	3702.Q94FL6	0	0	0	0	0.080	0.066	0	0.550	0.579
CYCA2-3	FAMA	3702.Q38819	3702.Q56YJ8	0	0	0	0	0	0.089	0	0.570	0.591
FAMA	CYCA2-3	3702.Q56YJ8	3702.Q38819	0	0	0	0	0	0.089	0	0.570	0.591
FAMA	MYB124	3702.Q56YJ8	3702.Q94FL6	0	0	0	0	0	0	0	0.540	0.540
FBS4	CYCA2-3	3702.Q5XF11	3702.Q38819	0	0	0	0	0	0	0	0.540	0.540
FBS4	MYB124	3702.Q5XF11	3702.Q94FL6	0	0	0	0	0.050	0	0	0.631	0.634
LD	MYB124	3702.Q38796	3702.Q94FL6	0	0	0	0	0	0	0	0.541	0.541
MYB124	ARF7	3702.Q94FL6	3702.P93022	0	0	0	0	0	0	0	0.525	0.525
MYB124	LD	3702.Q94FL6	3702.Q38796	0	0	0	0	0	0	0	0.541	0.541
MYB124	CYCA2-3	3702.Q94FL6	3702.Q38819	0	0	0	0	0.080	0.066	0	0.550	0.579
MYB124	AGL14	3702.Q94FL6	3702.Q38838	0	0	0	0	0	0	0	0.431	0.431
MYB124	FAMA	3702.Q94FL6	3702.Q56YJ8	0	0	0	0	0	0	0	0.540	0.540
MYB124	FBS4	3702.Q94FL6	3702.Q5XF11	0	0	0	0	0.050	0	0	0.631	0.634
MYB124	PIN7	3702.Q94FL6	3702.Q940Y5	0	0	0	0	0.045	0	0	0.480	0.483
MYB124	CSP3	3702.Q94FL6	3702.Q94C69	0	0	0	0	0	0	0	0.472	0.472
MYB124	PIN3	3702.Q94FL6	3702.Q9S7Z8	0	0	0	0	0	0	0	0.486	0.486
MYB124	PUB7	3702.Q94FL6	3702.Q9CAG5	0	0	0	0	0	0	0	0.791	0.791
PIN3	ARF7	3702.Q9S7Z8	3702.P93022	0	0	0	0	0	0	0	0.796	0.796
PIN3	AGL14	3702.Q9S7Z8	3702.Q38838	0	0	0	0	0	0	0	0.407	0.407
PIN3	MYB124	3702.Q9S7Z8	3702.Q94FL6	0	0	0	0	0	0	0	0.486	0.486
PIN7	ARF7	3702.Q940Y5	3702.P93022	0	0	0	0	0	0	0	0.790	0.790
PIN7	MYB124	3702.Q940Y5	3702.Q94FL6	0	0	0	0	0.045	0	0	0.480	0.483
PUB7	MYB124	3702.Q9CAG5	3702.Q94FL6	0	0	0	0	0	0	0	0.791	0.791
