#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ASG8	PL1	3702.Q8RYE6	3702.A0A1P8B9P9	0	0	0	0	0	0	0	0.916	0.916
CYP83B1	PL1	3702.O65782	3702.A0A1P8B9P9	0	0	0	0	0	0	0	0.652	0.652
F4J381_ARATH	PL1	3702.F4J381	3702.A0A1P8B9P9	0	0	0	0	0	0	0	0.738	0.738
FLXL4	PL1	3702.Q9FH51	3702.A0A1P8B9P9	0	0	0	0	0	0	0	0.653	0.653
NRPD1	PL1	3702.Q9LQ02	3702.A0A1P8B9P9	0	0	0	0	0	0	0	0.740	0.740
NRPD1	RMR6	3702.Q9LQ02	3702.F4HZZ4	0	0	0	0	0	0	0	0.897	0.897
NRPD1	RDR2	3702.Q9LQ02	3702.O82504	0	0	0	0	0	0.926	0	0.963	0.997
NRPD1	NRPD2	3702.Q9LQ02	3702.Q9LK40	0	0	0	0	0.080	0.963	0.930	0.980	0.999
NRPD1	RMR1	3702.Q9LQ02	3702.Q9M622	0	0	0	0	0	0	0	0.544	0.544
NRPD2	PL1	3702.Q9LK40	3702.A0A1P8B9P9	0	0	0	0	0	0	0	0.740	0.740
NRPD2	RMR6	3702.Q9LK40	3702.F4HZZ4	0	0	0	0	0	0	0	0.826	0.826
NRPD2	RDR2	3702.Q9LK40	3702.O82504	0	0	0	0	0.079	0.800	0	0.926	0.985
NRPD2	RMR2	3702.Q9LK40	3702.Q8VZ14	0	0	0	0	0	0	0	0.515	0.515
NRPD2	RMR1	3702.Q9LK40	3702.Q9M622	0	0	0	0	0	0	0	0.541	0.541
NRPD2	NRPD1	3702.Q9LK40	3702.Q9LQ02	0	0	0	0	0.080	0.963	0.930	0.980	0.999
PL1	CYP83B1	3702.A0A1P8B9P9	3702.O65782	0	0	0	0	0	0	0	0.652	0.652
PL1	FLXL4	3702.A0A1P8B9P9	3702.Q9FH51	0	0	0	0	0	0	0	0.653	0.653
PL1	RDR2	3702.A0A1P8B9P9	3702.O82504	0	0	0	0	0	0	0	0.738	0.738
PL1	F4J381_ARATH	3702.A0A1P8B9P9	3702.F4J381	0	0	0	0	0	0	0	0.738	0.738
PL1	NRPD1	3702.A0A1P8B9P9	3702.Q9LQ02	0	0	0	0	0	0	0	0.740	0.740
PL1	NRPD2	3702.A0A1P8B9P9	3702.Q9LK40	0	0	0	0	0	0	0	0.740	0.740
PL1	RMR1	3702.A0A1P8B9P9	3702.Q9M622	0	0	0	0	0	0	0	0.754	0.754
PL1	RMR2	3702.A0A1P8B9P9	3702.Q8VZ14	0	0	0	0	0	0	0	0.784	0.784
PL1	RMR6	3702.A0A1P8B9P9	3702.F4HZZ4	0	0	0	0	0	0	0	0.905	0.905
PL1	ASG8	3702.A0A1P8B9P9	3702.Q8RYE6	0	0	0	0	0	0	0	0.916	0.916
RDR2	PL1	3702.O82504	3702.A0A1P8B9P9	0	0	0	0	0	0	0	0.738	0.738
RDR2	RMR6	3702.O82504	3702.F4HZZ4	0	0	0	0	0	0	0	0.894	0.894
RDR2	RMR1	3702.O82504	3702.Q9M622	0	0	0	0	0	0	0	0.548	0.548
RDR2	RMR2	3702.O82504	3702.Q8VZ14	0	0	0	0	0	0	0	0.599	0.599
RDR2	NRPD2	3702.O82504	3702.Q9LK40	0	0	0	0	0.079	0.800	0	0.926	0.985
RDR2	NRPD1	3702.O82504	3702.Q9LQ02	0	0	0	0	0	0.926	0	0.963	0.997
RMR1	PL1	3702.Q9M622	3702.A0A1P8B9P9	0	0	0	0	0	0	0	0.754	0.754
RMR1	RDR2	3702.Q9M622	3702.O82504	0	0	0	0	0	0	0	0.548	0.548
RMR1	NRPD2	3702.Q9M622	3702.Q9LK40	0	0	0	0	0	0	0	0.541	0.541
RMR1	NRPD1	3702.Q9M622	3702.Q9LQ02	0	0	0	0	0	0	0	0.544	0.544
RMR2	PL1	3702.Q8VZ14	3702.A0A1P8B9P9	0	0	0	0	0	0	0	0.784	0.784
RMR2	RDR2	3702.Q8VZ14	3702.O82504	0	0	0	0	0	0	0	0.599	0.599
RMR2	NRPD2	3702.Q8VZ14	3702.Q9LK40	0	0	0	0	0	0	0	0.515	0.515
RMR6	PL1	3702.F4HZZ4	3702.A0A1P8B9P9	0	0	0	0	0	0	0	0.905	0.905
RMR6	NRPD2	3702.F4HZZ4	3702.Q9LK40	0	0	0	0	0	0	0	0.826	0.826
RMR6	RDR2	3702.F4HZZ4	3702.O82504	0	0	0	0	0	0	0	0.894	0.894
RMR6	NRPD1	3702.F4HZZ4	3702.Q9LQ02	0	0	0	0	0	0	0	0.897	0.897
