#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATR	JHS1	3702.Q9FKS4	3702.A0A1P8ASY1	0	0	0	0	0.071	0.248	0.732	0.515	0.897
ATR	MSH3	3702.Q9FKS4	3702.O65607	0	0	0	0	0.263	0.549	0	0.419	0.790
ATR	F28I16.100	3702.Q9FKS4	3702.Q8L502	0	0	0	0	0	0.058	0.732	0.426	0.842
ATR	EXO1	3702.Q9FKS4	3702.Q8L6Z7	0	0	0	0	0.049	0.612	0.596	0.724	0.953
ATR	T10F20.10	3702.Q9FKS4	3702.Q94A33	0	0	0	0	0.049	0.612	0.596	0.551	0.924
ATR	MLH1	3702.Q9FKS4	3702.Q9ZRV4	0	0	0	0	0.070	0	0	0.546	0.560
ATR	MSH7	3702.Q9FKS4	3702.Q9SMV7	0	0	0	0	0.145	0.635	0	0.379	0.789
ATR	RECQSIM	3702.Q9FKS4	3702.Q9FT69	0	0	0	0	0.121	0.764	0.440	0.370	0.917
ATR	UVH1	3702.Q9FKS4	3702.Q9LKI5	0	0	0	0	0.071	0.228	0.537	0.877	0.953
ATR	KU70	3702.Q9FKS4	3702.Q9FQ08	0	0	0	0	0	0.608	0	0.895	0.957
EXO1	JHS1	3702.Q8L6Z7	3702.A0A1P8ASY1	0	0	0	0	0.391	0.620	0.596	0.454	0.942
EXO1	MSH3	3702.Q8L6Z7	3702.O65607	0	0	0	0	0.106	0.363	0.329	0.938	0.973
EXO1	F28I16.100	3702.Q8L6Z7	3702.Q8L502	0	0	0	0	0.069	0.048	0.596	0.425	0.766
EXO1	UVH1	3702.Q8L6Z7	3702.Q9LKI5	0	0	0	0	0.076	0.414	0.330	0.530	0.806
EXO1	T10F20.10	3702.Q8L6Z7	3702.Q94A33	0	0	0.129	0.812	0	0	0.900	0	0.909
EXO1	RECQSIM	3702.Q8L6Z7	3702.Q9FT69	0.063	0	0	0	0.286	0.581	0.414	0.555	0.913
EXO1	ATR	3702.Q8L6Z7	3702.Q9FKS4	0	0	0	0	0.049	0.612	0.596	0.724	0.953
EXO1	MSH7	3702.Q8L6Z7	3702.Q9SMV7	0	0	0	0	0.490	0.363	0.578	0.733	0.958
EXO1	KU70	3702.Q8L6Z7	3702.Q9FQ08	0	0	0	0	0.080	0.653	0	0.895	0.963
EXO1	MLH1	3702.Q8L6Z7	3702.Q9ZRV4	0	0	0	0	0.118	0.884	0.686	0.962	0.998
F28I16.100	JHS1	3702.Q8L502	3702.A0A1P8ASY1	0	0	0	0	0.069	0	0.732	0.516	0.868
F28I16.100	MSH3	3702.Q8L502	3702.O65607	0	0	0	0	0.059	0	0	0.487	0.496
