#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATG7	YUP8H12.3	3702.Q94CD5	3702.O23034	0	0	0	0	0	0	0.897	0.567	0.953
ATG7	ECR1	3702.Q94CD5	3702.O65041	0	0	0	0.561	0	0.091	0.917	0.394	0.950
ATG7	UBA1	3702.Q94CD5	3702.P93028	0	0	0	0	0.063	0.055	0.746	0.687	0.920
ATG7	UPL3	3702.Q94CD5	3702.Q6WWW4	0	0	0	0	0	0.067	0.940	0.205	0.951
ATG7	RKP	3702.Q94CD5	3702.Q9SIZ8	0	0	0	0	0	0	0.940	0.121	0.945
ATG7	UPL4	3702.Q94CD5	3702.Q9LYZ7	0	0	0	0	0.044	0.067	0.940	0.205	0.951
CBP20	K2A18.8	3702.Q9XFD1	3702.F4JZ11	0	0	0	0	0.126	0.308	0.793	0.185	0.884
CBP20	ECR1	3702.Q9XFD1	3702.O65041	0	0	0	0	0.130	0	0	0.423	0.476
CBP20	SC35	3702.Q9XFD1	3702.Q9FMG4	0	0	0	0.603	0	0.077	0.899	0.360	0.935
CBP20	RKP	3702.Q9XFD1	3702.Q9SIZ8	0	0	0	0	0	0.236	0.780	0.064	0.828
ECR1	YUP8H12.3	3702.O65041	3702.O23034	0	0	0	0.564	0	0	0.897	0.625	0.959
ECR1	CBP20	3702.O65041	3702.Q9XFD1	0	0	0	0	0.130	0	0	0.423	0.476
ECR1	UBA1	3702.O65041	3702.P93028	0	0	0	0.609	0.044	0.210	0.765	0.592	0.918
ECR1	RKP	3702.O65041	3702.Q9SIZ8	0	0	0	0	0	0	0.940	0.081	0.942
ECR1	ATG7	3702.O65041	3702.Q94CD5	0	0	0	0.561	0	0.091	0.917	0.394	0.950
ECR1	UPL3	3702.O65041	3702.Q6WWW4	0	0	0	0	0.054	0.067	0.940	0.514	0.970
ECR1	UPL4	3702.O65041	3702.Q9LYZ7	0	0	0	0	0	0.067	0.940	0.514	0.970
K2A18.8	SC35	3702.F4JZ11	3702.Q9FMG4	0	0	0	0	0.127	0.049	0.734	0.475	0.868
K2A18.8	CBP20	3702.F4JZ11	3702.Q9XFD1	0	0	0	0	0.126	0.308	0.793	0.185	0.884
K2A18.8	RKP	3702.F4JZ11	3702.Q9SIZ8	0	0	0	0	0.120	0.515	0.739	0.428	0.927
RKP	K2A18.8	3702.Q9SIZ8	3702.F4JZ11	0	0	0	0	0.120	0.515	0.739	0.428	0.927
RKP	UBP5	3702.Q9SIZ8	3702.O22207	0	0	0	0	0.121	0.077	0.747	0.126	0.796
RKP	YUP8H12.3	3702.Q9SIZ8	3702.O23034	0	0	0	0	0	0	0.940	0.081	0.942
RKP	ECR1	3702.Q9SIZ8	3702.O65041	0	0	0	0	0	0	0.940	0.081	0.942
RKP	UBA1	3702.Q9SIZ8	3702.P93028	0	0	0	0	0.061	0	0.488	0.611	0.796
RKP	UPL3	3702.Q9SIZ8	3702.Q6WWW4	0	0	0	0	0.089	0.170	0.747	0.090	0.802
RKP	ATG7	3702.Q9SIZ8	3702.Q94CD5	0	0	0	0	0	0	0.940	0.121	0.945
RKP	SC35	3702.Q9SIZ8	3702.Q9FMG4	0	0	0	0	0.060	0.042	0.758	0.206	0.803
RKP	UPL4	3702.Q9SIZ8	3702.Q9LYZ7	0	0	0	0	0.075	0.170	0.747	0.233	0.831
RKP	CBP20	3702.Q9SIZ8	3702.Q9XFD1	0	0	0	0	0	0.236	0.780	0.064	0.828
SC35	K2A18.8	3702.Q9FMG4	3702.F4JZ11	0	0	0	0	0.127	0.049	0.734	0.475	0.868
SC35	RKP	3702.Q9FMG4	3702.Q9SIZ8	0	0	0	0	0.060	0.042	0.758	0.206	0.803
SC35	CBP20	3702.Q9FMG4	3702.Q9XFD1	0	0	0	0.603	0	0.077	0.899	0.360	0.935
UBA1	YUP8H12.3	3702.P93028	3702.O23034	0	0	0	0.564	0	0	0.740	0.555	0.879
UBA1	ECR1	3702.P93028	3702.O65041	0	0	0	0.609	0.044	0.210	0.765	0.592	0.918
UBA1	RKP	3702.P93028	3702.Q9SIZ8	0	0	0	0	0.061	0	0.488	0.611	0.796
