#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MMS21	PIAL1	3702.Q8GYH7	3702.A0A0A7EPL0	0	0	0	0	0	0.616	0	0.955	0.982
MMS21	SUMO8	3702.Q8GYH7	3702.B3H5R8	0	0	0	0	0.069	0.272	0.498	0.791	0.919
MMS21	PIAL2	3702.Q8GYH7	3702.F4JYG0	0	0	0	0	0	0.616	0	0.959	0.983
MMS21	SAE1B-1	3702.Q8GYH7	3702.P0DI12	0	0	0	0	0	0	0	0.882	0.882
MMS21	SUMO1	3702.Q8GYH7	3702.P55852	0	0	0	0	0.069	0.272	0.498	0.936	0.975
MMS21	SCE1	3702.Q8GYH7	3702.Q42551	0	0	0	0	0.051	0.865	0.833	0.975	0.999
MMS21	SUMO5	3702.Q8GYH7	3702.Q8VZI7	0	0	0	0	0.074	0.272	0.498	0.857	0.945
MMS21	SUMO3	3702.Q8GYH7	3702.Q9FLP5	0	0	0	0	0.069	0.272	0.498	0.867	0.949
MMS21	SAE2	3702.Q8GYH7	3702.Q9SJT1	0	0	0	0	0	0	0	0.962	0.962
MMS21	SUMO2	3702.Q8GYH7	3702.Q9FLP6	0	0	0	0	0.069	0.272	0.498	0.919	0.968
PIAL1	SUMO8	3702.A0A0A7EPL0	3702.B3H5R8	0	0	0	0	0	0.558	0.415	0.468	0.850
PIAL1	SAE1B-1	3702.A0A0A7EPL0	3702.P0DI12	0	0	0	0	0	0.075	0	0.891	0.894
PIAL1	SAE2	3702.A0A0A7EPL0	3702.Q9SJT1	0	0	0	0	0	0.077	0	0.936	0.939
PIAL1	SUMO3	3702.A0A0A7EPL0	3702.Q9FLP5	0	0	0	0	0	0.558	0.415	0.800	0.943
PIAL1	PIAL2	3702.A0A0A7EPL0	3702.F4JYG0	0	0	0	0.874	0.110	0	0.900	0.474	0.949
PIAL1	SUMO2	3702.A0A0A7EPL0	3702.Q9FLP6	0	0	0	0	0	0.558	0.415	0.830	0.952
PIAL1	SUMO5	3702.A0A0A7EPL0	3702.Q8VZI7	0	0	0	0	0	0.558	0.415	0.830	0.952
PIAL1	SUMO1	3702.A0A0A7EPL0	3702.P55852	0	0	0	0	0	0.558	0.415	0.854	0.958
PIAL1	MMS21	3702.A0A0A7EPL0	3702.Q8GYH7	0	0	0	0	0	0.616	0	0.955	0.982
PIAL1	SCE1	3702.A0A0A7EPL0	3702.Q42551	0	0	0	0	0	0.886	0.681	0.955	0.998
PIAL2	PIAL1	3702.F4JYG0	3702.A0A0A7EPL0	0	0	0	0.874	0.110	0	0.900	0.474	0.949
PIAL2	SUMO8	3702.F4JYG0	3702.B3H5R8	0	0	0	0	0	0.558	0.415	0.618	0.892
PIAL2	SAE1B-1	3702.F4JYG0	3702.P0DI12	0	0	0	0	0	0.075	0	0.870	0.875
PIAL2	SAE2	3702.F4JYG0	3702.Q9SJT1	0	0	0	0	0.043	0.077	0	0.893	0.897
PIAL2	SUMO3	3702.F4JYG0	3702.Q9FLP5	0	0	0	0	0	0.558	0.415	0.820	0.949
PIAL2	SUMO5	3702.F4JYG0	3702.Q8VZI7	0	0	0	0	0	0.558	0.415	0.829	0.951
PIAL2	SUMO2	3702.F4JYG0	3702.Q9FLP6	0	0	0	0	0	0.558	0.415	0.830	0.952
PIAL2	SUMO1	3702.F4JYG0	3702.P55852	0	0	0	0	0	0.558	0.415	0.900	0.972
PIAL2	MMS21	3702.F4JYG0	3702.Q8GYH7	0	0	0	0	0	0.616	0	0.959	0.983
PIAL2	SCE1	3702.F4JYG0	3702.Q42551	0	0	0	0	0	0.908	0.681	0.939	0.998
SAE1B-1	PIAL1	3702.P0DI12	3702.A0A0A7EPL0	0	0	0	0	0	0.075	0	0.891	0.894
SAE1B-1	SUMO8	3702.P0DI12	3702.B3H5R8	0	0	0	0	0.208	0.534	0.399	0.427	0.855
SAE1B-1	PIAL2	3702.P0DI12	3702.F4JYG0	0	0	0	0	0	0.075	0	0.870	0.875
SAE1B-1	MMS21	3702.P0DI12	3702.Q8GYH7	0	0	0	0	0	0	0	0.882	0.882
SAE1B-1	SUMO3	3702.P0DI12	3702.Q9FLP5	0	0	0	0	0.208	0.534	0.399	0.828	0.956
SAE1B-1	SUMO2	3702.P0DI12	3702.Q9FLP6	0	0	0	0	0.211	0.534	0.399	0.835	0.958
SAE1B-1	SUMO5	3702.P0DI12	3702.Q8VZI7	0	0	0	0	0.208	0.534	0.399	0.839	0.959
SAE1B-1	SUMO1	3702.P0DI12	3702.P55852	0	0	0	0	0.208	0.534	0.399	0.853	0.963
SAE1B-1	SAE2	3702.P0DI12	3702.Q9SJT1	0	0	0	0.591	0.254	0.926	0.851	0.777	0.997
SAE1B-1	SCE1	3702.P0DI12	3702.Q42551	0.050	0	0	0	0.411	0.874	0.674	0.955	0.998
SAE2	PIAL1	3702.Q9SJT1	3702.A0A0A7EPL0	0	0	0	0	0	0.077	0	0.936	0.939
SAE2	SUMO8	3702.Q9SJT1	3702.B3H5R8	0	0	0	0	0.067	0.734	0.583	0.703	0.965
SAE2	PIAL2	3702.Q9SJT1	3702.F4JYG0	0	0	0	0	0.043	0.077	0	0.893	0.897
SAE2	SAE1B-1	3702.Q9SJT1	3702.P0DI12	0	0	0	0.591	0.254	0.926	0.851	0.777	0.997
SAE2	SUMO1	3702.Q9SJT1	3702.P55852	0	0	0	0	0.067	0.734	0.583	0.943	0.993
SAE2	SCE1	3702.Q9SJT1	3702.Q42551	0.050	0	0	0	0	0.994	0.909	0.963	0.999
SAE2	MMS21	3702.Q9SJT1	3702.Q8GYH7	0	0	0	0	0	0	0	0.962	0.962
SAE2	SUMO5	3702.Q9SJT1	3702.Q8VZI7	0	0	0	0	0.067	0.734	0.583	0.870	0.984
SAE2	SUMO3	3702.Q9SJT1	3702.Q9FLP5	0	0	0	0	0.067	0.734	0.583	0.849	0.982
SAE2	SUMO2	3702.Q9SJT1	3702.Q9FLP6	0	0	0	0	0.067	0.734	0.583	0.921	0.990
SCE1	PIAL1	3702.Q42551	3702.A0A0A7EPL0	0	0	0	0	0	0.886	0.681	0.955	0.998
SCE1	SUMO8	3702.Q42551	3702.B3H5R8	0	0	0	0	0.093	0.757	0.956	0.831	0.998
SCE1	PIAL2	3702.Q42551	3702.F4JYG0	0	0	0	0	0	0.908	0.681	0.939	0.998
SCE1	SAE1B-1	3702.Q42551	3702.P0DI12	0.050	0	0	0	0.411	0.874	0.674	0.955	0.998
SCE1	SUMO1	3702.Q42551	3702.P55852	0	0	0	0	0.162	0.949	0.956	0.963	0.999
SCE1	SUMO5	3702.Q42551	3702.Q8VZI7	0	0	0	0	0.093	0.757	0.956	0.922	0.999
SCE1	SUMO2	3702.Q42551	3702.Q9FLP6	0	0	0	0	0.108	0.860	0.956	0.962	0.999
SCE1	SAE2	3702.Q42551	3702.Q9SJT1	0.050	0	0	0	0	0.994	0.909	0.963	0.999
SCE1	SUMO3	3702.Q42551	3702.Q9FLP5	0	0	0	0	0.093	0.804	0.956	0.950	0.999
SCE1	MMS21	3702.Q42551	3702.Q8GYH7	0	0	0	0	0.051	0.865	0.833	0.975	0.999
SUMO1	PIAL1	3702.P55852	3702.A0A0A7EPL0	0	0	0	0	0	0.558	0.415	0.854	0.958
SUMO1	PIAL2	3702.P55852	3702.F4JYG0	0	0	0	0	0	0.558	0.415	0.900	0.972
SUMO1	SAE1B-1	3702.P55852	3702.P0DI12	0	0	0	0	0.208	0.534	0.399	0.853	0.963
SUMO1	SUMO2	3702.P55852	3702.Q9FLP6	0	0	0.052	0.976	0.446	0	0	0.062	0.464
SUMO1	MMS21	3702.P55852	3702.Q8GYH7	0	0	0	0	0.069	0.272	0.498	0.936	0.975
SUMO1	SAE2	3702.P55852	3702.Q9SJT1	0	0	0	0	0.067	0.734	0.583	0.943	0.993
SUMO1	SCE1	3702.P55852	3702.Q42551	0	0	0	0	0.162	0.949	0.956	0.963	0.999
SUMO2	PIAL1	3702.Q9FLP6	3702.A0A0A7EPL0	0	0	0	0	0	0.558	0.415	0.830	0.952
SUMO2	PIAL2	3702.Q9FLP6	3702.F4JYG0	0	0	0	0	0	0.558	0.415	0.830	0.952
SUMO2	SAE1B-1	3702.Q9FLP6	3702.P0DI12	0	0	0	0	0.211	0.534	0.399	0.835	0.958
SUMO2	SUMO1	3702.Q9FLP6	3702.P55852	0	0	0.052	0.976	0.446	0	0	0.062	0.464
SUMO2	SCE1	3702.Q9FLP6	3702.Q42551	0	0	0	0	0.108	0.860	0.956	0.962	0.999
SUMO2	MMS21	3702.Q9FLP6	3702.Q8GYH7	0	0	0	0	0.069	0.272	0.498	0.919	0.968
SUMO2	SAE2	3702.Q9FLP6	3702.Q9SJT1	0	0	0	0	0.067	0.734	0.583	0.921	0.990
