#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A8MQE7_ARATH	SCL28-2	3702.A8MQE7	3702.Q9CAN3	0	0	0	0	0	0	0	0.793	0.793
A8MQE7_ARATH	A8MRP3_ARATH	3702.A8MQE7	3702.A8MRP3	0	0	0	0	0	0	0	0.930	0.930
A8MQE7_ARATH	F4J1T5_ARATH	3702.A8MQE7	3702.F4J1T5	0	0	0	0	0	0	0	0.930	0.930
A8MQE7_ARATH	Q3ECR8_ARATH	3702.A8MQE7	3702.Q3ECR8	0	0	0	0	0	0	0	0.962	0.962
A8MQE7_ARATH	A8MRI8_ARATH	3702.A8MQE7	3702.A8MRI8	0	0	0	0	0	0	0	0.964	0.964
A8MRI8_ARATH	A8MQE7_ARATH	3702.A8MRI8	3702.A8MQE7	0	0	0	0	0	0	0	0.964	0.964
A8MRI8_ARATH	SCL28-2	3702.A8MRI8	3702.Q9CAN3	0	0	0	0	0	0	0	0.793	0.793
A8MRI8_ARATH	F4J1T5_ARATH	3702.A8MRI8	3702.F4J1T5	0	0	0	0	0.152	0	0	0.930	0.938
A8MRI8_ARATH	Q3ECR8_ARATH	3702.A8MRI8	3702.Q3ECR8	0	0	0	0	0	0	0	0.962	0.962
A8MRP3_ARATH	A8MQE7_ARATH	3702.A8MRP3	3702.A8MQE7	0	0	0	0	0	0	0	0.930	0.930
A8MRP3_ARATH	SCL28-2	3702.A8MRP3	3702.Q9CAN3	0	0	0	0	0	0	0	0.795	0.795
A8MRP3_ARATH	Q3ECR8_ARATH	3702.A8MRP3	3702.Q3ECR8	0	0	0	0	0	0	0	0.929	0.929
A8MRP3_ARATH	F4J1T5_ARATH	3702.A8MRP3	3702.F4J1T5	0	0	0	0	0	0	0	0.961	0.961
AHL11	EDA31	3702.Q8L7L5	3702.Q700D8	0	0	0	0	0.073	0	0	0.794	0.800
AHL11	BRN1-2	3702.Q8L7L5	3702.Q9C878	0	0	0	0	0	0	0	0.777	0.777
AHL11	SCL28-2	3702.Q8L7L5	3702.Q9CAN3	0	0	0	0	0.069	0	0	0.776	0.782
AHL11	MGH6.1	3702.Q8L7L5	3702.Q9LSI4	0	0	0	0	0	0	0	0.785	0.785
BRN1-2	EDA31	3702.Q9C878	3702.Q700D8	0	0	0	0	0	0	0	0.740	0.740
BRN1-2	AHL11	3702.Q9C878	3702.Q8L7L5	0	0	0	0	0	0	0	0.777	0.777
BRN1-2	SCL28-2	3702.Q9C878	3702.Q9CAN3	0	0	0	0	0	0	0	0.635	0.635
EDA31	BRN1-2	3702.Q700D8	3702.Q9C878	0	0	0	0	0	0	0	0.740	0.740
EDA31	SCL28-2	3702.Q700D8	3702.Q9CAN3	0	0	0	0	0.076	0	0	0.740	0.749
EDA31	MGH6.1	3702.Q700D8	3702.Q9LSI4	0	0	0	0	0	0	0	0.783	0.783
EDA31	AHL11	3702.Q700D8	3702.Q8L7L5	0	0	0	0	0.073	0	0	0.794	0.800
F4J1T5_ARATH	A8MQE7_ARATH	3702.F4J1T5	3702.A8MQE7	0	0	0	0	0	0	0	0.930	0.930
F4J1T5_ARATH	A8MRI8_ARATH	3702.F4J1T5	3702.A8MRI8	0	0	0	0	0.152	0	0	0.930	0.938
F4J1T5_ARATH	A8MRP3_ARATH	3702.F4J1T5	3702.A8MRP3	0	0	0	0	0	0	0	0.961	0.961
F4J1T5_ARATH	SCL28-2	3702.F4J1T5	3702.Q9CAN3	0	0	0	0	0.071	0	0	0.795	0.801
F4J1T5_ARATH	Q3ECR8_ARATH	3702.F4J1T5	3702.Q3ECR8	0	0	0	0	0	0	0	0.929	0.929
LRR-RLK-12	SCL28-2	3702.Q9LQ11	3702.Q9CAN3	0	0	0	0	0	0	0	0.792	0.792
MGH6.1	EDA31	3702.Q9LSI4	3702.Q700D8	0	0	0	0	0	0	0	0.783	0.783
MGH6.1	AHL11	3702.Q9LSI4	3702.Q8L7L5	0	0	0	0	0	0	0	0.785	0.785
MGH6.1	SCL28-2	3702.Q9LSI4	3702.Q9CAN3	0	0	0	0	0	0	0	0.715	0.715
Q3ECR8_ARATH	A8MQE7_ARATH	3702.Q3ECR8	3702.A8MQE7	0	0	0	0	0	0	0	0.962	0.962
Q3ECR8_ARATH	A8MRI8_ARATH	3702.Q3ECR8	3702.A8MRI8	0	0	0	0	0	0	0	0.962	0.962
Q3ECR8_ARATH	A8MRP3_ARATH	3702.Q3ECR8	3702.A8MRP3	0	0	0	0	0	0	0	0.929	0.929
Q3ECR8_ARATH	F4J1T5_ARATH	3702.Q3ECR8	3702.F4J1T5	0	0	0	0	0	0	0	0.929	0.929
Q3ECR8_ARATH	SCL28-2	3702.Q3ECR8	3702.Q9CAN3	0	0	0	0	0	0	0	0.790	0.790
SCL28-2	A8MQE7_ARATH	3702.Q9CAN3	3702.A8MQE7	0	0	0	0	0	0	0	0.793	0.793
SCL28-2	A8MRI8_ARATH	3702.Q9CAN3	3702.A8MRI8	0	0	0	0	0	0	0	0.793	0.793
SCL28-2	A8MRP3_ARATH	3702.Q9CAN3	3702.A8MRP3	0	0	0	0	0	0	0	0.795	0.795
SCL28-2	F4J1T5_ARATH	3702.Q9CAN3	3702.F4J1T5	0	0	0	0	0.071	0	0	0.795	0.801
SCL28-2	Q3ECR8_ARATH	3702.Q9CAN3	3702.Q3ECR8	0	0	0	0	0	0	0	0.790	0.790
SCL28-2	EDA31	3702.Q9CAN3	3702.Q700D8	0	0	0	0	0.076	0	0	0.740	0.749
SCL28-2	AHL11	3702.Q9CAN3	3702.Q8L7L5	0	0	0	0	0.069	0	0	0.776	0.782
SCL28-2	BRN1-2	3702.Q9CAN3	3702.Q9C878	0	0	0	0	0	0	0	0.635	0.635
SCL28-2	MGH6.1	3702.Q9CAN3	3702.Q9LSI4	0	0	0	0	0	0	0	0.715	0.715
SCL28-2	LRR-RLK-12	3702.Q9CAN3	3702.Q9LQ11	0	0	0	0	0	0	0	0.792	0.792
