#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATE1	K16L22.5	3702.Q0WRA3	3702.F4JZX8	0	0	0	0	0.061	0.846	0.639	0.207	0.953
ATE1	SKIP	3702.Q0WRA3	3702.O80653	0	0	0	0	0.083	0.890	0.765	0.110	0.976
ATE1	CDC5	3702.Q0WRA3	3702.P92948	0	0	0	0	0.046	0.934	0	0.230	0.947
ATE1	BRR2A	3702.Q0WRA3	3702.Q9SYP1	0	0	0	0	0	0.500	0.065	0	0.512
ATE1	PRP8A	3702.Q0WRA3	3702.Q9SSD2	0	0	0	0	0.053	0.686	0.090	0	0.705
ATE1	MSJ1.11	3702.Q0WRA3	3702.Q9FMF9	0	0	0	0	0.052	0.795	0.111	0.064	0.816
ATE1	CYP18-2	3702.Q0WRA3	3702.Q9SIH1	0	0	0	0	0.056	0.887	0	0.290	0.917
ATE1	MOS4	3702.Q0WRA3	3702.Q949S9	0	0	0	0	0.073	0.940	0	0.064	0.943
ATE1	Q9LS97_ARATH	3702.Q0WRA3	3702.Q9LS97	0	0	0	0	0.135	0.910	0.936	0	0.994
ATE1	T32B20.g	3702.Q0WRA3	3702.Q9LKU3	0	0	0	0	0.074	0.991	0.936	0.512	0.999
BRR2A	K16L22.5	3702.Q9SYP1	3702.F4JZX8	0	0	0	0	0.105	0.997	0	0.203	0.997
BRR2A	SKIP	3702.Q9SYP1	3702.O80653	0	0	0	0	0.069	0.997	0	0.531	0.998
BRR2A	CDC5	3702.Q9SYP1	3702.P92948	0	0	0	0	0.081	0.998	0	0.373	0.999
BRR2A	ATE1	3702.Q9SYP1	3702.Q0WRA3	0	0	0	0	0	0.500	0.065	0	0.512
BRR2A	MOS4	3702.Q9SYP1	3702.Q949S9	0	0	0	0	0	0.997	0	0.573	0.998
BRR2A	MSJ1.11	3702.Q9SYP1	3702.Q9FMF9	0	0	0	0	0.337	0.861	0	0.581	0.958
BRR2A	T32B20.g	3702.Q9SYP1	3702.Q9LKU3	0	0	0	0	0.140	0.998	0	0.354	0.999
BRR2A	Q9LS97_ARATH	3702.Q9SYP1	3702.Q9LS97	0	0	0	0	0	0.998	0	0.200	0.998
BRR2A	CYP18-2	3702.Q9SYP1	3702.Q9SIH1	0	0	0	0	0	0.995	0.065	0	0.995
BRR2A	PRP8A	3702.Q9SYP1	3702.Q9SSD2	0	0	0	0	0.602	0.778	0.563	0.923	0.996
CDC5	K16L22.5	3702.P92948	3702.F4JZX8	0	0	0	0	0.322	0.884	0.540	0.404	0.975
CDC5	SKIP	3702.P92948	3702.O80653	0	0	0.218	0	0.405	0.926	0	0.445	0.978
CDC5	ATE1	3702.P92948	3702.Q0WRA3	0	0	0	0	0.046	0.934	0	0.230	0.947
CDC5	CYP18-2	3702.P92948	3702.Q9SIH1	0	0	0	0	0.044	0.991	0	0.337	0.993
