#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CUL1	SKP2B	3702.Q94AH6	3702.O49286	0	0	0	0	0	0.425	0.186	0.235	0.611
CUL1	SKP1A	3702.Q94AH6	3702.Q39255	0	0	0	0	0	0.927	0.282	0.999	0.999
CUL1	DPB	3702.Q94AH6	3702.Q9FNY2	0	0	0	0	0	0	0.460	0.220	0.560
CUL1	E2FC	3702.Q94AH6	3702.Q9FV70	0	0	0	0	0	0.298	0.451	0.246	0.684
CUL1	SKP2A	3702.Q94AH6	3702.Q9LPL4	0	0	0	0	0	0.425	0.186	0.553	0.773
DPB	CUL1	3702.Q9FNY2	3702.Q94AH6	0	0	0	0	0	0	0.460	0.220	0.560
DPB	SKP2A	3702.Q9FNY2	3702.Q9LPL4	0	0	0	0	0.051	0.510	0	0.893	0.945
DPB	E2FC	3702.Q9FNY2	3702.Q9FV70	0	0	0.370	0	0.079	0.935	0.962	0.992	0.999
E2FC	SKP2B	3702.Q9FV70	3702.O49286	0	0	0	0	0	0.292	0	0.372	0.536
E2FC	CUL1	3702.Q9FV70	3702.Q94AH6	0	0	0	0	0	0.298	0.451	0.246	0.684
E2FC	DPB	3702.Q9FV70	3702.Q9FNY2	0	0	0.370	0	0.079	0.935	0.962	0.992	0.999
E2FC	SKP2A	3702.Q9FV70	3702.Q9LPL4	0	0	0	0	0	0	0	0.795	0.795
ERABP1	SKP1A	3702.P33487	3702.Q39255	0	0	0	0	0	0	0	0.494	0.493
ERABP1	IBR5	3702.P33487	3702.Q84JU4	0	0	0	0	0	0	0	0.719	0.719
ERABP1	SKP2A	3702.P33487	3702.Q9LPL4	0	0	0	0	0.072	0	0	0.796	0.802
F27D4.23	K7P8.5	3702.Q9ZUH0	3702.Q3EB08	0	0	0	0	0	0	0	0.898	0.898
F27D4.23	MXC20.10	3702.Q9ZUH0	3702.Q9FLX3	0	0	0	0	0	0	0	0.898	0.898
F27D4.23	SKP2A	3702.Q9ZUH0	3702.Q9LPL4	0	0	0	0	0	0	0	0.696	0.696
IBR5	ERABP1	3702.Q84JU4	3702.P33487	0	0	0	0	0	0	0	0.719	0.719
IBR5	SKP1A	3702.Q84JU4	3702.Q39255	0	0	0	0	0.054	0.466	0	0.305	0.618
IBR5	SKP2A	3702.Q84JU4	3702.Q9LPL4	0	0	0	0	0.052	0	0	0.718	0.721
K7P8.5	SKP2A	3702.Q3EB08	3702.Q9LPL4	0	0	0	0	0	0	0	0.696	0.696
K7P8.5	F27D4.23	3702.Q3EB08	3702.Q9ZUH0	0	0	0	0	0	0	0	0.898	0.898
K7P8.5	MXC20.10	3702.Q3EB08	3702.Q9FLX3	0	0	0	0	0.062	0	0	0.898	0.900
MXC20.10	K7P8.5	3702.Q9FLX3	3702.Q3EB08	0	0	0	0	0.062	0	0	0.898	0.900
MXC20.10	SKP2A	3702.Q9FLX3	3702.Q9LPL4	0	0	0	0	0	0	0	0.696	0.696
MXC20.10	F27D4.23	3702.Q9FLX3	3702.Q9ZUH0	0	0	0	0	0	0	0	0.898	0.898
SKP1A	SKP2B	3702.Q39255	3702.O49286	0	0	0	0	0	0.353	0.151	0.314	0.590
SKP1A	ERABP1	3702.Q39255	3702.P33487	0	0	0	0	0	0	0	0.494	0.493
SKP1A	IBR5	3702.Q39255	3702.Q84JU4	0	0	0	0	0.054	0.466	0	0.305	0.618
SKP1A	SKP2A	3702.Q39255	3702.Q9LPL4	0	0	0	0	0	0.558	0.151	0.403	0.756
SKP1A	CUL1	3702.Q39255	3702.Q94AH6	0	0	0	0	0	0.927	0.282	0.999	0.999
SKP2A	SKP2B	3702.Q9LPL4	3702.O49286	0	0	0.050	0.981	0.150	0	0.900	0.055	0.913
SKP2A	ERABP1	3702.Q9LPL4	3702.P33487	0	0	0	0	0.072	0	0	0.796	0.802
SKP2A	SKP1A	3702.Q9LPL4	3702.Q39255	0	0	0	0	0	0.558	0.151	0.403	0.756
SKP2A	K7P8.5	3702.Q9LPL4	3702.Q3EB08	0	0	0	0	0	0	0	0.696	0.696
SKP2A	IBR5	3702.Q9LPL4	3702.Q84JU4	0	0	0	0	0.052	0	0	0.718	0.721
SKP2A	CUL1	3702.Q9LPL4	3702.Q94AH6	0	0	0	0	0	0.425	0.186	0.553	0.773
SKP2A	MXC20.10	3702.Q9LPL4	3702.Q9FLX3	0	0	0	0	0	0	0	0.696	0.696
SKP2A	DPB	3702.Q9LPL4	3702.Q9FNY2	0	0	0	0	0.051	0.510	0	0.893	0.945
SKP2A	E2FC	3702.Q9LPL4	3702.Q9FV70	0	0	0	0	0	0	0	0.795	0.795
SKP2A	F27D4.23	3702.Q9LPL4	3702.Q9ZUH0	0	0	0	0	0	0	0	0.696	0.696
SKP2B	E2FC	3702.O49286	3702.Q9FV70	0	0	0	0	0	0.292	0	0.372	0.536
SKP2B	SKP1A	3702.O49286	3702.Q39255	0	0	0	0	0	0.353	0.151	0.314	0.590
SKP2B	CUL1	3702.O49286	3702.Q94AH6	0	0	0	0	0	0.425	0.186	0.235	0.611
SKP2B	SKP2A	3702.O49286	3702.Q9LPL4	0	0	0.050	0.981	0.150	0	0.900	0.055	0.913
