#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BRCA1	XRI1	3702.Q8RXD4	3702.Q6NLW5	0	0	0	0	0.094	0	0	0.772	0.784
BRCA1	SOG1	3702.Q8RXD4	3702.Q6NQK2	0	0	0	0	0.050	0	0	0.791	0.792
BRCA1	WEE1	3702.Q8RXD4	3702.Q8L4H0	0	0	0	0	0.123	0	0	0.690	0.717
BRCA1	SMR7	3702.Q8RXD4	3702.Q9LVX6	0	0	0	0	0	0	0	0.758	0.758
BRCA1	SMR5	3702.Q8RXD4	3702.Q9LNX4	0	0	0	0	0	0	0	0.790	0.790
CYCU3-1	SMR5	3702.Q8LB60	3702.Q9LNX4	0	0	0	0	0	0	0	0.790	0.790
MYB3R3	NAC085	3702.Q8H1P9	3702.A0A1P8BAI4	0	0	0	0	0.055	0	0	0.889	0.890
MYB3R3	NAC044	3702.Q8H1P9	3702.F4J4R5	0	0	0	0	0.055	0	0	0.881	0.882
MYB3R3	SOG1	3702.Q8H1P9	3702.Q6NQK2	0	0	0	0	0.056	0	0	0.823	0.825
MYB3R3	WEE1	3702.Q8H1P9	3702.Q8L4H0	0	0	0	0	0.053	0	0	0.483	0.489
MYB3R3	SMR5	3702.Q8H1P9	3702.Q9LNX4	0	0	0	0	0	0	0	0.796	0.796
MYB3R3	SMR7	3702.Q8H1P9	3702.Q9LVX6	0	0	0	0	0	0	0	0.804	0.804
NAC044	WEE1	3702.F4J4R5	3702.Q8L4H0	0	0	0	0	0	0.064	0	0.723	0.730
NAC044	SMR5	3702.F4J4R5	3702.Q9LNX4	0	0	0	0	0	0	0	0.792	0.792
NAC044	SMR7	3702.F4J4R5	3702.Q9LVX6	0	0	0	0	0	0	0	0.793	0.793
NAC044	MYB3R3	3702.F4J4R5	3702.Q8H1P9	0	0	0	0	0.055	0	0	0.881	0.882
NAC085	WEE1	3702.A0A1P8BAI4	3702.Q8L4H0	0	0	0	0	0	0.064	0	0.664	0.672
NAC085	SMR5	3702.A0A1P8BAI4	3702.Q9LNX4	0	0	0	0	0	0	0	0.793	0.793
NAC085	SMR7	3702.A0A1P8BAI4	3702.Q9LVX6	0	0	0	0	0.042	0	0	0.794	0.794
NAC085	MYB3R3	3702.A0A1P8BAI4	3702.Q8H1P9	0	0	0	0	0.055	0	0	0.889	0.890
SMR3	SMR5	3702.Q9LZ60	3702.Q9LNX4	0	0	0	0	0	0	0	0.791	0.791
SMR3	SMR7	3702.Q9LZ60	3702.Q9LVX6	0	0	0	0	0	0	0	0.600	0.600
SMR5	NAC085	3702.Q9LNX4	3702.A0A1P8BAI4	0	0	0	0	0	0	0	0.793	0.793
SMR5	NAC044	3702.Q9LNX4	3702.F4J4R5	0	0	0	0	0	0	0	0.792	0.792
SMR5	XRI1	3702.Q9LNX4	3702.Q6NLW5	0	0	0	0	0	0	0	0.785	0.785
SMR5	SOG1	3702.Q9LNX4	3702.Q6NQK2	0	0	0	0	0	0	0	0.899	0.899
SMR5	MYB3R3	3702.Q9LNX4	3702.Q8H1P9	0	0	0	0	0	0	0	0.796	0.796
SMR5	WEE1	3702.Q9LNX4	3702.Q8L4H0	0	0	0	0	0	0	0	0.794	0.794
