#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATR	RAD51	3702.Q9FKS4	3702.P94102	0	0	0	0	0	0.326	0.183	0.848	0.909
ATR	CHR25	3702.Q9FKS4	3702.Q0PCS3	0	0	0	0	0.055	0.188	0	0.808	0.840
ATR	SMR4	3702.Q9FKS4	3702.Q1JPP8	0	0	0	0	0	0	0	0.574	0.574
ATR	PER53	3702.Q9FKS4	3702.Q42578	0	0	0	0	0	0	0	0.738	0.738
ATR	SOG1	3702.Q9FKS4	3702.Q6NQK2	0	0	0	0	0.081	0	0	0.926	0.929
ATR	MYB3R5	3702.Q9FKS4	3702.Q6R032	0	0	0	0	0	0	0	0.433	0.433
ATR	MYB3R3	3702.Q9FKS4	3702.Q8H1P9	0	0	0	0	0.055	0	0	0.435	0.443
ATR	WEE1	3702.Q9FKS4	3702.Q8L4H0	0	0	0	0	0	0.331	0	0.913	0.939
ATR	SMR7	3702.Q9FKS4	3702.Q9LVX6	0	0	0	0	0	0	0	0.775	0.775
ATR	SMR5	3702.Q9FKS4	3702.Q9LNX4	0	0	0	0	0	0	0	0.785	0.785
CHR25	RAD51	3702.Q0PCS3	3702.P94102	0	0	0	0	0.202	0.606	0	0.972	0.990
CHR25	WEE1	3702.Q0PCS3	3702.Q8L4H0	0	0	0	0	0.166	0.054	0	0.437	0.517
CHR25	SMR5	3702.Q0PCS3	3702.Q9LNX4	0	0	0	0	0	0	0	0.540	0.540
CHR25	SMR7	3702.Q0PCS3	3702.Q9LVX6	0	0	0	0	0	0	0	0.546	0.546
CHR25	SOG1	3702.Q0PCS3	3702.Q6NQK2	0	0	0	0	0.050	0.259	0	0.760	0.816
CHR25	ATR	3702.Q0PCS3	3702.Q9FKS4	0	0	0	0	0.055	0.188	0	0.808	0.840
MYB3R3	SMR4	3702.Q8H1P9	3702.Q1JPP8	0	0	0	0	0	0	0	0.738	0.738
MYB3R3	SOG1	3702.Q8H1P9	3702.Q6NQK2	0	0	0	0	0.056	0	0	0.823	0.825
MYB3R3	ATR	3702.Q8H1P9	3702.Q9FKS4	0	0	0	0	0.055	0	0	0.435	0.443
MYB3R3	WEE1	3702.Q8H1P9	3702.Q8L4H0	0	0	0	0	0.053	0	0	0.483	0.489
MYB3R3	SMR5	3702.Q8H1P9	3702.Q9LNX4	0	0	0	0	0	0	0	0.796	0.796
MYB3R3	SMR7	3702.Q8H1P9	3702.Q9LVX6	0	0	0	0	0	0	0	0.804	0.804
MYB3R5	SMR4	3702.Q6R032	3702.Q1JPP8	0	0	0	0	0	0	0	0.760	0.760
MYB3R5	SOG1	3702.Q6R032	3702.Q6NQK2	0	0	0	0	0.044	0	0	0.804	0.804
MYB3R5	ATR	3702.Q6R032	3702.Q9FKS4	0	0	0	0	0	0	0	0.433	0.433
MYB3R5	SMR5	3702.Q6R032	3702.Q9LNX4	0	0	0	0	0	0	0	0.785	0.785
MYB3R5	SMR7	3702.Q6R032	3702.Q9LVX6	0	0	0	0	0	0	0	0.791	0.791
PER53	RAD51	3702.Q42578	3702.P94102	0	0	0	0	0	0.054	0	0.540	0.546
PER53	WEE1	3702.Q42578	3702.Q8L4H0	0	0	0	0	0	0.066	0	0.472	0.485
PER53	SMR5	3702.Q42578	3702.Q9LNX4	0	0	0	0	0	0	0.065	0.473	0.486
PER53	SMR7	3702.Q42578	3702.Q9LVX6	0	0	0	0	0	0	0	0.514	0.514
PER53	ATR	3702.Q42578	3702.Q9FKS4	0	0	0	0	0	0	0	0.738	0.738
PER53	SOG1	3702.Q42578	3702.Q6NQK2	0	0	0	0	0	0	0	0.894	0.894
RAD51	PER53	3702.P94102	3702.Q42578	0	0	0	0	0	0.054	0	0.540	0.546
RAD51	SMR4	3702.P94102	3702.Q1JPP8	0	0	0	0	0.101	0	0	0.698	0.717
RAD51	SMR7	3702.P94102	3702.Q9LVX6	0	0	0	0	0	0	0	0.777	0.777
RAD51	SMR5	3702.P94102	3702.Q9LNX4	0	0	0	0	0	0	0	0.784	0.784
RAD51	SOG1	3702.P94102	3702.Q6NQK2	0	0	0	0	0	0	0	0.820	0.820
RAD51	WEE1	3702.P94102	3702.Q8L4H0	0	0	0	0	0.187	0	0	0.811	0.839
RAD51	ATR	3702.P94102	3702.Q9FKS4	0	0	0	0	0	0.326	0.183	0.848	0.909
RAD51	CHR25	3702.P94102	3702.Q0PCS3	0	0	0	0	0.202	0.606	0	0.972	0.990
SMR4	RAD51	3702.Q1JPP8	3702.P94102	0	0	0	0	0.101	0	0	0.698	0.717
SMR4	ATR	3702.Q1JPP8	3702.Q9FKS4	0	0	0	0	0	0	0	0.574	0.574
SMR4	MYB3R3	3702.Q1JPP8	3702.Q8H1P9	0	0	0	0	0	0	0	0.738	0.738
SMR4	MYB3R5	3702.Q1JPP8	3702.Q6R032	0	0	0	0	0	0	0	0.760	0.760
SMR4	WEE1	3702.Q1JPP8	3702.Q8L4H0	0	0	0	0	0.057	0	0	0.794	0.797
SMR4	SOG1	3702.Q1JPP8	3702.Q6NQK2	0	0	0	0	0	0	0	0.816	0.816
SMR4	SMR7	3702.Q1JPP8	3702.Q9LVX6	0	0	0	0	0.048	0	0	0.893	0.893
SMR5	RAD51	3702.Q9LNX4	3702.P94102	0	0	0	0	0	0	0	0.784	0.784
SMR5	CHR25	3702.Q9LNX4	3702.Q0PCS3	0	0	0	0	0	0	0	0.540	0.540
SMR5	PER53	3702.Q9LNX4	3702.Q42578	0	0	0	0	0	0	0.065	0.473	0.486
SMR5	SOG1	3702.Q9LNX4	3702.Q6NQK2	0	0	0	0	0	0	0	0.899	0.899
SMR5	MYB3R5	3702.Q9LNX4	3702.Q6R032	0	0	0	0	0	0	0	0.785	0.785
SMR5	MYB3R3	3702.Q9LNX4	3702.Q8H1P9	0	0	0	0	0	0	0	0.796	0.796
SMR5	WEE1	3702.Q9LNX4	3702.Q8L4H0	0	0	0	0	0	0	0	0.794	0.794
SMR5	ATR	3702.Q9LNX4	3702.Q9FKS4	0	0	0	0	0	0	0	0.785	0.785
SMR5	SMR7	3702.Q9LNX4	3702.Q9LVX6	0	0	0	0	0	0	0	0.956	0.956
SMR7	RAD51	3702.Q9LVX6	3702.P94102	0	0	0	0	0	0	0	0.777	0.777
SMR7	CHR25	3702.Q9LVX6	3702.Q0PCS3	0	0	0	0	0	0	0	0.546	0.546
SMR7	SMR4	3702.Q9LVX6	3702.Q1JPP8	0	0	0	0	0.048	0	0	0.893	0.893
SMR7	PER53	3702.Q9LVX6	3702.Q42578	0	0	0	0	0	0	0	0.514	0.514
SMR7	SOG1	3702.Q9LVX6	3702.Q6NQK2	0	0	0	0	0	0	0	0.900	0.900
SMR7	MYB3R5	3702.Q9LVX6	3702.Q6R032	0	0	0	0	0	0	0	0.791	0.791
SMR7	MYB3R3	3702.Q9LVX6	3702.Q8H1P9	0	0	0	0	0	0	0	0.804	0.804
SMR7	WEE1	3702.Q9LVX6	3702.Q8L4H0	0	0	0	0	0	0	0	0.825	0.825
SMR7	ATR	3702.Q9LVX6	3702.Q9FKS4	0	0	0	0	0	0	0	0.775	0.775
SMR7	SMR5	3702.Q9LVX6	3702.Q9LNX4	0	0	0	0	0	0	0	0.956	0.956
SOG1	RAD51	3702.Q6NQK2	3702.P94102	0	0	0	0	0	0	0	0.820	0.820
SOG1	CHR25	3702.Q6NQK2	3702.Q0PCS3	0	0	0	0	0.050	0.259	0	0.760	0.816
SOG1	SMR4	3702.Q6NQK2	3702.Q1JPP8	0	0	0	0	0	0	0	0.816	0.816
SOG1	PER53	3702.Q6NQK2	3702.Q42578	0	0	0	0	0	0	0	0.894	0.894
SOG1	MYB3R5	3702.Q6NQK2	3702.Q6R032	0	0	0	0	0.044	0	0	0.804	0.804
SOG1	MYB3R3	3702.Q6NQK2	3702.Q8H1P9	0	0	0	0	0.056	0	0	0.823	0.825
SOG1	SMR5	3702.Q6NQK2	3702.Q9LNX4	0	0	0	0	0	0	0	0.899	0.899
SOG1	SMR7	3702.Q6NQK2	3702.Q9LVX6	0	0	0	0	0	0	0	0.900	0.900
SOG1	WEE1	3702.Q6NQK2	3702.Q8L4H0	0	0	0	0	0.056	0	0	0.926	0.927
SOG1	ATR	3702.Q6NQK2	3702.Q9FKS4	0	0	0	0	0.081	0	0	0.926	0.929
WEE1	RAD51	3702.Q8L4H0	3702.P94102	0	0	0	0	0.187	0	0	0.811	0.839
