node	edge_count
RBR1	61
CDKA-1	50
CDKB1-1	38
CYCA2-3	37
WEE1	29
CDKB1-2	29
APC8	28
APC10	28
ATR	26
APC6	26
DPA	26
FZR1	26
DPB	26
APC4	25
CDKB2-1	25
CKS1	24
APC7	23
APC5	22
CKS2	22
FZR2	21
SMR5	21
CYCD3-1	20
APC1	20
EPF2	19
CDKB2-2	19
CDC27B	19
MYB3R3	19
APC11	19
SOG1	18
FZR3	18
E2FA	18
FBL17	18
MAD2	18
CDC20-1	18
APC2	18
SPCH	18
SMR7	18
KRP2	17
RS2Z33	17
EPF1	17
KRP7	16
EPFL9	16
CYCB1-2	16
SCRM2	16
SCRM	16
CYCB1-1	15
SC35	15
MOS4	15
SBT1.2	15
E2FC	15
BASL	15
CYCD2-1	15
MSJ1.11	15
CDC25	14
MUTE	14
ERL1	14
CDC6	14
SMR1	14
CDC27A	13
KRP4	13
RSZ22	13
MYB88	13
FAMA	13
YDA	13
SMR4	13
RSZ21	13
BUB3.1	12
E2FB	12
SIM	12
SCL30A	12
MSI1	12
CYCA2-1	12
CYCD4-1	12
CYCL1-1	12
PYM	12
KRP3	12
E2FE	11
KRP1-2	11
SR34	11
SKP2A	11
SKP2B	11
ALY3	11
RHF1A	11
KIP	11
ALY1	11
SMR2	11
CYCA1-1	11
Q3E931_ARATH	10
MED25	10
MED8	10
SKIP	10
MPK6	10
UBP24	10
UBC19	10
PBP1-2	10
UBP14	10
MYB124	10
SMC5	10
MED32	10
MED27	10
MED19A	10
MMS21	10
PL1	10
MED18	10
MED28	10
MPK3	10
RECQSIM	10
CDC5	10
SMR3	10
Q9LS97_ARATH	10
T32B20.g	10
SMR11	10
SCL28-2	10
SCL28	10
MED23	10
SCL30	10
SCL33-2	10
CYP18-2	10
K2A18.8	10
BRR2A	10
RKP	10
KU70	10
UVH1	10
MLH1	10
T10F20.10	10
EXO1	10
MSH3	10
JHS1	10
PRP8A	10
MED16	10
K16L22.5	10
MED15A	10
MS5	10
CYCA1-2	10
E2FD	10
ASHH1	10
MED14	10
NMD3	10
PES	10
MDB19.11	10
T32M21_200	10
RPL23AB	10
RDP1	10
RPL23AA	10
RPL5B	10
T13E15.13	10
EBP1	10
ALY2	10
ASHR3	10
ATXR6	10
CDKG1	10
CYP51G1	10
ERG28	10
CAS1	10
CDC20-6	10
CDC20-5	10
CDC20-4	10
CDC20-3	10
CDC20-2	10
KRP1	10
GIG1	10
NUG2	10
ATPK1	10
ATE1	10
GTL1	10
T2P4.2	9
RPS27AB	9
RPS27AA	9
F28I16.100	9
UBP12	9
RPL40B	9
SCE1	9
RPL40A	9
MSH7	9
RPS27AC	9
NSE4B	8
FKBP12	8
SR34B	8
SMC3	8
TOR	8
RNU1	8
NSE4A	8
SMC6A	8
SR30	8
RPS6B	8
LST8-1	8
RPS6A	8
TMM	8
SMC6B	8
RAPTOR2	8
UBP26	8
RAPTOR1	8
UBP13	8
RAD51	8
DUO1	8
CYCB2-4	7
F16M2.180	7
KRP5	7
KRP6	7
RHF2A	7
Y14	7
SKP1A	7
CYCB1-3	7
DUO3	7
SMR6	7
emb1379	7
ECR1	7
RAD4	7
CYCA2-2	6
RDR2	6
SMR8	6
ATG7	6
YUP8H12.3	6
SAC3B	6
SAC3C	6
UBA1	6
CYCD4-2	6
UPL4	6
UPL3	6
CYCA2-4	6
PER53	6
CHR25	6
NRPD2	6
CUL1	6
MYB3R5	5
SF1	5
BRCA1	5
U2AF65A	5
PRP19A	5
F4IIZ5_ARATH	5
PRP19B	5
XRI1	5
MOS14	5
SNC1	5
NRPD1	5
F4J1T5_ARATH	5
EER5	5
ENY2	5
A8MQE7_ARATH	5
Q3ECR8_ARATH	5
BRXL2	5
RH13	4
NAC044	4
CBP20	4
PIAL1	4
A8MRP3_ARATH	4
HTR2	4
RMR6	4
PIAL2	4
MYB3R4	4
CML5	4
NAC085	4
RMR1	4
CPI1	4
CYCA3-4	4
CYCA3-1	4
DYAD	4
K15I22.11	4
UMAMIT24	4
FKBP43	4
Dl3855w	4
SMT1	4
HTR4	4
SPO11-1	4
EDA31	4
AHL11	4
A8MRI8_ARATH	4
PDPK1	4
ASIL2	3
XXT3	3
PIN3	3
ARF7	3
SQE4	3
SQE2	3
RUXF	3
HTR11	3
SQE3	3
MGH3	3
F10A5.19	3
T6J4.12	3
SQE1	3
IAA14	3
MGH6.1	3
BRN1-2	3
ERABP1	3
IBR5	3
F27D4.23	3
K7P8.5	3
MXC20.10	3
RMR2	3
CYCH1-1	3
HTR12	3
SKIP24	3
T24H18.80	3
SQE6	3
KINUA	3
SQE5	3
F6I18.270	3
F4J8S4_ARATH	2
GATA27	2
F4J8S5_ARATH	2
NPU	2
A0A1P8B5C8	2
SHA1	2
ASR3	2
F9C22.2	2
PP2AA2	2
AGL14	2
PIN7	2
FBS4	2
CML12	2
Q8GUH8_ARATH	2
GATA23	2
CYCU2-2	2
CALS5	2
ATG6	2
NDL3	1
SINAT6	1
TAC1-2	1
SPH7	1
C7A10.860	1
ICR4	1
T8M16_210	1
KIN4B	1
FIP1-2	1
SAUR7	1
CYCU3-1	1
PDPK2	1
RPP8	1
PYM-2	1
F4J8A2_ARATH	1
LRR-RLK-12	1
UBP5	1
CPR5	1
TMN1	1
TMN4	1
FLXL4	1
F4J381_ARATH	1
CYP83B1	1
ASG8	1
Q9LUI0_ARATH	1
T22E16.10	1
PUB7	1
LD	1
CSP3	1
JAG	1
Q94JR1_ARATH	1
F15D2.5	1
S1FA1	1
EXA1	1
PANS1	1
UPB1	1
