#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CW9	F12A24.5	3702.Q9LQ54	3702.Q9ZVX6	0	0	0	0	0.069	0	0	0.680	0.689
F12A24.5	F27J15.5	3702.Q9ZVX6	3702.F4I1N8	0	0	0	0	0	0.154	0.327	0.070	0.424
F12A24.5	SYD	3702.Q9ZVX6	3702.F4IHS2	0	0	0	0	0	0.501	0.091	0.047	0.529
F12A24.5	SUVR5	3702.Q9ZVX6	3702.O64827	0	0	0	0	0.049	0.318	0.190	0.042	0.429
F12A24.5	RBL-2	3702.Q9ZVX6	3702.Q5E915	0	0	0	0	0	0.308	0.238	0.076	0.470
F12A24.5	R18I.4	3702.Q9ZVX6	3702.Q8W3K0	0	0	0	0	0.044	0	0	0.542	0.543
F12A24.5	K21L19.12	3702.Q9ZVX6	3702.Q93Z08	0	0	0	0	0	0.051	0	0.718	0.720
F12A24.5	TRO	3702.Q9ZVX6	3702.Q9C8J7	0	0	0	0	0.047	0.300	0.237	0.078	0.467
F12A24.5	ROS3	3702.Q9ZVX6	3702.Q9FGT1	0	0	0	0	0	0.061	0.077	0.513	0.541
F12A24.5	CW9	3702.Q9ZVX6	3702.Q9LQ54	0	0	0	0	0.069	0	0	0.680	0.689
F12A24.5	F23H11.10	3702.Q9ZVX6	3702.Q9XIF0	0	0	0	0	0	0	0	0.485	0.485
F23H11.10	F12A24.5	3702.Q9XIF0	3702.Q9ZVX6	0	0	0	0	0	0	0	0.485	0.485
F27J15.5	F12A24.5	3702.F4I1N8	3702.Q9ZVX6	0	0	0	0	0	0.154	0.327	0.070	0.424
F27J15.5	SUVR5	3702.F4I1N8	3702.O64827	0	0	0	0	0.057	0.072	0.427	0.156	0.520
K21L19.12	ROS3	3702.Q93Z08	3702.Q9FGT1	0	0	0	0	0	0.070	0	0.572	0.584
K21L19.12	F12A24.5	3702.Q93Z08	3702.Q9ZVX6	0	0	0	0	0	0.051	0	0.718	0.720
R18I.4	F12A24.5	3702.Q8W3K0	3702.Q9ZVX6	0	0	0	0	0.044	0	0	0.542	0.543
RBL-2	SUVR5	3702.Q5E915	3702.O64827	0	0	0	0	0	0.498	0.578	0.209	0.817
RBL-2	F12A24.5	3702.Q5E915	3702.Q9ZVX6	0	0	0	0	0	0.308	0.238	0.076	0.470
RBL-2	TRO	3702.Q5E915	3702.Q9C8J7	0	0	0	0	0	0.991	0.969	0.911	0.999
ROS3	K21L19.12	3702.Q9FGT1	3702.Q93Z08	0	0	0	0	0	0.070	0	0.572	0.584
ROS3	F12A24.5	3702.Q9FGT1	3702.Q9ZVX6	0	0	0	0	0	0.061	0.077	0.513	0.541
SUVR5	F27J15.5	3702.O64827	3702.F4I1N8	0	0	0	0	0.057	0.072	0.427	0.156	0.520
SUVR5	SYD	3702.O64827	3702.F4IHS2	0	0	0	0	0.067	0.786	0.317	0.218	0.879
SUVR5	F12A24.5	3702.O64827	3702.Q9ZVX6	0	0	0	0	0.049	0.318	0.190	0.042	0.429
SUVR5	RBL-2	3702.O64827	3702.Q5E915	0	0	0	0	0	0.498	0.578	0.209	0.817
SUVR5	TRO	3702.O64827	3702.Q9C8J7	0	0	0	0	0	0.563	0.578	0.209	0.841
SYD	F12A24.5	3702.F4IHS2	3702.Q9ZVX6	0	0	0	0	0	0.501	0.091	0.047	0.529
SYD	SUVR5	3702.F4IHS2	3702.O64827	0	0	0	0	0.067	0.786	0.317	0.218	0.879
TRO	SUVR5	3702.Q9C8J7	3702.O64827	0	0	0	0	0	0.563	0.578	0.209	0.841
TRO	RBL-2	3702.Q9C8J7	3702.Q5E915	0	0	0	0	0	0.991	0.969	0.911	0.999
TRO	F12A24.5	3702.Q9C8J7	3702.Q9ZVX6	0	0	0	0	0.047	0.300	0.237	0.078	0.467
