#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DAR1	TCP15	3702.Q8W4F0	3702.Q9C9L2	0	0	0	0	0	0.292	0	0.784	0.840
DAR2	TCP15	3702.Q0WSN2	3702.Q9C9L2	0	0	0	0	0	0.292	0	0.758	0.821
SRFR1	TCP4	3702.F4JS25	3702.Q8LPR5	0	0	0	0	0	0	0	0.513	0.513
SRFR1	TCP13	3702.F4JS25	3702.Q9S7W5	0	0	0	0	0	0	0	0.603	0.603
SRFR1	TCP15	3702.F4JS25	3702.Q9C9L2	0	0	0	0	0.043	0.322	0	0.875	0.911
TCP10	TCP4	3702.O82277	3702.Q8LPR5	0	0	0	0.781	0.105	0.230	0	0.235	0.426
TCP10	TCP3	3702.O82277	3702.Q9MAH8	0	0	0	0.767	0.178	0.230	0	0.248	0.482
TCP10	TCP24	3702.O82277	3702.Q9C758	0	0	0	0.674	0.117	0.230	0	0.340	0.512
TCP10	TCP2	3702.O82277	3702.Q93V43	0	0	0	0.667	0.177	0.230	0	0.336	0.542
TCP10	TCP13	3702.O82277	3702.Q9S7W5	0	0	0	0.641	0.104	0.369	0	0.347	0.598
TCP10	TCP5	3702.O82277	3702.Q9FME3	0	0	0	0.634	0.138	0.369	0	0.355	0.618
TCP10	TCP15	3702.O82277	3702.Q9C9L2	0	0	0	0	0.058	0.230	0	0.789	0.834
TCP13	SRFR1	3702.Q9S7W5	3702.F4JS25	0	0	0	0	0	0	0	0.603	0.603
TCP13	TCP10	3702.Q9S7W5	3702.O82277	0	0	0	0.641	0.104	0.369	0	0.347	0.598
TCP13	TCP4	3702.Q9S7W5	3702.Q8LPR5	0	0	0	0.655	0	0.369	0	0.334	0.561
TCP13	TCP2	3702.Q9S7W5	3702.Q93V43	0	0	0	0.683	0	0.230	0	0.311	0.446
TCP13	TCP24	3702.Q9S7W5	3702.Q9C758	0	0	0	0.709	0.056	0.230	0	0.289	0.438
TCP13	TCP15	3702.Q9S7W5	3702.Q9C9L2	0	0	0	0	0	0.369	0	0.914	0.943
TCP13	TCP5	3702.Q9S7W5	3702.Q9FME3	0	0	0	0.761	0.117	0.369	0	0.253	0.547
TCP13	TCP3	3702.Q9S7W5	3702.Q9MAH8	0	0	0	0.660	0	0.230	0	0.328	0.460
TCP15	SRFR1	3702.Q9C9L2	3702.F4JS25	0	0	0	0	0.043	0.322	0	0.875	0.911
TCP15	TCP10	3702.Q9C9L2	3702.O82277	0	0	0	0	0.058	0.230	0	0.789	0.834
TCP15	DAR2	3702.Q9C9L2	3702.Q0WSN2	0	0	0	0	0	0.292	0	0.758	0.821
TCP15	TCP4	3702.Q9C9L2	3702.Q8LPR5	0	0	0	0	0	0.230	0	0.800	0.839
TCP15	DAR1	3702.Q9C9L2	3702.Q8W4F0	0	0	0	0	0	0.292	0	0.784	0.840
TCP15	TCP2	3702.Q9C9L2	3702.Q93V43	0	0	0	0	0.065	0.230	0	0.810	0.851
TCP15	TCP24	3702.Q9C9L2	3702.Q9C758	0	0	0	0	0	0.230	0	0.802	0.841
TCP15	TCP5	3702.Q9C9L2	3702.Q9FME3	0	0	0	0	0	0.450	0	0.792	0.880
TCP15	TCP3	3702.Q9C9L2	3702.Q9MAH8	0	0	0	0	0	0.230	0	0.917	0.933
TCP15	TCP13	3702.Q9C9L2	3702.Q9S7W5	0	0	0	0	0	0.369	0	0.914	0.943
TCP2	TCP10	3702.Q93V43	3702.O82277	0	0	0	0.667	0.177	0.230	0	0.336	0.542
TCP2	TCP4	3702.Q93V43	3702.Q8LPR5	0	0	0	0.661	0.131	0.235	0	0.342	0.524
TCP2	TCP13	3702.Q93V43	3702.Q9S7W5	0	0	0	0.683	0	0.230	0	0.311	0.446
TCP2	TCP5	3702.Q93V43	3702.Q9FME3	0	0	0	0.676	0.090	0.230	0	0.319	0.481
TCP2	TCP3	3702.Q93V43	3702.Q9MAH8	0	0	0	0.656	0.105	0.230	0	0.346	0.509
TCP2	TCP15	3702.Q93V43	3702.Q9C9L2	0	0	0	0	0.065	0.230	0	0.810	0.851
TCP24	TCP10	3702.Q9C758	3702.O82277	0	0	0	0.674	0.117	0.230	0	0.340	0.512
TCP24	TCP4	3702.Q9C758	3702.Q8LPR5	0	0	0	0.671	0.149	0.235	0	0.332	0.527
TCP24	TCP13	3702.Q9C758	3702.Q9S7W5	0	0	0	0.709	0.056	0.230	0	0.289	0.438
TCP24	TCP5	3702.Q9C758	3702.Q9FME3	0	0	0	0.710	0.088	0.230	0	0.290	0.457
TCP24	TCP3	3702.Q9C758	3702.Q9MAH8	0	0	0	0.674	0.160	0.230	0	0.330	0.528
TCP24	TCP15	3702.Q9C758	3702.Q9C9L2	0	0	0	0	0	0.230	0	0.802	0.841
TCP3	TCP10	3702.Q9MAH8	3702.O82277	0	0	0	0.767	0.178	0.230	0	0.248	0.482
TCP3	TCP4	3702.Q9MAH8	3702.Q8LPR5	0	0	0	0.954	0.270	0.235	0	0.082	0.443
TCP3	TCP2	3702.Q9MAH8	3702.Q93V43	0	0	0	0.656	0.105	0.230	0	0.346	0.509
TCP3	TCP24	3702.Q9MAH8	3702.Q9C758	0	0	0	0.674	0.160	0.230	0	0.330	0.528
TCP3	TCP15	3702.Q9MAH8	3702.Q9C9L2	0	0	0	0	0	0.230	0	0.917	0.933
TCP3	TCP5	3702.Q9MAH8	3702.Q9FME3	0	0	0	0.652	0.088	0.230	0	0.339	0.495
TCP3	TCP13	3702.Q9MAH8	3702.Q9S7W5	0	0	0	0.660	0	0.230	0	0.328	0.460
