#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDC27A	KIN14K	3702.Q06AN9	3702.F4JX00	0	0	0	0	0	0.167	0.149	0.770	0.823
CDC27A	F26F24.7	3702.Q06AN9	3702.Q9LR39	0	0	0	0	0	0	0.175	0.615	0.669
CDC27A	Q9LW74_ARATH	3702.Q06AN9	3702.Q9LW74	0	0	0	0	0	0	0.175	0.657	0.705
CDC27A	Dl4005W	3702.Q06AN9	3702.Q84VW0	0	0	0	0	0	0	0.175	0.657	0.705
CDC27A	F27G19.12	3702.Q06AN9	3702.Q8VZW5	0	0	0	0	0	0	0.175	0.663	0.710
CDC27A	F28I16.260	3702.Q06AN9	3702.Q6NM36	0	0	0	0	0	0	0.175	0.820	0.845
Dl4005W	KIN14K	3702.Q84VW0	3702.F4JX00	0	0	0	0	0	0	0	0.810	0.810
Dl4005W	CDC27A	3702.Q84VW0	3702.Q06AN9	0	0	0	0	0	0	0.175	0.657	0.705
Dl4005W	F28I16.260	3702.Q84VW0	3702.Q6NM36	0	0	0.112	0.855	0	0	0.540	0	0.574
Dl4005W	Q9LW74_ARATH	3702.Q84VW0	3702.Q9LW74	0	0	0.102	0.876	0	0	0.540	0	0.569
Dl4005W	F27G19.12	3702.Q84VW0	3702.Q8VZW5	0	0	0.103	0.873	0	0	0.540	0	0.570
Dl4005W	F26F24.7	3702.Q84VW0	3702.Q9LR39	0	0	0.125	0.821	0.091	0	0.540	0	0.602
F26F24.7	KIN14K	3702.Q9LR39	3702.F4JX00	0	0	0	0	0	0	0	0.798	0.798
F26F24.7	CDC27A	3702.Q9LR39	3702.Q06AN9	0	0	0	0	0	0	0.175	0.615	0.669
F26F24.7	F28I16.260	3702.Q9LR39	3702.Q6NM36	0	0	0.086	0.907	0	0	0.540	0	0.562
F26F24.7	Dl4005W	3702.Q9LR39	3702.Q84VW0	0	0	0.125	0.821	0.091	0	0.540	0	0.602
F26F24.7	F27G19.12	3702.Q9LR39	3702.Q8VZW5	0	0	0.110	0.851	0	0	0.540	0	0.573
F26F24.7	Q9LW74_ARATH	3702.Q9LR39	3702.Q9LW74	0	0	0.102	0.874	0	0	0.540	0	0.569
F27G19.12	KIN14K	3702.Q8VZW5	3702.F4JX00	0	0	0	0	0	0	0	0.790	0.790
F27G19.12	CDC27A	3702.Q8VZW5	3702.Q06AN9	0	0	0	0	0	0	0.175	0.663	0.710
F27G19.12	F28I16.260	3702.Q8VZW5	3702.Q6NM36	0	0	0.096	0.886	0	0	0.540	0	0.566
F27G19.12	Dl4005W	3702.Q8VZW5	3702.Q84VW0	0	0	0.103	0.873	0	0	0.540	0	0.570
F27G19.12	Q9LW74_ARATH	3702.Q8VZW5	3702.Q9LW74	0	0	0.070	0.941	0	0	0.540	0	0.553
F27G19.12	F26F24.7	3702.Q8VZW5	3702.Q9LR39	0	0	0.110	0.851	0	0	0.540	0	0.573
F28I16.260	KIN14K	3702.Q6NM36	3702.F4JX00	0	0	0	0	0	0	0	0.857	0.857
F28I16.260	CDC27A	3702.Q6NM36	3702.Q06AN9	0	0	0	0	0	0	0.175	0.820	0.845
F28I16.260	F26F24.7	3702.Q6NM36	3702.Q9LR39	0	0	0.086	0.907	0	0	0.540	0	0.562
F28I16.260	Q9LW74_ARATH	3702.Q6NM36	3702.Q9LW74	0	0	0.092	0.897	0	0	0.540	0	0.564
F28I16.260	F27G19.12	3702.Q6NM36	3702.Q8VZW5	0	0	0.096	0.886	0	0	0.540	0	0.566
F28I16.260	Dl4005W	3702.Q6NM36	3702.Q84VW0	0	0	0.112	0.855	0	0	0.540	0	0.574
ICR5	KIN14K	3702.Q8VYU8	3702.F4JX00	0	0	0	0	0	0	0	0.718	0.718
ICR5	MYOB3	3702.Q8VYU8	3702.Q0WNW4	0	0	0	0	0.046	0	0	0.477	0.479
ICR5	MAP65-8	3702.Q8VYU8	3702.Q9C7G0	0	0	0	0	0.042	0	0	0.541	0.541
KIN14K	ICR5	3702.F4JX00	3702.Q8VYU8	0	0	0	0	0	0	0	0.718	0.718
KIN14K	VLN1	3702.F4JX00	3702.O81643	0	0	0	0	0	0	0	0.772	0.772
KIN14K	F27G19.12	3702.F4JX00	3702.Q8VZW5	0	0	0	0	0	0	0	0.790	0.790
KIN14K	MAP65-8	3702.F4JX00	3702.Q9C7G0	0	0	0	0	0.123	0.079	0	0.770	0.798
KIN14K	F26F24.7	3702.F4JX00	3702.Q9LR39	0	0	0	0	0	0	0	0.798	0.798
KIN14K	Dl4005W	3702.F4JX00	3702.Q84VW0	0	0	0	0	0	0	0	0.810	0.810
KIN14K	CDC27A	3702.F4JX00	3702.Q06AN9	0	0	0	0	0	0.167	0.149	0.770	0.823
KIN14K	Q9LW74_ARATH	3702.F4JX00	3702.Q9LW74	0	0	0	0	0	0	0	0.828	0.828
KIN14K	F28I16.260	3702.F4JX00	3702.Q6NM36	0	0	0	0	0	0	0	0.857	0.857
KIN14K	MYOB3	3702.F4JX00	3702.Q0WNW4	0	0	0	0	0	0	0	0.898	0.898
MAP65-8	KIN14K	3702.Q9C7G0	3702.F4JX00	0	0	0	0	0.123	0.079	0	0.770	0.798
MAP65-8	MYOB3	3702.Q9C7G0	3702.Q0WNW4	0	0	0	0	0.054	0	0	0.547	0.553
MAP65-8	ICR5	3702.Q9C7G0	3702.Q8VYU8	0	0	0	0	0.042	0	0	0.541	0.541
MYOB3	KIN14K	3702.Q0WNW4	3702.F4JX00	0	0	0	0	0	0	0	0.898	0.898
MYOB3	VLN1	3702.Q0WNW4	3702.O81643	0	0	0	0	0.075	0	0.047	0.806	0.814
MYOB3	ICR5	3702.Q0WNW4	3702.Q8VYU8	0	0	0	0	0.046	0	0	0.477	0.479
MYOB3	MAP65-8	3702.Q0WNW4	3702.Q9C7G0	0	0	0	0	0.054	0	0	0.547	0.553
Q9LW74_ARATH	KIN14K	3702.Q9LW74	3702.F4JX00	0	0	0	0	0	0	0	0.828	0.828
Q9LW74_ARATH	CDC27A	3702.Q9LW74	3702.Q06AN9	0	0	0	0	0	0	0.175	0.657	0.705
Q9LW74_ARATH	F28I16.260	3702.Q9LW74	3702.Q6NM36	0	0	0.092	0.897	0	0	0.540	0	0.564
Q9LW74_ARATH	Dl4005W	3702.Q9LW74	3702.Q84VW0	0	0	0.102	0.876	0	0	0.540	0	0.569
Q9LW74_ARATH	F27G19.12	3702.Q9LW74	3702.Q8VZW5	0	0	0.070	0.941	0	0	0.540	0	0.553
Q9LW74_ARATH	F26F24.7	3702.Q9LW74	3702.Q9LR39	0	0	0.102	0.874	0	0	0.540	0	0.569
VLN1	KIN14K	3702.O81643	3702.F4JX00	0	0	0	0	0	0	0	0.772	0.772
VLN1	MYOB3	3702.O81643	3702.Q0WNW4	0	0	0	0	0.075	0	0.047	0.806	0.814
