#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDKA-1	CYCA3-3	3702.P24100	3702.A0MEB5	0	0	0	0	0.245	0.624	0.306	0.750	0.944
CDKA-1	CKS1	3702.P24100	3702.O23249	0	0	0	0	0.237	0.936	0.421	0.825	0.994
CDKA-1	CDKB2-1	3702.P24100	3702.Q8LF80	0	0	0.063	0.954	0	0.450	0	0.082	0.485
CDKA-1	CYCD3-2	3702.P24100	3702.Q9FGQ7	0	0	0	0	0.094	0.719	0.303	0.733	0.946
CDKA-1	CYCD5-1	3702.P24100	3702.Q2V3B2	0	0	0	0	0.094	0.719	0.303	0.847	0.969
CDKA-1	CYCA3-4	3702.P24100	3702.Q3ECW2	0	0	0	0	0.245	0.717	0.306	0.822	0.970
CDKA-1	CYCA2-3	3702.P24100	3702.Q38819	0	0	0	0	0.245	0.607	0.306	0.909	0.978
CDKB1-1	CYCA3-3	3702.P25859	3702.A0MEB5	0	0	0	0	0.259	0.285	0.306	0.890	0.954
CDKB1-1	CKS1	3702.P25859	3702.O23249	0	0	0	0	0.237	0.932	0.421	0.863	0.995
CDKB1-1	CDKB2-1	3702.P25859	3702.Q8LF80	0	0	0.057	0.967	0.413	0.230	0	0.065	0.548
CDKB1-1	CDKB2-2	3702.P25859	3702.Q8LG64	0	0	0.057	0.967	0.484	0.230	0	0.062	0.601
CDKB1-1	CYCD3-2	3702.P25859	3702.Q9FGQ7	0	0	0	0	0.113	0.429	0.303	0.717	0.886
CDKB1-1	CYCD5-1	3702.P25859	3702.Q2V3B2	0	0	0	0	0.094	0.429	0.303	0.875	0.949
CDKB1-1	CYCA3-4	3702.P25859	3702.Q3ECW2	0	0	0	0	0.257	0.425	0.306	0.893	0.964
CDKB1-1	CYCA2-3	3702.P25859	3702.Q38819	0	0	0	0	0.282	0.797	0.306	0.978	0.997
CDKB1-2	CYCA3-3	3702.Q2V419	3702.A0MEB5	0	0	0	0	0.259	0.285	0.306	0.893	0.955
CDKB1-2	CKS1	3702.Q2V419	3702.O23249	0	0	0	0	0.242	0.840	0.421	0.897	0.991
CDKB1-2	CYCD5-1	3702.Q2V419	3702.Q2V3B2	0	0	0	0	0.094	0.429	0.303	0.734	0.891
CDKB1-2	CDKB2-2	3702.Q2V419	3702.Q8LG64	0	0	0.057	0.966	0.442	0	0	0.063	0.464
CDKB1-2	CDKB2-1	3702.Q2V419	3702.Q8LF80	0	0	0.058	0.965	0.523	0.230	0	0.063	0.632
CDKB1-2	CYCD3-2	3702.Q2V419	3702.Q9FGQ7	0	0	0	0	0.113	0.289	0.303	0.580	0.790
CDKB1-2	CYCA3-4	3702.Q2V419	3702.Q3ECW2	0	0	0	0	0.257	0.425	0.306	0.894	0.964
CDKB1-2	CYCA2-3	3702.Q2V419	3702.Q38819	0	0	0	0	0.282	0.425	0.306	0.910	0.971
CDKB2-1	CYCA3-3	3702.Q8LF80	3702.A0MEB5	0	0	0	0	0.269	0.285	0.306	0.878	0.949
CDKB2-1	CKS1	3702.Q8LF80	3702.O23249	0	0	0	0	0.240	0.925	0.421	0.870	0.995
CDKB2-1	CDKA-1	3702.Q8LF80	3702.P24100	0	0	0.063	0.954	0	0.450	0	0.082	0.485
CDKB2-1	CDKB1-1	3702.Q8LF80	3702.P25859	0	0	0.057	0.967	0.413	0.230	0	0.065	0.548
CDKB2-1	CYCD5-1	3702.Q8LF80	3702.Q2V3B2	0	0	0	0	0.098	0.429	0.303	0.689	0.873
CDKB2-1	CDKB1-2	3702.Q8LF80	3702.Q2V419	0	0	0.058	0.965	0.523	0.230	0	0.063	0.632
CDKB2-1	CYCA2-3	3702.Q8LF80	3702.Q38819	0	0	0	0	0.337	0.425	0.306	0.906	0.972
CDKB2-1	CYCA3-4	3702.Q8LF80	3702.Q3ECW2	0	0	0	0	0.267	0.425	0.306	0.878	0.959
CDKB2-1	CYCD3-2	3702.Q8LF80	3702.Q9FGQ7	0	0	0	0	0.194	0.429	0.303	0.604	0.856
CDKB2-2	CYCA3-3	3702.Q8LG64	3702.A0MEB5	0	0	0	0	0.269	0.285	0.306	0.878	0.949
CDKB2-2	CKS1	3702.Q8LG64	3702.O23249	0	0	0	0	0.237	0.887	0.421	0.896	0.994
CDKB2-2	CDKB1-1	3702.Q8LG64	3702.P25859	0	0	0.057	0.967	0.484	0.230	0	0.062	0.601
CDKB2-2	CYCD5-1	3702.Q8LG64	3702.Q2V3B2	0	0	0	0	0.094	0.289	0.303	0.777	0.886
CDKB2-2	CDKB1-2	3702.Q8LG64	3702.Q2V419	0	0	0.057	0.966	0.442	0	0	0.063	0.464
CDKB2-2	CYCA2-3	3702.Q8LG64	3702.Q38819	0	0	0	0	0.281	0.285	0.306	0.905	0.961
CDKB2-2	CYCA3-4	3702.Q8LG64	3702.Q3ECW2	0	0	0	0	0.267	0.285	0.306	0.880	0.950
CDKB2-2	CYCD3-2	3702.Q8LG64	3702.Q9FGQ7	0	0	0	0	0.194	0.289	0.303	0.498	0.773
CKS1	CYCA3-3	3702.O23249	3702.A0MEB5	0	0	0	0	0.182	0.665	0.396	0.644	0.933
CKS1	CYCD3-2	3702.O23249	3702.Q9FGQ7	0	0	0	0	0.121	0.624	0.390	0.611	0.911
CKS1	CYCD5-1	3702.O23249	3702.Q2V3B2	0	0	0	0	0.104	0.624	0.390	0.738	0.939
CKS1	CYCA2-3	3702.O23249	3702.Q38819	0	0	0	0	0.182	0.750	0.396	0.658	0.952
CKS1	CYCA3-4	3702.O23249	3702.Q3ECW2	0	0	0	0	0.182	0.812	0.396	0.705	0.969
CKS1	CDKB1-2	3702.O23249	3702.Q2V419	0	0	0	0	0.242	0.840	0.421	0.897	0.991
CKS1	CDKB2-2	3702.O23249	3702.Q8LG64	0	0	0	0	0.237	0.887	0.421	0.896	0.994
CKS1	CDKA-1	3702.O23249	3702.P24100	0	0	0	0	0.237	0.936	0.421	0.825	0.994
CKS1	CDKB2-1	3702.O23249	3702.Q8LF80	0	0	0	0	0.240	0.925	0.421	0.870	0.995
CKS1	CDKB1-1	3702.O23249	3702.P25859	0	0	0	0	0.237	0.932	0.421	0.863	0.995
CYCA2-3	CKS1	3702.Q38819	3702.O23249	0	0	0	0	0.182	0.750	0.396	0.658	0.952
CYCA2-3	CDKA-1	3702.Q38819	3702.P24100	0	0	0	0	0.245	0.607	0.306	0.909	0.978
CYCA2-3	CDKB1-1	3702.Q38819	3702.P25859	0	0	0	0	0.282	0.797	0.306	0.978	0.997
CYCA2-3	CDKB1-2	3702.Q38819	3702.Q2V419	0	0	0	0	0.282	0.425	0.306	0.910	0.971
CYCA2-3	CYCD3-2	3702.Q38819	3702.Q9FGQ7	0	0	0	0	0.144	0	0	0.734	0.763
CYCA2-3	CDKB2-2	3702.Q38819	3702.Q8LG64	0	0	0	0	0.281	0.285	0.306	0.905	0.961
CYCA2-3	CDKB2-1	3702.Q38819	3702.Q8LF80	0	0	0	0	0.337	0.425	0.306	0.906	0.972
