#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ENP1	NOC4	3702.Q8RWS4	3702.F4IMH3	0	0	0	0	0.881	0.991	0.540	0.888	0.999
ENP1	F4J3A9_ARATH	3702.Q8RWS4	3702.F4J3A9	0	0	0	0	0.431	0.989	0.909	0.516	0.999
ENP1	F27C12.9	3702.Q8RWS4	3702.Q9SK34	0	0	0	0	0.389	0.108	0.750	0.437	0.913
ENP1	MNJ8.10	3702.Q8RWS4	3702.Q9FHT0	0	0	0	0	0.389	0.108	0.750	0.437	0.913
ENP1	LOG6	3702.Q8RWS4	3702.Q9LYV8	0	0	0	0	0.900	0.926	0.685	0.479	0.998
ENP1	Q9LTU6_ARATH	3702.Q8RWS4	3702.Q9LTU6	0	0	0	0	0.878	0.991	0.812	0.516	0.999
ENP1	NOB1	3702.Q8RWS4	3702.Q9FLL1	0	0	0	0	0.949	0.991	0.969	0.962	0.999
ENP1	RID2	3702.Q8RWS4	3702.Q9LVD0	0	0	0	0	0.746	0.898	0.864	0.820	0.999
ENP1	F3A4.70	3702.Q8RWS4	3702.Q9SN19	0	0	0	0	0.937	0.991	0.909	0.516	0.999
ENP1	F7F22.4	3702.Q8RWS4	3702.Q9ASU6	0	0	0	0	0.923	0.926	0.848	0.479	0.999
F27C12.9	NOC4	3702.Q9SK34	3702.F4IMH3	0	0	0	0	0.215	0	0	0.309	0.434
F27C12.9	F4J3A9_ARATH	3702.Q9SK34	3702.F4J3A9	0	0	0	0.578	0.497	0	0.750	0.479	0.928
F27C12.9	ENP1	3702.Q9SK34	3702.Q8RWS4	0	0	0	0	0.389	0.108	0.750	0.437	0.913
F27C12.9	F7F22.4	3702.Q9SK34	3702.Q9ASU6	0	0	0	0	0.368	0.051	0.620	0.411	0.847
F27C12.9	MNJ8.10	3702.Q9SK34	3702.Q9FHT0	0	0	0.047	0.986	0.073	0	0.900	0	0.904
F27C12.9	NOB1	3702.Q9SK34	3702.Q9FLL1	0	0	0	0	0.324	0.884	0.765	0.479	0.989
F27C12.9	Q9LTU6_ARATH	3702.Q9SK34	3702.Q9LTU6	0	0	0	0	0.286	0.842	0.747	0.475	0.983
F27C12.9	RID2	3702.Q9SK34	3702.Q9LVD0	0	0	0	0	0.306	0	0.720	0.204	0.831
F27C12.9	LOG6	3702.Q9SK34	3702.Q9LYV8	0	0	0	0	0.342	0.051	0.620	0.411	0.841
F27C12.9	F3A4.70	3702.Q9SK34	3702.Q9SN19	0	0	0	0	0.915	0.052	0.750	0.475	0.988
F3A4.70	NOC4	3702.Q9SN19	3702.F4IMH3	0	0	0	0	0.792	0	0.540	0.503	0.948
F3A4.70	F4J3A9_ARATH	3702.Q9SN19	3702.F4J3A9	0	0	0	0	0.878	0.991	0.909	0.516	0.999
F3A4.70	ENP1	3702.Q9SN19	3702.Q8RWS4	0	0	0	0	0.937	0.991	0.909	0.516	0.999
F3A4.70	F7F22.4	3702.Q9SN19	3702.Q9ASU6	0	0	0	0	0.842	0.926	0.848	0.479	0.998
F3A4.70	MNJ8.10	3702.Q9SN19	3702.Q9FHT0	0	0	0	0	0.913	0.052	0.750	0.475	0.987
F3A4.70	NOB1	3702.Q9SN19	3702.Q9FLL1	0	0	0	0	0.935	0.991	0.969	0.516	0.999
F3A4.70	Q9LTU6_ARATH	3702.Q9SN19	3702.Q9LTU6	0	0	0	0	0.432	0.991	0.812	0.516	0.999
F3A4.70	RID2	3702.Q9SN19	3702.Q9LVD0	0	0	0	0	0.852	0.791	0.864	0.410	0.997
F3A4.70	LOG6	3702.Q9SN19	3702.Q9LYV8	0	0	0	0	0.836	0.926	0.685	0.479	0.997
F3A4.70	F27C12.9	3702.Q9SN19	3702.Q9SK34	0	0	0	0	0.915	0.052	0.750	0.475	0.988
F4J3A9_ARATH	NOC4	3702.F4J3A9	3702.F4IMH3	0	0	0	0	0.484	0	0.540	0.506	0.872
F4J3A9_ARATH	MNJ8.10	3702.F4J3A9	3702.Q9FHT0	0	0	0	0.578	0.488	0	0.750	0.479	0.927
F4J3A9_ARATH	F27C12.9	3702.F4J3A9	3702.Q9SK34	0	0	0	0.578	0.497	0	0.750	0.479	0.928
