#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AZG1	CTU2	3702.Q9SRK7	3702.O65628	0	0	0	0	0	0	0	0.804	0.804
AZG1	NAT12	3702.Q9SRK7	3702.Q3E7D0	0	0	0	0	0	0	0.046	0.899	0.899
AZG1	NAT9	3702.Q9SRK7	3702.Q3E956	0	0	0	0	0	0	0.046	0.825	0.825
AZG1	NAT3	3702.Q9SRK7	3702.Q8GZD4	0	0	0	0	0	0	0.046	0.892	0.892
AZG1	NAT5	3702.Q9SRK7	3702.Q8RWE9	0	0	0	0	0	0	0.046	0.795	0.796
AZG1	ENT1	3702.Q9SRK7	3702.Q8VXY7	0	0	0	0	0.048	0	0	0.785	0.786
AZG1	PUP12	3702.Q9SRK7	3702.Q9FLL4	0	0	0	0	0	0	0.068	0.783	0.789
AZG1	PUP14	3702.Q9SRK7	3702.Q9FXH5	0	0	0	0	0	0	0.068	0.794	0.799
AZG1	NCS1	3702.Q9SRK7	3702.Q9LZD0	0.049	0	0	0	0	0	0	0.795	0.796
AZG1	NAT1	3702.Q9SRK7	3702.Q9SHZ3	0	0	0	0	0	0	0.046	0.792	0.793
CTU2	AZG1	3702.O65628	3702.Q9SRK7	0	0	0	0	0	0	0	0.804	0.804
CTU2	NAT9	3702.O65628	3702.Q3E956	0	0	0	0	0	0	0	0.832	0.832
CTU2	NAT1	3702.O65628	3702.Q9SHZ3	0	0	0	0	0	0	0	0.856	0.856
CTU2	NAT3	3702.O65628	3702.Q8GZD4	0	0	0	0	0	0	0	0.858	0.858
CTU2	NCS1	3702.O65628	3702.Q9LZD0	0	0	0	0	0	0	0	0.898	0.898
CTU2	NAT12	3702.O65628	3702.Q3E7D0	0	0	0	0	0	0	0	0.912	0.912
ENT1	AZG1	3702.Q8VXY7	3702.Q9SRK7	0	0	0	0	0.048	0	0	0.785	0.786
ENT1	PUP14	3702.Q8VXY7	3702.Q9FXH5	0	0	0	0	0.046	0	0	0.790	0.791
NAT1	CTU2	3702.Q9SHZ3	3702.O65628	0	0	0	0	0	0	0	0.856	0.856
NAT1	NCS1	3702.Q9SHZ3	3702.Q9LZD0	0.098	0	0	0	0.266	0	0	0.829	0.877
NAT1	AZG1	3702.Q9SHZ3	3702.Q9SRK7	0	0	0	0	0	0	0.046	0.792	0.793
NAT12	CTU2	3702.Q3E7D0	3702.O65628	0	0	0	0	0	0	0	0.912	0.912
NAT12	NCS1	3702.Q3E7D0	3702.Q9LZD0	0.098	0	0	0	0.266	0	0	0.841	0.885
NAT12	AZG1	3702.Q3E7D0	3702.Q9SRK7	0	0	0	0	0	0	0.046	0.899	0.899
NAT3	CTU2	3702.Q8GZD4	3702.O65628	0	0	0	0	0	0	0	0.858	0.858
NAT3	NCS1	3702.Q8GZD4	3702.Q9LZD0	0.098	0	0	0	0.266	0	0	0.815	0.867
NAT3	AZG1	3702.Q8GZD4	3702.Q9SRK7	0	0	0	0	0	0	0.046	0.892	0.892
NAT5	AZG1	3702.Q8RWE9	3702.Q9SRK7	0	0	0	0	0	0	0.046	0.795	0.796
NAT5	NCS1	3702.Q8RWE9	3702.Q9LZD0	0.098	0	0	0	0.266	0	0	0.830	0.877
NAT5	PUP12	3702.Q8RWE9	3702.Q9FLL4	0	0	0	0	0	0	0	0.880	0.880
NAT9	CTU2	3702.Q3E956	3702.O65628	0	0	0	0	0	0	0	0.832	0.832
NAT9	PUP12	3702.Q3E956	3702.Q9FLL4	0	0	0	0	0	0	0	0.795	0.795
NAT9	AZG1	3702.Q3E956	3702.Q9SRK7	0	0	0	0	0	0	0.046	0.825	0.825
NAT9	NCS1	3702.Q3E956	3702.Q9LZD0	0.098	0	0	0	0.266	0	0	0.852	0.894
NCS1	CTU2	3702.Q9LZD0	3702.O65628	0	0	0	0	0	0	0	0.898	0.898
NCS1	NAT12	3702.Q9LZD0	3702.Q3E7D0	0.098	0	0	0	0.266	0	0	0.841	0.885
NCS1	NAT9	3702.Q9LZD0	3702.Q3E956	0.098	0	0	0	0.266	0	0	0.852	0.894
NCS1	NAT3	3702.Q9LZD0	3702.Q8GZD4	0.098	0	0	0	0.266	0	0	0.815	0.867
NCS1	NAT5	3702.Q9LZD0	3702.Q8RWE9	0.098	0	0	0	0.266	0	0	0.830	0.877
NCS1	PUP12	3702.Q9LZD0	3702.Q9FLL4	0	0	0	0	0	0	0	0.775	0.775
NCS1	AZG1	3702.Q9LZD0	3702.Q9SRK7	0.049	0	0	0	0	0	0	0.795	0.796
NCS1	NAT1	3702.Q9LZD0	3702.Q9SHZ3	0.098	0	0	0	0.266	0	0	0.829	0.877
PUP12	NAT9	3702.Q9FLL4	3702.Q3E956	0	0	0	0	0	0	0	0.795	0.795
PUP12	NAT5	3702.Q9FLL4	3702.Q8RWE9	0	0	0	0	0	0	0	0.880	0.880
PUP12	NCS1	3702.Q9FLL4	3702.Q9LZD0	0	0	0	0	0	0	0	0.775	0.775
PUP12	AZG1	3702.Q9FLL4	3702.Q9SRK7	0	0	0	0	0	0	0.068	0.783	0.789
PUP14	ENT1	3702.Q9FXH5	3702.Q8VXY7	0	0	0	0	0.046	0	0	0.790	0.791
PUP14	AZG1	3702.Q9FXH5	3702.Q9SRK7	0	0	0	0	0	0	0.068	0.794	0.799
