#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDKA-1	CKS1	3702.P24100	3702.O23249	0	0	0	0	0.237	0.936	0.421	0.825	0.994
CDKA-1	CDKB2-1	3702.P24100	3702.Q8LF80	0	0	0.063	0.954	0	0.450	0	0.082	0.485
CDKA-1	SMR8	3702.P24100	3702.Q9SAD3	0	0	0	0	0	0.731	0	0.432	0.840
CDKA-1	CYCB1-3	3702.P24100	3702.Q39069	0	0	0	0	0.273	0.363	0.300	0.634	0.865
CDKA-1	CYCD5-1	3702.P24100	3702.Q2V3B2	0	0	0	0	0.094	0.719	0.303	0.847	0.969
CDKA-1	CKS2	3702.P24100	3702.Q9SJJ5	0	0	0	0	0.237	0.913	0.421	0.626	0.983
CDKA-1	RBR1	3702.P24100	3702.Q9LKZ3	0	0	0	0	0.064	0.619	0.551	0.950	0.991
CDKB1-1	CKS1	3702.P25859	3702.O23249	0	0	0	0	0.237	0.932	0.421	0.863	0.995
CDKB1-1	CDKB2-1	3702.P25859	3702.Q8LF80	0	0	0.057	0.967	0.413	0.230	0	0.065	0.548
CDKB1-1	CDKB2-2	3702.P25859	3702.Q8LG64	0	0	0.057	0.967	0.484	0.230	0	0.062	0.601
CDKB1-1	CYCB1-3	3702.P25859	3702.Q39069	0	0	0	0	0.401	0.363	0.300	0.795	0.938
CDKB1-1	CYCD5-1	3702.P25859	3702.Q2V3B2	0	0	0	0	0.094	0.429	0.303	0.875	0.949
CDKB1-1	CKS2	3702.P25859	3702.Q9SJJ5	0	0	0	0	0.372	0.887	0.421	0.636	0.983
CDKB1-1	RBR1	3702.P25859	3702.Q9LKZ3	0	0	0	0	0.064	0.607	0.551	0.939	0.988
CDKB1-2	CKS1	3702.Q2V419	3702.O23249	0	0	0	0	0.242	0.840	0.421	0.897	0.991
CDKB1-2	CYCD5-1	3702.Q2V419	3702.Q2V3B2	0	0	0	0	0.094	0.429	0.303	0.734	0.891
CDKB1-2	CDKB2-2	3702.Q2V419	3702.Q8LG64	0	0	0.057	0.966	0.442	0	0	0.063	0.464
CDKB1-2	CDKB2-1	3702.Q2V419	3702.Q8LF80	0	0	0.058	0.965	0.523	0.230	0	0.063	0.632
CDKB1-2	CYCB1-3	3702.Q2V419	3702.Q39069	0	0	0	0	0.477	0.363	0.300	0.765	0.938
CDKB1-2	CKS2	3702.Q2V419	3702.Q9SJJ5	0	0	0	0	0.373	0.848	0.421	0.525	0.970
