#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALY1	MSI1	3702.Q6A331	3702.O22467	0	0	0	0	0	0.621	0.946	0.240	0.983
ALY1	E2FA	3702.Q6A331	3702.Q9FNY0	0	0	0	0	0.049	0.525	0.581	0.309	0.851
ALY1	T2P4.2	3702.Q6A331	3702.Q94EI6	0	0	0	0	0	0	0.900	0	0.900
ALY1	E2FB	3702.Q6A331	3702.Q9FV71	0	0	0	0	0.063	0	0.900	0.041	0.902
ALY1	ALY2	3702.Q6A331	3702.Q6A333	0	0	0.065	0.951	0.072	0	0.900	0	0.905
ALY1	ALY3	3702.Q6A331	3702.Q6A332	0	0	0.144	0.790	0	0	0.900	0	0.910
ALY1	DPB	3702.Q6A331	3702.Q9FNY2	0	0	0	0	0.068	0.259	0.957	0.309	0.976
ALY1	E2FC	3702.Q6A331	3702.Q9FV70	0	0	0	0	0.060	0.525	0.956	0.309	0.984
ALY1	RBR1	3702.Q6A331	3702.Q9LKZ3	0	0	0	0	0.206	0.732	0.960	0.425	0.994
ALY2	MSI1	3702.Q6A333	3702.O22467	0	0	0	0	0	0.720	0.946	0.240	0.987
ALY2	ALY1	3702.Q6A333	3702.Q6A331	0	0	0.065	0.951	0.072	0	0.900	0	0.905
ALY2	ALY3	3702.Q6A333	3702.Q6A332	0	0	0.129	0.822	0.045	0	0.900	0	0.909
ALY2	E2FA	3702.Q6A333	3702.Q9FNY0	0	0	0	0	0	0.525	0.581	0.309	0.850
ALY2	T2P4.2	3702.Q6A333	3702.Q94EI6	0	0	0	0	0	0	0.900	0	0.900
ALY2	E2FB	3702.Q6A333	3702.Q9FV71	0	0	0	0	0	0	0.900	0.041	0.900
ALY2	DPB	3702.Q6A333	3702.Q9FNY2	0	0	0	0	0.068	0.259	0.957	0.309	0.976
ALY2	E2FC	3702.Q6A333	3702.Q9FV70	0	0	0	0	0	0.525	0.956	0.309	0.984
ALY2	RBR1	3702.Q6A333	3702.Q9LKZ3	0	0	0	0	0.206	0.732	0.960	0.425	0.994
ALY3	MSI1	3702.Q6A332	3702.O22467	0	0	0	0	0	0.720	0.946	0.240	0.987
ALY3	ALY1	3702.Q6A332	3702.Q6A331	0	0	0.144	0.790	0	0	0.900	0	0.910
ALY3	E2FA	3702.Q6A332	3702.Q9FNY0	0	0	0	0	0	0.525	0.581	0.309	0.850
ALY3	T2P4.2	3702.Q6A332	3702.Q94EI6	0	0	0	0	0	0	0.900	0	0.900
ALY3	E2FB	3702.Q6A332	3702.Q9FV71	0	0	0	0	0.081	0	0.900	0.041	0.904
ALY3	ALY2	3702.Q6A332	3702.Q6A333	0	0	0.129	0.822	0.045	0	0.900	0	0.909
ALY3	DPB	3702.Q6A332	3702.Q9FNY2	0	0	0	0	0.068	0.259	0.957	0.309	0.976
ALY3	E2FC	3702.Q6A332	3702.Q9FV70	0	0	0	0	0	0.525	0.956	0.309	0.984
ALY3	RBR1	3702.Q6A332	3702.Q9LKZ3	0	0	0	0	0.206	0.732	0.960	0.425	0.994
DPB	MSI1	3702.Q9FNY2	3702.O22467	0	0	0	0	0.094	0.061	0.947	0.210	0.959
DPB	ALY1	3702.Q9FNY2	3702.Q6A331	0	0	0	0	0.068	0.259	0.957	0.309	0.976
DPB	ALY3	3702.Q9FNY2	3702.Q6A332	0	0	0	0	0.068	0.259	0.957	0.309	0.976
DPB	ALY2	3702.Q9FNY2	3702.Q6A333	0	0	0	0	0.068	0.259	0.957	0.309	0.976
DPB	T2P4.2	3702.Q9FNY2	3702.Q94EI6	0	0	0	0	0.045	0	0.900	0.360	0.933
DPB	E2FA	3702.Q9FNY2	3702.Q9FNY0	0	0	0.362	0	0.079	0.966	0.639	0.948	0.999
DPB	SKP2A	3702.Q9FNY2	3702.Q9LPL4	0	0	0	0	0.051	0.510	0	0.893	0.945
DPB	E2FC	3702.Q9FNY2	3702.Q9FV70	0	0	0.370	0	0.079	0.935	0.962	0.992	0.999
DPB	E2FB	3702.Q9FNY2	3702.Q9FV71	0	0	0.384	0	0.058	0.781	0.900	0.978	0.999
DPB	RBR1	3702.Q9FNY2	3702.Q9LKZ3	0	0	0	0	0.081	0.940	0.973	0.886	0.999
E2FA	MSI1	3702.Q9FNY0	3702.O22467	0	0	0	0	0.054	0.077	0.472	0.430	0.702
E2FA	ALY1	3702.Q9FNY0	3702.Q6A331	0	0	0	0	0.049	0.525	0.581	0.309	0.851
E2FA	ALY3	3702.Q9FNY0	3702.Q6A332	0	0	0	0	0	0.525	0.581	0.309	0.850
E2FA	ALY2	3702.Q9FNY0	3702.Q6A333	0	0	0	0	0	0.525	0.581	0.309	0.850
E2FA	RBR1	3702.Q9FNY0	3702.Q9LKZ3	0	0	0	0	0.098	0.976	0.765	0.979	0.999
E2FA	DPB	3702.Q9FNY0	3702.Q9FNY2	0	0	0.362	0	0.079	0.966	0.639	0.948	0.999
E2FB	MSI1	3702.Q9FV71	3702.O22467	0	0	0	0	0	0.292	0.900	0.188	0.937
E2FB	ALY1	3702.Q9FV71	3702.Q6A331	0	0	0	0	0.063	0	0.900	0.041	0.902
E2FB	ALY3	3702.Q9FV71	3702.Q6A332	0	0	0	0	0.081	0	0.900	0.041	0.904
E2FB	ALY2	3702.Q9FV71	3702.Q6A333	0	0	0	0	0	0	0.900	0.041	0.900
E2FB	T2P4.2	3702.Q9FV71	3702.Q94EI6	0	0	0	0	0.056	0	0.900	0.213	0.919
E2FB	DPB	3702.Q9FV71	3702.Q9FNY2	0	0	0.384	0	0.058	0.781	0.900	0.978	0.999
E2FB	E2FC	3702.Q9FV71	3702.Q9FV70	0	0	0.114	0.853	0.089	0.053	0.911	0.253	0.940
E2FB	RBR1	3702.Q9FV71	3702.Q9LKZ3	0	0	0	0	0	0.783	0.900	0.984	0.999
E2FC	MSI1	3702.Q9FV70	3702.O22467	0	0	0	0	0.054	0.077	0.944	0.334	0.963
E2FC	ALY1	3702.Q9FV70	3702.Q6A331	0	0	0	0	0.060	0.525	0.956	0.309	0.984
E2FC	ALY3	3702.Q9FV70	3702.Q6A332	0	0	0	0	0	0.525	0.956	0.309	0.984
E2FC	ALY2	3702.Q9FV70	3702.Q6A333	0	0	0	0	0	0.525	0.956	0.309	0.984
E2FC	T2P4.2	3702.Q9FV70	3702.Q94EI6	0	0	0	0	0	0	0.900	0.216	0.918
E2FC	DPB	3702.Q9FV70	3702.Q9FNY2	0	0	0.370	0	0.079	0.935	0.962	0.992	0.999
E2FC	SKP2A	3702.Q9FV70	3702.Q9LPL4	0	0	0	0	0	0	0	0.795	0.795
E2FC	E2FB	3702.Q9FV70	3702.Q9FV71	0	0	0.114	0.853	0.089	0.053	0.911	0.253	0.940
E2FC	RBR1	3702.Q9FV70	3702.Q9LKZ3	0	0	0	0	0.068	0.957	0.975	0.941	0.999
MSI1	E2FA	3702.O22467	3702.Q9FNY0	0	0	0	0	0.054	0.077	0.472	0.430	0.702
MSI1	E2FB	3702.O22467	3702.Q9FV71	0	0	0	0	0	0.292	0.900	0.188	0.937
MSI1	DPB	3702.O22467	3702.Q9FNY2	0	0	0	0	0.094	0.061	0.947	0.210	0.959
MSI1	E2FC	3702.O22467	3702.Q9FV70	0	0	0	0	0.054	0.077	0.944	0.334	0.963
MSI1	T2P4.2	3702.O22467	3702.Q94EI6	0	0	0	0	0	0.292	0.900	0.706	0.977
MSI1	ALY1	3702.O22467	3702.Q6A331	0	0	0	0	0	0.621	0.946	0.240	0.983
MSI1	ALY3	3702.O22467	3702.Q6A332	0	0	0	0	0	0.720	0.946	0.240	0.987
MSI1	ALY2	3702.O22467	3702.Q6A333	0	0	0	0	0	0.720	0.946	0.240	0.987
MSI1	RBR1	3702.O22467	3702.Q9LKZ3	0	0	0	0	0.107	0.730	0.957	0.959	0.999
RBR1	MSI1	3702.Q9LKZ3	3702.O22467	0	0	0	0	0.107	0.730	0.957	0.959	0.999
RBR1	ALY1	3702.Q9LKZ3	3702.Q6A331	0	0	0	0	0.206	0.732	0.960	0.425	0.994
RBR1	ALY3	3702.Q9LKZ3	3702.Q6A332	0	0	0	0	0.206	0.732	0.960	0.425	0.994
RBR1	ALY2	3702.Q9LKZ3	3702.Q6A333	0	0	0	0	0.206	0.732	0.960	0.425	0.994
RBR1	T2P4.2	3702.Q9LKZ3	3702.Q94EI6	0	0	0	0	0.048	0	0.900	0.113	0.908
RBR1	E2FA	3702.Q9LKZ3	3702.Q9FNY0	0	0	0	0	0.098	0.976	0.765	0.979	0.999
RBR1	DPB	3702.Q9LKZ3	3702.Q9FNY2	0	0	0	0	0.081	0.940	0.973	0.886	0.999
RBR1	E2FC	3702.Q9LKZ3	3702.Q9FV70	0	0	0	0	0.068	0.957	0.975	0.941	0.999
RBR1	E2FB	3702.Q9LKZ3	3702.Q9FV71	0	0	0	0	0	0.783	0.900	0.984	0.999
