#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APC10	PYM	3702.Q9ZPW2	3702.O48533	0	0	0	0	0	0.497	0	0.857	0.924
APC10	APC4	3702.Q9ZPW2	3702.O65418	0	0	0	0	0	0.994	0.969	0.960	0.999
APC10	CYCA2-3	3702.Q9ZPW2	3702.Q38819	0	0	0	0	0	0.279	0.412	0.770	0.894
APC10	FZR2	3702.Q9ZPW2	3702.Q8L3Z8	0	0	0	0	0	0.661	0.781	0.839	0.987
APC10	FZR3	3702.Q9ZPW2	3702.Q8LPL5	0	0	0	0	0	0.822	0.781	0.858	0.994
APC10	APC7	3702.Q9ZPW2	3702.Q8VY89	0	0	0	0	0	0.972	0.964	0.965	0.999
APC10	FZR1	3702.Q9ZPW2	3702.Q8VZS9	0	0	0	0	0	0.822	0.781	0.899	0.995
APC10	APC8	3702.Q9ZPW2	3702.Q9STS3	0	0	0	0	0.064	0.993	0.969	0.976	0.999
APC10	CDC20-1	3702.Q9ZPW2	3702.Q9SZA4	0	0	0	0	0	0.727	0.781	0.913	0.994
APC4	PYM	3702.O65418	3702.O48533	0	0	0	0	0.048	0	0	0.784	0.785
APC4	CYCA2-3	3702.O65418	3702.Q38819	0	0	0	0	0	0.415	0.443	0.574	0.849
APC4	FZR2	3702.O65418	3702.Q8L3Z8	0	0	0	0	0.049	0.853	0.783	0.552	0.984
APC4	FZR1	3702.O65418	3702.Q8VZS9	0	0	0	0	0.049	0.853	0.783	0.634	0.987
APC4	CDC20-1	3702.O65418	3702.Q9SZA4	0	0	0	0	0.049	0.853	0.783	0.807	0.993
APC4	FZR3	3702.O65418	3702.Q8LPL5	0	0	0	0	0.055	0.853	0.783	0.808	0.993
APC4	APC10	3702.O65418	3702.Q9ZPW2	0	0	0	0	0	0.994	0.969	0.960	0.999
APC4	APC8	3702.O65418	3702.Q9STS3	0	0	0	0	0.170	0.994	0.969	0.984	0.999
APC4	APC7	3702.O65418	3702.Q8VY89	0	0	0	0	0.079	0.994	0.968	0.973	0.999
APC7	PYM	3702.Q8VY89	3702.O48533	0	0	0	0	0	0.497	0	0.719	0.852
APC7	APC4	3702.Q8VY89	3702.O65418	0	0	0	0	0.079	0.994	0.968	0.973	0.999
APC7	CYCA2-3	3702.Q8VY89	3702.Q38819	0	0	0	0	0.065	0.250	0.443	0.177	0.636
APC7	FZR2	3702.Q8VY89	3702.Q8L3Z8	0	0	0	0	0	0.725	0.695	0.778	0.979
APC7	FZR3	3702.Q8VY89	3702.Q8LPL5	0	0	0	0	0	0.725	0.695	0.792	0.981
APC7	FZR1	3702.Q8VY89	3702.Q8VZS9	0	0	0	0	0	0.725	0.695	0.790	0.980
APC7	CDC20-1	3702.Q8VY89	3702.Q9SZA4	0	0	0	0	0	0.725	0.695	0.794	0.981
APC7	APC8	3702.Q8VY89	3702.Q9STS3	0	0	0	0.563	0.135	0.988	0.968	0.804	0.999
APC7	APC10	3702.Q8VY89	3702.Q9ZPW2	0	0	0	0	0	0.972	0.964	0.965	0.999
APC8	PYM	3702.Q9STS3	3702.O48533	0	0	0	0	0.048	0.497	0	0.760	0.875
APC8	APC4	3702.Q9STS3	3702.O65418	0	0	0	0	0.170	0.994	0.969	0.984	0.999
APC8	CYCA2-3	3702.Q9STS3	3702.Q38819	0	0	0	0	0	0.287	0.443	0.344	0.716
APC8	FZR2	3702.Q9STS3	3702.Q8L3Z8	0	0	0	0	0.053	0.839	0.783	0.788	0.992
