#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
K2A18.8	Y14	3702.F4JZ11	3702.F4I9J7	0	0	0	0	0.053	0.056	0	0.408	0.424
K2A18.8	SCL30A	3702.F4JZ11	3702.Q9LHP2	0	0	0	0	0.194	0.172	0.188	0.064	0.424
K2A18.8	RNU1	3702.F4JZ11	3702.Q42404	0	0	0	0	0.122	0.099	0.335	0.185	0.514
K2A18.8	SR34	3702.F4JZ11	3702.O22315	0	0	0	0	0.139	0.077	0.448	0.185	0.595
K2A18.8	RSZ21	3702.F4JZ11	3702.O81127	0	0	0	0	0.151	0	0.520	0.309	0.693
K2A18.8	RSZ22	3702.F4JZ11	3702.O81126	0	0	0	0	0.156	0	0.520	0.309	0.695
K2A18.8	SC35	3702.F4JZ11	3702.Q9FMG4	0	0	0	0	0.127	0.049	0.734	0.475	0.868
K2A18.8	RS2Z33	3702.F4JZ11	3702.Q8VYA5	0	0	0	0	0.205	0	0.520	0.822	0.926
RNU1	Y14	3702.Q42404	3702.F4I9J7	0	0	0	0	0.154	0.363	0.369	0.151	0.672
RNU1	K2A18.8	3702.Q42404	3702.F4JZ11	0	0	0	0	0.122	0.099	0.335	0.185	0.514
RNU1	SR34	3702.Q42404	3702.O22315	0	0	0	0.587	0.171	0.994	0	0.466	0.997
RNU1	RSZ22	3702.Q42404	3702.O81126	0	0	0	0	0.112	0.551	0.324	0.924	0.976
RNU1	RSZ21	3702.Q42404	3702.O81127	0	0	0	0	0.118	0.680	0.324	0.886	0.975
RNU1	SCL30A	3702.Q42404	3702.Q9LHP2	0	0	0	0.622	0.062	0.167	0.116	0.300	0.452
RNU1	SC35	3702.Q42404	3702.Q9FMG4	0	0	0.110	0.609	0.124	0.189	0.482	0.789	0.918
RNU1	RS2Z33	3702.Q42404	3702.Q8VYA5	0	0	0	0	0.130	0.995	0.324	0.800	0.999
RS2Z33	Y14	3702.Q8VYA5	3702.F4I9J7	0	0	0	0	0.143	0.616	0.554	0.199	0.866
RS2Z33	K2A18.8	3702.Q8VYA5	3702.F4JZ11	0	0	0	0	0.205	0	0.520	0.822	0.926
RS2Z33	SR34	3702.Q8VYA5	3702.O22315	0	0	0	0.666	0.222	0.995	0.421	0.599	0.998
RS2Z33	RSZ22	3702.Q8VYA5	3702.O81126	0	0	0	0.745	0.057	0.994	0	0.533	0.997
RS2Z33	RSZ21	3702.Q8VYA5	3702.O81127	0	0	0.094	0.721	0.310	0.994	0	0.546	0.998
RS2Z33	SCL28	3702.Q8VYA5	3702.Q1PDV2	0	0	0	0	0	0.994	0.170	0.745	0.998
RS2Z33	RNU1	3702.Q8VYA5	3702.Q42404	0	0	0	0	0.130	0.995	0.324	0.800	0.999
RS2Z33	SCL30	3702.Q8VYA5	3702.Q8L3X8	0	0	0	0	0.235	0.994	0.170	0.796	0.999
RS2Z33	SCL30A	3702.Q8VYA5	3702.Q9LHP2	0	0	0	0.636	0.071	0.994	0.170	0.602	0.997
