#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RS2Z33	SR34B	3702.Q8VYA5	3702.F4JHI7	0	0	0	0.667	0.087	0.522	0.421	0.376	0.821
RS2Z33	SR34	3702.Q8VYA5	3702.O22315	0	0	0	0.666	0.222	0.995	0.421	0.599	0.998
RS2Z33	RSZ22	3702.Q8VYA5	3702.O81126	0	0	0	0.745	0.057	0.994	0	0.533	0.997
RS2Z33	RSZ21	3702.Q8VYA5	3702.O81127	0	0	0.094	0.721	0.310	0.994	0	0.546	0.998
RS2Z33	SCL28	3702.Q8VYA5	3702.Q1PDV2	0	0	0	0	0	0.994	0.170	0.745	0.998
RS2Z33	SCL30	3702.Q8VYA5	3702.Q8L3X8	0	0	0	0	0.235	0.994	0.170	0.796	0.999
RS2Z33	SCL33-2	3702.Q8VYA5	3702.Q9SEU4	0	0	0	0.635	0.181	0.260	0.170	0.332	0.619
RS2Z33	SR30	3702.Q8VYA5	3702.Q9XFR5	0	0	0	0.658	0.109	0.522	0.421	0.391	0.830
RS2Z33	SCL30A	3702.Q8VYA5	3702.Q9LHP2	0	0	0	0.636	0.071	0.994	0.170	0.602	0.997
RS2Z33	SC35	3702.Q8VYA5	3702.Q9FMG4	0	0	0	0.612	0.266	0.997	0.602	0.417	0.999
RSZ21	SR34B	3702.O81127	3702.F4JHI7	0	0	0	0.698	0.072	0.209	0.421	0.352	0.688
RSZ21	SR34	3702.O81127	3702.O22315	0	0	0	0.716	0.210	0.995	0.421	0.320	0.998
RSZ21	RSZ22	3702.O81127	3702.O81126	0	0	0.051	0.950	0.065	0.994	0	0.084	0.994
RSZ21	SR30	3702.O81127	3702.Q9XFR5	0	0	0	0.650	0.110	0.209	0.421	0.388	0.717
RSZ21	SCL33-2	3702.O81127	3702.Q9SEU4	0	0	0	0	0.139	0.079	0.170	0.820	0.865
RSZ21	SC35	3702.O81127	3702.Q9FMG4	0	0	0	0	0.233	0.623	0.602	0.905	0.987
RSZ21	RS2Z33	3702.O81127	3702.Q8VYA5	0	0	0.094	0.721	0.310	0.994	0	0.546	0.998
RSZ21	SCL28	3702.O81127	3702.Q1PDV2	0	0	0	0	0	0.994	0.170	0.789	0.998
RSZ21	SCL30	3702.O81127	3702.Q8L3X8	0	0	0	0	0.097	0.994	0.170	0.703	0.998
RSZ21	SCL30A	3702.O81127	3702.Q9LHP2	0	0	0	0	0.048	0.994	0.170	0.900	0.999
