#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACR9	CYP704A1	3702.O80644	3702.F4IV34	0	0	0	0	0	0.051	0.042	0.632	0.636
AREP1	CYP704A1	3702.P0DKH9	3702.F4IV34	0	0	0	0	0	0	0	0.852	0.852
AREP1	RTFL18	3702.P0DKH9	3702.Q6X5V0	0	0	0	0	0	0	0	0.791	0.791
CCT5	CYP704A1	3702.O04450	3702.F4IV34	0	0	0	0	0	0	0	0.757	0.757
CCT5	CCT8	3702.O04450	3702.Q94K05	0	0	0.112	0.712	0.761	0.906	0.808	0.486	0.997
CCT5	CCT7	3702.O04450	3702.Q9SF16	0	0	0	0.782	0.915	0.937	0.887	0.574	0.999
CCT7	CYP704A1	3702.Q9SF16	3702.F4IV34	0	0	0	0	0	0	0	0.695	0.695
CCT7	CCT5	3702.Q9SF16	3702.O04450	0	0	0	0.782	0.915	0.937	0.887	0.574	0.999
CCT7	CCT8	3702.Q9SF16	3702.Q94K05	0	0	0	0.745	0.860	0.936	0.851	0.551	0.999
CCT7	RGP1	3702.Q9SF16	3702.Q9SRT9	0	0	0	0	0.102	0.362	0.203	0.114	0.541
CCT8	CYP704A1	3702.Q94K05	3702.F4IV34	0	0	0	0	0	0	0	0.793	0.793
CCT8	K14B15.3	3702.Q94K05	3702.F4J2W0	0	0	0	0	0.156	0.193	0	0.284	0.469
CCT8	CCT5	3702.Q94K05	3702.O04450	0	0	0.112	0.712	0.761	0.906	0.808	0.486	0.997
CCT8	CCT7	3702.Q94K05	3702.Q9SF16	0	0	0	0.745	0.860	0.936	0.851	0.551	0.999
CYP704A1	F4I2N3_ARATH	3702.F4IV34	3702.F4I2N3	0	0	0	0	0.090	0	0	0.796	0.806
CYP704A1	RGP1	3702.F4IV34	3702.Q9SRT9	0	0	0	0	0.051	0	0	0.572	0.576
CYP704A1	DRG2	3702.F4IV34	3702.Q9CAI1	0	0	0	0	0	0	0	0.608	0.608
CYP704A1	ACR9	3702.F4IV34	3702.O80644	0	0	0	0	0	0.051	0.042	0.632	0.636
CYP704A1	CCT7	3702.F4IV34	3702.Q9SF16	0	0	0	0	0	0	0	0.695	0.695
CYP704A1	RTFL18	3702.F4IV34	3702.Q6X5V0	0	0	0	0	0	0	0	0.696	0.696
CYP704A1	K14B15.3	3702.F4IV34	3702.F4J2W0	0	0	0	0	0	0.046	0	0.720	0.721
CYP704A1	CCT5	3702.F4IV34	3702.O04450	0	0	0	0	0	0	0	0.757	0.757
CYP704A1	CCT8	3702.F4IV34	3702.Q94K05	0	0	0	0	0	0	0	0.793	0.793
CYP704A1	AREP1	3702.F4IV34	3702.P0DKH9	0	0	0	0	0	0	0	0.852	0.852
DRG2	F4I2N3_ARATH	3702.Q9CAI1	3702.F4I2N3	0	0	0	0	0	0	0	0.897	0.897
DRG2	CYP704A1	3702.Q9CAI1	3702.F4IV34	0	0	0	0	0	0	0	0.608	0.608
F4I2N3_ARATH	CYP704A1	3702.F4I2N3	3702.F4IV34	0	0	0	0	0.090	0	0	0.796	0.806
F4I2N3_ARATH	DRG2	3702.F4I2N3	3702.Q9CAI1	0	0	0	0	0	0	0	0.897	0.897
K14B15.3	CYP704A1	3702.F4J2W0	3702.F4IV34	0	0	0	0	0	0.046	0	0.720	0.721
K14B15.3	CCT8	3702.F4J2W0	3702.Q94K05	0	0	0	0	0.156	0.193	0	0.284	0.469
RGP1	CYP704A1	3702.Q9SRT9	3702.F4IV34	0	0	0	0	0.051	0	0	0.572	0.576
RGP1	CCT7	3702.Q9SRT9	3702.Q9SF16	0	0	0	0	0.102	0.362	0.203	0.114	0.541
RTFL18	CYP704A1	3702.Q6X5V0	3702.F4IV34	0	0	0	0	0	0	0	0.696	0.696
RTFL18	AREP1	3702.Q6X5V0	3702.P0DKH9	0	0	0	0	0	0	0	0.791	0.791
