#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATG7	PRT6	3702.Q94CD5	3702.F4KCC2	0	0	0	0	0.048	0	0.886	0.315	0.919
ATG7	YUP8H12.3	3702.Q94CD5	3702.O23034	0	0	0	0	0	0	0.897	0.567	0.953
ATG7	ECR1	3702.Q94CD5	3702.O65041	0	0	0	0.561	0	0.091	0.917	0.394	0.950
ATG7	UBA2	3702.Q94CD5	3702.P92974	0	0	0	0	0	0.055	0.746	0.596	0.894
ATG7	UBA1	3702.Q94CD5	3702.P93028	0	0	0	0	0.063	0.055	0.746	0.687	0.920
ATG7	UPL3	3702.Q94CD5	3702.Q6WWW4	0	0	0	0	0	0.067	0.940	0.205	0.951
ATG7	UBC37	3702.Q94CD5	3702.Q941B6	0.050	0	0	0	0	0.241	0.445	0.064	0.575
ATG7	F12P19.7	3702.Q94CD5	3702.Q94A98	0.050	0	0	0	0	0.241	0.742	0.110	0.812
ATG7	PUB1	3702.Q94CD5	3702.Q9LF41	0	0	0	0	0.071	0	0.606	0.183	0.674
ECR1	PRT6	3702.O65041	3702.F4KCC2	0	0	0	0	0.045	0	0.886	0.315	0.918
ECR1	YUP8H12.3	3702.O65041	3702.O23034	0	0	0	0.564	0	0	0.897	0.625	0.959
ECR1	UBC37	3702.O65041	3702.Q941B6	0.050	0	0	0	0.069	0.241	0.445	0.098	0.602
ECR1	PUB1	3702.O65041	3702.Q9LF41	0	0	0	0	0.048	0	0.606	0.217	0.680
ECR1	F12P19.7	3702.O65041	3702.Q94A98	0.050	0	0	0	0	0.241	0.742	0.211	0.833
ECR1	UBA2	3702.O65041	3702.P92974	0	0	0	0.618	0.058	0.210	0.765	0.519	0.904
ECR1	UBA1	3702.O65041	3702.P93028	0	0	0	0.609	0.044	0.210	0.765	0.592	0.918
ECR1	ATG7	3702.O65041	3702.Q94CD5	0	0	0	0.561	0	0.091	0.917	0.394	0.950
ECR1	UPL3	3702.O65041	3702.Q6WWW4	0	0	0	0	0.054	0.067	0.940	0.514	0.970
F12P19.7	PRT6	3702.Q94A98	3702.F4KCC2	0	0	0	0	0	0.632	0	0.504	0.809
F12P19.7	YUP8H12.3	3702.Q94A98	3702.O23034	0.050	0	0	0	0	0.241	0.734	0.064	0.796
F12P19.7	ECR1	3702.Q94A98	3702.O65041	0.050	0	0	0	0	0.241	0.742	0.211	0.833
F12P19.7	UBA2	3702.Q94A98	3702.P92974	0.050	0	0	0	0.044	0.854	0.609	0.404	0.963
F12P19.7	UBA1	3702.Q94A98	3702.P93028	0.050	0	0	0	0	0.854	0.609	0.404	0.963
F12P19.7	UPL3	3702.Q94A98	3702.Q6WWW4	0	0	0	0	0.122	0.747	0.602	0.500	0.949
F12P19.7	UBC37	3702.Q94A98	3702.Q941B6	0	0	0	0	0.046	0.363	0.333	0.084	0.579
F12P19.7	PUB1	3702.Q94A98	3702.Q9LF41	0	0	0	0	0	0.414	0.141	0.284	0.608
F12P19.7	ATG7	3702.Q94A98	3702.Q94CD5	0.050	0	0	0	0	0.241	0.742	0.110	0.812
PRT6	UBA2	3702.F4KCC2	3702.P92974	0	0	0	0	0.074	0	0.387	0.520	0.704
PRT6	UBC37	3702.F4KCC2	3702.Q941B6	0	0	0	0	0	0.632	0	0.236	0.706
PRT6	UBA1	3702.F4KCC2	3702.P93028	0	0	0	0	0.097	0	0.387	0.542	0.724
PRT6	PUB1	3702.F4KCC2	3702.Q9LF41	0	0	0	0	0.190	0	0.461	0.521	0.772
