#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDKB1-1	CKS1	3702.P25859	3702.O23249	0	0	0	0	0.237	0.932	0.421	0.863	0.995
CDKB1-1	CYCA2-2	3702.P25859	3702.Q147G5	0	0	0	0	0.291	0.425	0.306	0.893	0.965
CDKB1-1	CYCA2-4	3702.P25859	3702.Q9C968	0	0	0	0	0.293	0.425	0.306	0.895	0.966
CDKB1-1	CYCA1-1	3702.P25859	3702.Q9C6Y3	0	0	0	0	0.390	0.425	0.306	0.898	0.972
CDKB1-1	CYCA2-1	3702.P25859	3702.Q39071	0	0	0	0	0.262	0.569	0.306	0.901	0.975
CDKB1-1	CYCD4-1	3702.P25859	3702.Q8LGA1	0	0	0	0	0.109	0.790	0.303	0.847	0.977
CDKB1-1	CYCB1-2	3702.P25859	3702.Q39067	0	0	0	0	0.431	0.748	0.300	0.821	0.979
CDKB1-1	CKS2	3702.P25859	3702.Q9SJJ5	0	0	0	0	0.372	0.887	0.421	0.636	0.983
CDKB1-1	RBR1	3702.P25859	3702.Q9LKZ3	0	0	0	0	0.064	0.607	0.551	0.939	0.988
CDKB1-1	CYCA2-3	3702.P25859	3702.Q38819	0	0	0	0	0.282	0.797	0.306	0.978	0.997
CKS1	CKS2	3702.O23249	3702.Q9SJJ5	0	0	0.051	0.978	0.205	0	0	0.328	0.449
CKS1	CYCD4-1	3702.O23249	3702.Q8LGA1	0	0	0	0	0.104	0.236	0.390	0.377	0.705
CKS1	RBR1	3702.O23249	3702.Q9LKZ3	0	0	0	0	0.058	0	0.727	0.370	0.823
CKS1	CYCA2-1	3702.O23249	3702.Q39071	0	0	0	0	0.182	0.363	0.396	0.612	0.861
CKS1	CYCA2-2	3702.O23249	3702.Q147G5	0	0	0	0	0.182	0.363	0.396	0.702	0.894
CKS1	CYCA2-4	3702.O23249	3702.Q9C968	0	0	0	0	0.182	0.363	0.396	0.702	0.894
CKS1	CYCA1-1	3702.O23249	3702.Q9C6Y3	0	0	0	0	0.182	0.363	0.396	0.740	0.907
CKS1	CYCB1-2	3702.O23249	3702.Q39067	0	0	0	0	0.251	0.750	0.139	0.508	0.910
CKS1	CYCA2-3	3702.O23249	3702.Q38819	0	0	0	0	0.182	0.750	0.396	0.658	0.952
CKS1	CDKB1-1	3702.O23249	3702.P25859	0	0	0	0	0.237	0.932	0.421	0.863	0.995
