#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EIF(ISO)4E	RBP47B	3702.O04663	3702.Q0WW84	0	0	0	0	0.047	0.111	0.181	0.335	0.477
EIF(ISO)4E	RBP47C-2	3702.O04663	3702.Q9SX80	0	0	0	0	0.069	0.111	0.181	0.423	0.556
EIF(ISO)4E	RBP47C	3702.O04663	3702.Q9SX79	0	0	0	0	0	0.111	0.181	0.489	0.595
EIF(ISO)4E	Q8RX85_ARATH	3702.O04663	3702.Q8RX85	0	0	0	0	0	0	0	0.760	0.760
EIF(ISO)4E	PAB2	3702.O04663	3702.P42731	0	0	0	0	0	0.363	0.311	0.720	0.866
LWD1	Q8RX85_ARATH	3702.Q9LPV9	3702.Q8RX85	0	0	0	0	0.190	0.526	0	0.149	0.644
LWD2	Q8RX85_ARATH	3702.Q38960	3702.Q8RX85	0	0	0	0	0.190	0.526	0	0.149	0.644
OZF2	RBP47B	3702.Q9M0G2	3702.Q0WW84	0	0	0	0	0	0	0	0.433	0.433
OZF2	Q8RX85_ARATH	3702.Q9M0G2	3702.Q8RX85	0	0	0	0	0	0	0	0.793	0.793
OZF2	RBP47C-2	3702.Q9M0G2	3702.Q9SX80	0	0	0	0	0	0	0	0.548	0.548
OZF2	RBP47C	3702.Q9M0G2	3702.Q9SX79	0	0	0	0	0	0	0	0.598	0.598
PAB2	EIF(ISO)4E	3702.P42731	3702.O04663	0	0	0	0	0	0.363	0.311	0.720	0.866
PAB2	RBP47B	3702.P42731	3702.Q0WW84	0	0	0	0.629	0	0.079	0.133	0.317	0.407
PAB2	Q8RX85_ARATH	3702.P42731	3702.Q8RX85	0	0	0	0	0	0	0	0.794	0.794
Q8RX85_ARATH	EIF(ISO)4E	3702.Q8RX85	3702.O04663	0	0	0	0	0	0	0	0.760	0.760
Q8RX85_ARATH	RPN8A	3702.Q8RX85	3702.O24412	0	0	0	0	0	0	0	0.794	0.794
Q8RX85_ARATH	PAB2	3702.Q8RX85	3702.P42731	0	0	0	0	0	0	0	0.794	0.794
Q8RX85_ARATH	RBP47B	3702.Q8RX85	3702.Q0WW84	0	0	0	0	0	0.054	0	0.820	0.822
Q8RX85_ARATH	LWD2	3702.Q8RX85	3702.Q38960	0	0	0	0	0.190	0.526	0	0.149	0.644
Q8RX85_ARATH	LWD1	3702.Q8RX85	3702.Q9LPV9	0	0	0	0	0.190	0.526	0	0.149	0.644
Q8RX85_ARATH	TTG1	3702.Q8RX85	3702.Q9XGN1	0	0	0	0	0.190	0.526	0	0.149	0.644
Q8RX85_ARATH	OZF2	3702.Q8RX85	3702.Q9M0G2	0	0	0	0	0	0	0	0.793	0.793
Q8RX85_ARATH	RBP47C-2	3702.Q8RX85	3702.Q9SX80	0	0	0	0	0	0.054	0	0.892	0.893
Q8RX85_ARATH	RBP47C	3702.Q8RX85	3702.Q9SX79	0	0	0	0	0	0.054	0	0.897	0.898
RBP47B	EIF(ISO)4E	3702.Q0WW84	3702.O04663	0	0	0	0	0.047	0.111	0.181	0.335	0.477
RBP47B	RPN8A	3702.Q0WW84	3702.O24412	0	0	0	0	0.062	0.107	0.090	0.431	0.508
RBP47B	PAB2	3702.Q0WW84	3702.P42731	0	0	0	0.629	0	0.079	0.133	0.317	0.407
RBP47B	OZF2	3702.Q0WW84	3702.Q9M0G2	0	0	0	0	0	0	0	0.433	0.433
RBP47B	Q8RX85_ARATH	3702.Q0WW84	3702.Q8RX85	0	0	0	0	0	0.054	0	0.820	0.822
RBP47C	EIF(ISO)4E	3702.Q9SX79	3702.O04663	0	0	0	0	0	0.111	0.181	0.489	0.595
RBP47C	RPN8A	3702.Q9SX79	3702.O24412	0	0	0	0	0	0.107	0.090	0.597	0.643
RBP47C	Q8RX85_ARATH	3702.Q9SX79	3702.Q8RX85	0	0	0	0	0	0.054	0	0.897	0.898
RBP47C	OZF2	3702.Q9SX79	3702.Q9M0G2	0	0	0	0	0	0	0	0.598	0.598
RBP47C-2	EIF(ISO)4E	3702.Q9SX80	3702.O04663	0	0	0	0	0.069	0.111	0.181	0.423	0.556
RBP47C-2	RPN8A	3702.Q9SX80	3702.O24412	0	0	0	0	0.054	0.107	0.090	0.544	0.602
RBP47C-2	Q8RX85_ARATH	3702.Q9SX80	3702.Q8RX85	0	0	0	0	0	0.054	0	0.892	0.893
RBP47C-2	OZF2	3702.Q9SX80	3702.Q9M0G2	0	0	0	0	0	0	0	0.548	0.548
RPN8A	RBP47B	3702.O24412	3702.Q0WW84	0	0	0	0	0.062	0.107	0.090	0.431	0.508
RPN8A	RBP47C-2	3702.O24412	3702.Q9SX80	0	0	0	0	0.054	0.107	0.090	0.544	0.602
RPN8A	RBP47C	3702.O24412	3702.Q9SX79	0	0	0	0	0	0.107	0.090	0.597	0.643
RPN8A	Q8RX85_ARATH	3702.O24412	3702.Q8RX85	0	0	0	0	0	0	0	0.794	0.794
TTG1	Q8RX85_ARATH	3702.Q9XGN1	3702.Q8RX85	0	0	0	0	0.190	0.526	0	0.149	0.644
