#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CYP86A1	KCS17	3702.P48422	3702.O65677	0	0	0	0	0	0	0	0.785	0.785
CYP86A1	CYP86B1	3702.P48422	3702.Q9FMY1	0	0	0.083	0.915	0.332	0	0	0.116	0.411
CYP86A1	WSD1	3702.P48422	3702.Q93ZR6	0	0	0	0	0	0	0	0.431	0.431
CYP86A1	KCS21	3702.P48422	3702.Q9FH27	0	0	0	0	0	0	0	0.785	0.785
CYP86A1	MYB41	3702.P48422	3702.Q9M0J5	0	0	0	0	0.075	0	0	0.790	0.797
CYP86A1	KCS2	3702.P48422	3702.Q5XEP9	0	0	0	0	0.071	0	0	0.795	0.801
CYP86A1	FACT	3702.P48422	3702.Q9FFQ7	0	0	0	0	0.480	0	0	0.719	0.847
CYP86A1	FAR5	3702.P48422	3702.Q0WRB0	0	0	0	0	0.293	0	0	0.794	0.848
CYP86A1	HHT1	3702.P48422	3702.Q94CD1	0	0	0	0	0.307	0	0	0.800	0.855
CYP86A1	GPAT5	3702.P48422	3702.Q9CAY3	0	0	0	0	0.323	0	0	0.908	0.935
CYP86B1	KCS17	3702.Q9FMY1	3702.O65677	0	0	0	0	0	0	0	0.793	0.793
CYP86B1	CYP86A1	3702.Q9FMY1	3702.P48422	0	0	0.083	0.915	0.332	0	0	0.116	0.411
CYP86B1	FAR5	3702.Q9FMY1	3702.Q0WRB0	0	0	0	0	0.346	0	0	0.881	0.918
CYP86B1	KCS2	3702.Q9FMY1	3702.Q5XEP9	0	0	0	0	0.149	0	0	0.796	0.818
CYP86B1	HHT1	3702.Q9FMY1	3702.Q94CD1	0	0	0	0	0.413	0	0	0.904	0.941
CYP86B1	GPAT5	3702.Q9FMY1	3702.Q9CAY3	0	0	0	0	0.312	0	0	0.897	0.926
CYP86B1	FACT	3702.Q9FMY1	3702.Q9FFQ7	0	0	0	0	0.211	0	0	0.758	0.800
CYP86B1	KCS21	3702.Q9FMY1	3702.Q9FH27	0	0	0	0	0.071	0	0	0.795	0.801
CYP86B1	MYB41	3702.Q9FMY1	3702.Q9M0J5	0	0	0	0	0.251	0	0	0.794	0.839
FACT	CYP86A1	3702.Q9FFQ7	3702.P48422	0	0	0	0	0.480	0	0	0.719	0.847
FACT	FAR5	3702.Q9FFQ7	3702.Q0WRB0	0	0	0	0	0.188	0	0	0.796	0.827
FACT	HHT1	3702.Q9FFQ7	3702.Q94CD1	0	0	0.058	0.965	0.149	0	0.900	0.071	0.915
FACT	GPAT5	3702.Q9FFQ7	3702.Q9CAY3	0	0	0	0	0.141	0	0	0.758	0.783
FACT	KCS21	3702.Q9FFQ7	3702.Q9FH27	0	0	0	0	0	0	0	0.432	0.432
FACT	MYB41	3702.Q9FFQ7	3702.Q9M0J5	0	0	0	0	0.071	0	0	0.573	0.586
FACT	CYP86B1	3702.Q9FFQ7	3702.Q9FMY1	0	0	0	0	0.211	0	0	0.758	0.800
FAR5	KCS17	3702.Q0WRB0	3702.O65677	0	0	0	0	0	0	0	0.785	0.785
FAR5	CYP86A1	3702.Q0WRB0	3702.P48422	0	0	0	0	0.293	0	0	0.794	0.848
FAR5	KCS21	3702.Q0WRB0	3702.Q9FH27	0	0	0	0	0	0	0	0.792	0.792
FAR5	MYB41	3702.Q0WRB0	3702.Q9M0J5	0	0	0	0	0.149	0	0	0.772	0.797
FAR5	KCS2	3702.Q0WRB0	3702.Q5XEP9	0	0	0	0	0.071	0	0	0.793	0.799
FAR5	FACT	3702.Q0WRB0	3702.Q9FFQ7	0	0	0	0	0.188	0	0	0.796	0.827
FAR5	GPAT5	3702.Q0WRB0	3702.Q9CAY3	0	0	0	0	0.305	0	0	0.822	0.871
FAR5	CYP86B1	3702.Q0WRB0	3702.Q9FMY1	0	0	0	0	0.346	0	0	0.881	0.918
FAR5	HHT1	3702.Q0WRB0	3702.Q94CD1	0	0	0	0	0.308	0	0	0.888	0.919
FAR5	WSD1	3702.Q0WRB0	3702.Q93ZR6	0	0	0	0	0	0	0.900	0.597	0.957
GPAT5	KCS17	3702.Q9CAY3	3702.O65677	0	0	0	0	0.062	0	0	0.757	0.762
GPAT5	CYP86A1	3702.Q9CAY3	3702.P48422	0	0	0	0	0.323	0	0	0.908	0.935
GPAT5	FAR5	3702.Q9CAY3	3702.Q0WRB0	0	0	0	0	0.305	0	0	0.822	0.871
GPAT5	KCS2	3702.Q9CAY3	3702.Q5XEP9	0	0	0	0	0.081	0	0	0.794	0.802
GPAT5	WSD1	3702.Q9CAY3	3702.Q93ZR6	0	0	0	0	0	0	0	0.431	0.431
GPAT5	HHT1	3702.Q9CAY3	3702.Q94CD1	0	0	0	0	0.308	0	0	0.910	0.935
GPAT5	FACT	3702.Q9CAY3	3702.Q9FFQ7	0	0	0	0	0.141	0	0	0.758	0.783
GPAT5	KCS21	3702.Q9CAY3	3702.Q9FH27	0	0	0	0	0	0	0	0.785	0.785
GPAT5	MYB41	3702.Q9CAY3	3702.Q9M0J5	0	0	0	0	0.104	0	0	0.793	0.806
GPAT5	CYP86B1	3702.Q9CAY3	3702.Q9FMY1	0	0	0	0	0.312	0	0	0.897	0.926
HHT1	KCS17	3702.Q94CD1	3702.O65677	0	0	0	0	0	0	0	0.658	0.658
HHT1	CYP86A1	3702.Q94CD1	3702.P48422	0	0	0	0	0.307	0	0	0.800	0.855
HHT1	FAR5	3702.Q94CD1	3702.Q0WRB0	0	0	0	0	0.308	0	0	0.888	0.919
HHT1	KCS2	3702.Q94CD1	3702.Q5XEP9	0	0	0	0	0.174	0	0	0.785	0.814
