#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BAM3-2	RHS16	3702.O65440	3702.C0LGR6	0	0	0	0.618	0	0.259	0.071	0.232	0.425
BAM3-2	MEE6.25	3702.O65440	3702.Q9FLL2	0	0	0.171	0.631	0	0.480	0	0	0.550
BAM3-2	T22F8.170	3702.O65440	3702.Q9T033	0	0	0.196	0.645	0	0.480	0	0.140	0.609
BAM3-2	PXC2	3702.O65440	3702.Q9LZV7	0	0	0.156	0.767	0.217	0.480	0	0	0.626
CKA1	MEE6.25	3702.Q08467	3702.Q9FLL2	0	0	0	0	0	0	0	0.638	0.638
F9D16.210	MEE6.25	3702.Q9SUQ3	3702.Q9FLL2	0	0	0.151	0.612	0	0.480	0	0	0.539
MEE6.25	RGI3	3702.Q9FLL2	3702.C0LGR3	0	0	0.155	0.630	0	0.480	0	0	0.542
MEE6.25	RHS16	3702.Q9FLL2	3702.C0LGR6	0	0	0	0.589	0	0.480	0	0.350	0.647
MEE6.25	RLK7	3702.Q9FLL2	3702.F4I2N7	0	0	0.200	0.620	0.075	0.480	0	0	0.581
MEE6.25	BAM3-2	3702.Q9FLL2	3702.O65440	0	0	0.171	0.631	0	0.480	0	0	0.550
MEE6.25	MKK3	3702.Q9FLL2	3702.O80396	0	0	0	0	0	0	0	0.543	0.543
MEE6.25	CKA1	3702.Q9FLL2	3702.Q08467	0	0	0	0	0	0	0	0.638	0.638
MEE6.25	F9D16.210	3702.Q9FLL2	3702.Q9SUQ3	0	0	0.151	0.612	0	0.480	0	0	0.539
MEE6.25	MIK1	3702.Q9FLL2	3702.Q9M0G7	0	0	0.152	0.620	0	0.480	0	0	0.540
MEE6.25	PXC2	3702.Q9FLL2	3702.Q9LZV7	0	0	0.168	0.606	0	0.480	0	0	0.549
MEE6.25	T22F8.170	3702.Q9FLL2	3702.Q9T033	0	0	0.183	0.624	0	0.480	0	0	0.557
MIK1	MEE6.25	3702.Q9M0G7	3702.Q9FLL2	0	0	0.152	0.620	0	0.480	0	0	0.540
MKK3	MEE6.25	3702.O80396	3702.Q9FLL2	0	0	0	0	0	0	0	0.543	0.543
PXC2	BAM3-2	3702.Q9LZV7	3702.O65440	0	0	0.156	0.767	0.217	0.480	0	0	0.626
PXC2	MEE6.25	3702.Q9LZV7	3702.Q9FLL2	0	0	0.168	0.606	0	0.480	0	0	0.549
RGI3	MEE6.25	3702.C0LGR3	3702.Q9FLL2	0	0	0.155	0.630	0	0.480	0	0	0.542
RHS16	BAM3-2	3702.C0LGR6	3702.O65440	0	0	0	0.618	0	0.259	0.071	0.232	0.425
RHS16	RLK7	3702.C0LGR6	3702.F4I2N7	0	0	0	0.634	0	0.480	0	0	0.480
RHS16	MEE6.25	3702.C0LGR6	3702.Q9FLL2	0	0	0	0.589	0	0.480	0	0.350	0.647
RLK7	RHS16	3702.F4I2N7	3702.C0LGR6	0	0	0	0.634	0	0.480	0	0	0.480
RLK7	MEE6.25	3702.F4I2N7	3702.Q9FLL2	0	0	0.200	0.620	0.075	0.480	0	0	0.581
RLK7	T22F8.170	3702.F4I2N7	3702.Q9T033	0	0	0.190	0.639	0.087	0.496	0.071	0	0.608
T22F8.170	RLK7	3702.Q9T033	3702.F4I2N7	0	0	0.190	0.639	0.087	0.496	0.071	0	0.608
T22F8.170	BAM3-2	3702.Q9T033	3702.O65440	0	0	0.196	0.645	0	0.480	0	0.140	0.609
T22F8.170	MEE6.25	3702.Q9T033	3702.Q9FLL2	0	0	0.183	0.624	0	0.480	0	0	0.557
