#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CML12	RAD4	3702.P25071	3702.Q8W489	0	0	0	0	0	0.363	0.323	0.065	0.561
CML12	PBP1-2	3702.P25071	3702.Q9LSQ6	0	0	0	0	0.306	0.057	0	0.786	0.848
CYCH1-1	F6I18.270	3702.Q8W5S1	3702.O65567	0	0	0	0	0.274	0.996	0.969	0.516	0.999
CYCH1-1	RAD4	3702.Q8W5S1	3702.Q8W489	0	0	0	0	0	0.073	0.901	0.592	0.959
CYCH1-1	PBP1-2	3702.Q8W5S1	3702.Q9LSQ6	0	0	0	0	0.050	0.077	0.581	0.120	0.633
EER5	SAC3B	3702.Q8GWE6	3702.F4JAU2	0	0	0	0	0.059	0.919	0.540	0.880	0.995
EER5	SAC3C	3702.Q8GWE6	3702.Q67XV2	0	0	0	0	0.096	0.899	0.540	0.610	0.981
EER5	ENY2	3702.Q8GWE6	3702.Q6NQ54	0	0	0	0	0	0.891	0.360	0.576	0.967
EER5	PBP1-2	3702.Q8GWE6	3702.Q9LSQ6	0	0	0	0	0	0.678	0	0.242	0.745
ENY2	SAC3B	3702.Q6NQ54	3702.F4JAU2	0	0	0	0	0	0.926	0.360	0.802	0.989
ENY2	SAC3C	3702.Q6NQ54	3702.Q67XV2	0	0	0	0	0	0.926	0.360	0.882	0.993
ENY2	PBP1-2	3702.Q6NQ54	3702.Q9LSQ6	0	0	0	0	0.064	0.787	0	0.309	0.850
ENY2	EER5	3702.Q6NQ54	3702.Q8GWE6	0	0	0	0	0	0.891	0.360	0.576	0.967
F6I18.270	PBP1-2	3702.O65567	3702.Q9LSQ6	0	0	0	0	0.094	0.051	0.593	0	0.619
F6I18.270	RAD4	3702.O65567	3702.Q8W489	0	0	0	0	0	0	0.919	0.338	0.944
F6I18.270	CYCH1-1	3702.O65567	3702.Q8W5S1	0	0	0	0	0.274	0.996	0.969	0.516	0.999
PBP1-2	SAC3B	3702.Q9LSQ6	3702.F4JAU2	0	0	0	0	0	0.666	0	0.240	0.735
PBP1-2	F6I18.270	3702.Q9LSQ6	3702.O65567	0	0	0	0	0.094	0.051	0.593	0	0.619
PBP1-2	CML12	3702.Q9LSQ6	3702.P25071	0	0	0	0	0.306	0.057	0	0.786	0.848
PBP1-2	SAC3C	3702.Q9LSQ6	3702.Q67XV2	0	0	0	0	0	0.666	0	0.240	0.735
PBP1-2	ENY2	3702.Q9LSQ6	3702.Q6NQ54	0	0	0	0	0.064	0.787	0	0.309	0.850
PBP1-2	EER5	3702.Q9LSQ6	3702.Q8GWE6	0	0	0	0	0	0.678	0	0.242	0.745
PBP1-2	RAD4	3702.Q9LSQ6	3702.Q8W489	0	0	0	0	0	0.728	0.597	0.222	0.907
PBP1-2	CYCH1-1	3702.Q9LSQ6	3702.Q8W5S1	0	0	0	0	0.050	0.077	0.581	0.120	0.633
PBP1-2	T22E16.10	3702.Q9LSQ6	3702.Q9M2U3	0	0	0	0	0	0	0	0.719	0.719
PBP1-2	Q9LUI0_ARATH	3702.Q9LSQ6	3702.Q9LUI0	0	0	0	0	0	0	0	0.719	0.719
Q9LUI0_ARATH	PBP1-2	3702.Q9LUI0	3702.Q9LSQ6	0	0	0	0	0	0	0	0.719	0.719
RAD4	SAC3B	3702.Q8W489	3702.F4JAU2	0	0	0	0	0.115	0	0	0.597	0.628
RAD4	F6I18.270	3702.Q8W489	3702.O65567	0	0	0	0	0	0	0.919	0.338	0.944
RAD4	CML12	3702.Q8W489	3702.P25071	0	0	0	0	0	0.363	0.323	0.065	0.561
RAD4	PBP1-2	3702.Q8W489	3702.Q9LSQ6	0	0	0	0	0	0.728	0.597	0.222	0.907
RAD4	CYCH1-1	3702.Q8W489	3702.Q8W5S1	0	0	0	0	0	0.073	0.901	0.592	0.959
SAC3B	RAD4	3702.F4JAU2	3702.Q8W489	0	0	0	0	0.115	0	0	0.597	0.628
SAC3B	SAC3C	3702.F4JAU2	3702.Q67XV2	0	0	0.095	0.788	0	0	0.540	0.222	0.648
SAC3B	PBP1-2	3702.F4JAU2	3702.Q9LSQ6	0	0	0	0	0	0.666	0	0.240	0.735
SAC3B	ENY2	3702.F4JAU2	3702.Q6NQ54	0	0	0	0	0	0.926	0.360	0.802	0.989
SAC3B	EER5	3702.F4JAU2	3702.Q8GWE6	0	0	0	0	0.059	0.919	0.540	0.880	0.995
SAC3C	SAC3B	3702.Q67XV2	3702.F4JAU2	0	0	0.095	0.788	0	0	0.540	0.222	0.648
SAC3C	PBP1-2	3702.Q67XV2	3702.Q9LSQ6	0	0	0	0	0	0.666	0	0.240	0.735
SAC3C	EER5	3702.Q67XV2	3702.Q8GWE6	0	0	0	0	0.096	0.899	0.540	0.610	0.981
SAC3C	ENY2	3702.Q67XV2	3702.Q6NQ54	0	0	0	0	0	0.926	0.360	0.882	0.993
T22E16.10	PBP1-2	3702.Q9M2U3	3702.Q9LSQ6	0	0	0	0	0	0	0	0.719	0.719
