#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BARS1	F4N21.7	3702.O23390	3702.F4HQ07	0.041	0	0	0	0.100	0.136	0	0.558	0.627
BARS1	dl3725w	3702.O23390	3702.O23389	0	0	0	0	0.185	0.077	0.122	0.598	0.698
BARS1	TPS27	3702.O23390	3702.P0DI76	0	0	0	0	0.070	0	0	0.474	0.489
BARS1	BHLH129	3702.O23390	3702.Q9ZW81	0	0	0	0	0	0	0	0.541	0.541
BARS1	TPS23	3702.O23390	3702.P0DI77	0	0	0	0	0.065	0	0	0.578	0.588
BARS1	dl3720w	3702.O23390	3702.O23391	0	0	0	0	0.211	0.077	0.122	0.598	0.708
BARS1	CYP705A5	3702.O23390	3702.Q9FI39	0	0	0	0	0.065	0.077	0.122	0.719	0.758
BARS1	CRRSP58	3702.O23390	3702.Q9FHD4	0	0	0	0	0.079	0	0	0.796	0.804
BARS1	MRN1	3702.O23390	3702.Q9FJV8	0	0	0.052	0.977	0	0	0.900	0.061	0.903
BHLH129	dl3725w	3702.Q9ZW81	3702.O23389	0	0	0	0	0	0	0	0.545	0.545
BHLH129	BARS1	3702.Q9ZW81	3702.O23390	0	0	0	0	0	0	0	0.541	0.541
BHLH129	dl3720w	3702.Q9ZW81	3702.O23391	0	0	0	0	0	0	0	0.547	0.547
BHLH129	TPS27	3702.Q9ZW81	3702.P0DI76	0	0	0	0	0	0	0	0.720	0.720
BHLH129	TPS23	3702.Q9ZW81	3702.P0DI77	0	0	0	0	0	0	0	0.784	0.784
BHLH129	CRRSP58	3702.Q9ZW81	3702.Q9FHD4	0	0	0	0	0.061	0	0	0.795	0.799
BHLH129	CYP705A5	3702.Q9ZW81	3702.Q9FI39	0	0	0	0	0	0	0	0.499	0.499
BHLH129	MRN1	3702.Q9ZW81	3702.Q9FJV8	0	0	0	0	0	0	0	0.540	0.540
CRRSP58	GLV8	3702.Q9FHD4	3702.B3H5Q2	0	0	0	0	0.058	0	0	0.720	0.724
CRRSP58	F4N21.7	3702.Q9FHD4	3702.F4HQ07	0	0	0	0	0.065	0	0	0.718	0.725
CRRSP58	dl3725w	3702.Q9FHD4	3702.O23389	0	0	0	0	0.081	0	0.048	0.800	0.809
CRRSP58	BARS1	3702.Q9FHD4	3702.O23390	0	0	0	0	0.079	0	0	0.796	0.804
CRRSP58	dl3720w	3702.Q9FHD4	3702.O23391	0	0	0	0	0.083	0	0.048	0.802	0.812
CRRSP58	TPS27	3702.Q9FHD4	3702.P0DI76	0	0	0	0	0.069	0	0	0.792	0.798
CRRSP58	TPS23	3702.Q9FHD4	3702.P0DI77	0	0	0	0	0.061	0	0	0.805	0.809
CRRSP58	MRN1	3702.Q9FHD4	3702.Q9FJV8	0	0	0	0	0	0	0	0.795	0.795
CRRSP58	BHLH129	3702.Q9FHD4	3702.Q9ZW81	0	0	0	0	0.061	0	0	0.795	0.799
CRRSP58	CYP705A5	3702.Q9FHD4	3702.Q9FI39	0	0	0	0	0.065	0	0.048	0.794	0.800
CYP705A5	F4N21.7	3702.Q9FI39	3702.F4HQ07	0	0	0	0	0.455	0.063	0.120	0.263	0.624
CYP705A5	BARS1	3702.Q9FI39	3702.O23390	0	0	0	0	0.065	0.077	0.122	0.719	0.758
CYP705A5	TPS27	3702.Q9FI39	3702.P0DI76	0	0	0	0	0.199	0	0	0.420	0.515
CYP705A5	TPS23	3702.Q9FI39	3702.P0DI77	0	0	0	0	0.142	0	0	0.546	0.593
CYP705A5	CRRSP58	3702.Q9FI39	3702.Q9FHD4	0	0	0	0	0.065	0	0.048	0.794	0.800
CYP705A5	BHLH129	3702.Q9FI39	3702.Q9ZW81	0	0	0	0	0	0	0	0.499	0.499
CYP705A5	MRN1	3702.Q9FI39	3702.Q9FJV8	0	0	0	0	0.242	0.077	0.122	0.926	0.948
F4N21.7	GLV8	3702.F4HQ07	3702.B3H5Q2	0	0	0	0	0	0	0	0.514	0.514
F4N21.7	dl3720w	3702.F4HQ07	3702.O23391	0	0	0	0	0.079	0.063	0.120	0.320	0.414
F4N21.7	CYP705A5	3702.F4HQ07	3702.Q9FI39	0	0	0	0	0.455	0.063	0.120	0.263	0.624
F4N21.7	BARS1	3702.F4HQ07	3702.O23390	0.041	0	0	0	0.100	0.136	0	0.558	0.627
F4N21.7	MRN1	3702.F4HQ07	3702.Q9FJV8	0.041	0	0	0	0.243	0.136	0	0.554	0.683
F4N21.7	CRRSP58	3702.F4HQ07	3702.Q9FHD4	0	0	0	0	0.065	0	0	0.718	0.725
GLV8	F4N21.7	3702.B3H5Q2	3702.F4HQ07	0	0	0	0	0	0	0	0.514	0.514
GLV8	CRRSP58	3702.B3H5Q2	3702.Q9FHD4	0	0	0	0	0.058	0	0	0.720	0.724
MRN1	F4N21.7	3702.Q9FJV8	3702.F4HQ07	0.041	0	0	0	0.243	0.136	0	0.554	0.683
MRN1	dl3725w	3702.Q9FJV8	3702.O23389	0	0	0	0	0	0.077	0.122	0.547	0.600
MRN1	BARS1	3702.Q9FJV8	3702.O23390	0	0	0.052	0.977	0	0	0.900	0.061	0.903
MRN1	dl3720w	3702.Q9FJV8	3702.O23391	0	0	0	0	0	0.077	0.122	0.549	0.602
MRN1	TPS27	3702.Q9FJV8	3702.P0DI76	0	0	0	0	0.091	0	0	0.435	0.464
MRN1	TPS23	3702.Q9FJV8	3702.P0DI77	0	0	0	0	0.080	0	0	0.572	0.589
MRN1	CRRSP58	3702.Q9FJV8	3702.Q9FHD4	0	0	0	0	0	0	0	0.795	0.795
MRN1	CYP705A5	3702.Q9FJV8	3702.Q9FI39	0	0	0	0	0.242	0.077	0.122	0.926	0.948
MRN1	BHLH129	3702.Q9FJV8	3702.Q9ZW81	0	0	0	0	0	0	0	0.540	0.540
TPS23	dl3725w	3702.P0DI77	3702.O23389	0	0	0	0	0	0	0	0.599	0.599
TPS23	BARS1	3702.P0DI77	3702.O23390	0	0	0	0	0.065	0	0	0.578	0.588
TPS23	dl3720w	3702.P0DI77	3702.O23391	0	0	0	0	0.067	0	0	0.599	0.609
TPS23	TPS27	3702.P0DI77	3702.P0DI76	0	0	0	0.988	0.861	0	0	0.050	0.862
TPS23	MRN1	3702.P0DI77	3702.Q9FJV8	0	0	0	0	0.080	0	0	0.572	0.589
TPS23	CYP705A5	3702.P0DI77	3702.Q9FI39	0	0	0	0	0.142	0	0	0.546	0.593
TPS23	BHLH129	3702.P0DI77	3702.Q9ZW81	0	0	0	0	0	0	0	0.784	0.784
TPS23	CRRSP58	3702.P0DI77	3702.Q9FHD4	0	0	0	0	0.061	0	0	0.805	0.809
TPS27	dl3725w	3702.P0DI76	3702.O23389	0	0	0	0	0	0	0	0.493	0.493
TPS27	BARS1	3702.P0DI76	3702.O23390	0	0	0	0	0.070	0	0	0.474	0.489
TPS27	dl3720w	3702.P0DI76	3702.O23391	0	0	0	0	0.071	0	0	0.513	0.528
TPS27	MRN1	3702.P0DI76	3702.Q9FJV8	0	0	0	0	0.091	0	0	0.435	0.464
TPS27	CYP705A5	3702.P0DI76	3702.Q9FI39	0	0	0	0	0.199	0	0	0.420	0.515
TPS27	BHLH129	3702.P0DI76	3702.Q9ZW81	0	0	0	0	0	0	0	0.720	0.720
TPS27	CRRSP58	3702.P0DI76	3702.Q9FHD4	0	0	0	0	0.069	0	0	0.792	0.798
TPS27	TPS23	3702.P0DI76	3702.P0DI77	0	0	0	0.988	0.861	0	0	0.050	0.862
dl3720w	F4N21.7	3702.O23391	3702.F4HQ07	0	0	0	0	0.079	0.063	0.120	0.320	0.414
dl3720w	BARS1	3702.O23391	3702.O23390	0	0	0	0	0.211	0.077	0.122	0.598	0.708
dl3720w	TPS27	3702.O23391	3702.P0DI76	0	0	0	0	0.071	0	0	0.513	0.528
dl3720w	BHLH129	3702.O23391	3702.Q9ZW81	0	0	0	0	0	0	0	0.547	0.547
dl3720w	MRN1	3702.O23391	3702.Q9FJV8	0	0	0	0	0	0.077	0.122	0.549	0.602
dl3720w	TPS23	3702.O23391	3702.P0DI77	0	0	0	0	0.067	0	0	0.599	0.609
dl3720w	CRRSP58	3702.O23391	3702.Q9FHD4	0	0	0	0	0.083	0	0.048	0.802	0.812
dl3725w	TPS27	3702.O23389	3702.P0DI76	0	0	0	0	0	0	0	0.493	0.493
dl3725w	BHLH129	3702.O23389	3702.Q9ZW81	0	0	0	0	0	0	0	0.545	0.545
dl3725w	TPS23	3702.O23389	3702.P0DI77	0	0	0	0	0	0	0	0.599	0.599
dl3725w	MRN1	3702.O23389	3702.Q9FJV8	0	0	0	0	0	0.077	0.122	0.547	0.600
dl3725w	BARS1	3702.O23389	3702.O23390	0	0	0	0	0.185	0.077	0.122	0.598	0.698
dl3725w	CRRSP58	3702.O23389	3702.Q9FHD4	0	0	0	0	0.081	0	0.048	0.800	0.809
