#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDC6	MCM6	3702.O82387	3702.F4KAB8	0	0	0	0	0.628	0.884	0.639	0.851	0.997
CDC6	MCM5	3702.O82387	3702.O80786	0	0	0	0	0.736	0.926	0.760	0.887	0.999
CDC6	ORC3	3702.O82387	3702.Q6E7H0	0	0	0	0	0.062	0.926	0.765	0.921	0.998
CDC6	ORC5	3702.O82387	3702.Q6EWX0	0	0	0	0	0.083	0.926	0.765	0.941	0.998
CDC6	ORC2	3702.O82387	3702.Q38899	0	0	0	0	0.242	0.926	0.760	0.891	0.998
CDC6	CDT1B	3702.O82387	3702.Q9M1S9	0	0	0	0	0.736	0.884	0.639	0.907	0.998
CDC6	CDT1A	3702.O82387	3702.Q9SJW9	0	0	0	0	0.740	0.884	0.639	0.945	0.999
CDC6	MCM7	3702.O82387	3702.P43299	0	0	0	0	0.758	0.926	0.757	0.833	0.999
CDC6	MCM4	3702.O82387	3702.Q0WVF5	0	0	0	0	0.787	0.926	0.765	0.888	0.999
CDC6	MCM3	3702.O82387	3702.Q9FL33	0	0	0	0	0.738	0.926	0.760	0.902	0.999
CDT1A	MCM6	3702.Q9SJW9	3702.F4KAB8	0	0	0	0	0.726	0.884	0.626	0.411	0.992
CDT1A	MCM5	3702.Q9SJW9	3702.O80786	0	0	0	0	0.907	0.926	0.754	0.625	0.999
CDT1A	CDC6	3702.Q9SJW9	3702.O82387	0	0	0	0	0.740	0.884	0.639	0.945	0.999
CDT1A	MCM7	3702.Q9SJW9	3702.P43299	0	0	0	0	0.887	0.926	0.748	0.479	0.998
CDT1A	MCM4	3702.Q9SJW9	3702.Q0WVF5	0	0	0	0	0.849	0.926	0.753	0.636	0.998
CDT1A	ORC2	3702.Q9SJW9	3702.Q38899	0	0	0	0	0.517	0.926	0.754	0.884	0.998
CDT1A	ORC3	3702.Q9SJW9	3702.Q6E7H0	0	0	0	0	0.097	0.925	0.765	0.886	0.997
CDT1A	ORC5	3702.Q9SJW9	3702.Q6EWX0	0	0	0	0	0.126	0.925	0.765	0.800	0.996
CDT1A	MCM3	3702.Q9SJW9	3702.Q9FL33	0	0	0	0	0.874	0.925	0.754	0.682	0.999
CDT1B	MCM6	3702.Q9M1S9	3702.F4KAB8	0	0	0	0	0.696	0.884	0.626	0.411	0.991
CDT1B	MCM5	3702.Q9M1S9	3702.O80786	0	0	0	0	0.884	0.926	0.754	0.693	0.999
CDT1B	CDC6	3702.Q9M1S9	3702.O82387	0	0	0	0	0.736	0.884	0.639	0.907	0.998
CDT1B	MCM7	3702.Q9M1S9	3702.P43299	0	0	0	0	0.853	0.926	0.748	0.479	0.998
CDT1B	MCM4	3702.Q9M1S9	3702.Q0WVF5	0	0	0	0	0.842	0.926	0.753	0.498	0.998
CDT1B	ORC2	3702.Q9M1S9	3702.Q38899	0	0	0	0	0.380	0.926	0.754	0.881	0.998
CDT1B	ORC3	3702.Q9M1S9	3702.Q6E7H0	0	0	0	0	0.070	0.925	0.765	0.781	0.995
CDT1B	ORC5	3702.Q9M1S9	3702.Q6EWX0	0	0	0	0	0.126	0.925	0.765	0.782	0.996
CDT1B	MCM3	3702.Q9M1S9	3702.Q9FL33	0	0	0	0	0.845	0.925	0.754	0.479	0.998
MCM3	MCM6	3702.Q9FL33	3702.F4KAB8	0	0	0	0.749	0.918	0.938	0.975	0.599	0.999
MCM3	MCM5	3702.Q9FL33	3702.O80786	0	0	0.105	0.784	0.999	0.995	0.993	0.715	0.999
MCM3	CDC6	3702.Q9FL33	3702.O82387	0	0	0	0	0.738	0.926	0.760	0.902	0.999
MCM3	MCM7	3702.Q9FL33	3702.P43299	0	0	0.092	0.800	0.992	0.991	0.993	0.598	0.999
MCM3	MCM4	3702.Q9FL33	3702.Q0WVF5	0	0	0.119	0.768	0.998	0.991	0.993	0.619	0.999
MCM3	ORC2	3702.Q9FL33	3702.Q38899	0	0	0	0	0.620	0.991	0.932	0.876	0.999
MCM3	ORC3	3702.Q9FL33	3702.Q6E7H0	0	0	0	0	0.126	0.814	0.919	0.867	0.998
MCM3	ORC5	3702.Q9FL33	3702.Q6EWX0	0	0	0	0	0.623	0.955	0.928	0.909	0.999
MCM3	CDT1B	3702.Q9FL33	3702.Q9M1S9	0	0	0	0	0.845	0.925	0.754	0.479	0.998
MCM3	CDT1A	3702.Q9FL33	3702.Q9SJW9	0	0	0	0	0.874	0.925	0.754	0.682	0.999
MCM4	MCM6	3702.Q0WVF5	3702.F4KAB8	0	0	0.079	0.772	0.905	0.979	0.975	0.755	0.999
MCM4	MCM5	3702.Q0WVF5	3702.O80786	0	0	0.101	0.785	0.961	0.991	0.993	0.611	0.999
MCM4	CDC6	3702.Q0WVF5	3702.O82387	0	0	0	0	0.787	0.926	0.765	0.888	0.999
MCM4	MCM7	3702.Q0WVF5	3702.P43299	0	0	0.095	0.791	0.944	0.995	0.993	0.602	0.999
MCM4	CDT1A	3702.Q0WVF5	3702.Q9SJW9	0	0	0	0	0.849	0.926	0.753	0.636	0.998
MCM4	CDT1B	3702.Q0WVF5	3702.Q9M1S9	0	0	0	0	0.842	0.926	0.753	0.498	0.998
MCM4	ORC3	3702.Q0WVF5	3702.Q6E7H0	0	0	0	0	0.088	0.942	0.918	0.742	0.998
MCM4	MCM3	3702.Q0WVF5	3702.Q9FL33	0	0	0.119	0.768	0.998	0.991	0.993	0.619	0.999
MCM4	ORC2	3702.Q0WVF5	3702.Q38899	0	0	0	0	0.365	0.949	0.936	0.880	0.999
MCM4	ORC5	3702.Q0WVF5	3702.Q6EWX0	0	0	0	0	0.274	0.928	0.927	0.912	0.999
MCM5	MCM6	3702.O80786	3702.F4KAB8	0	0	0	0.776	0.901	0.969	0.975	0.586	0.999
