#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
F24L7.7	RPL40A	3702.O48838	3702.B9DHA6	0	0	0	0	0.094	0.526	0.387	0.157	0.748
F24L7.7	UBC22	3702.O48838	3702.Q9FF66	0	0	0	0.754	0	0.051	0.464	0	0.469
F24L7.7	FAD4L2	3702.O48838	3702.O81006	0	0	0	0	0	0.260	0.308	0.077	0.486
F24L7.7	RPS27AC	3702.O48838	3702.P59233	0	0	0	0	0	0.447	0.331	0.099	0.637
F24L7.7	RPS27AB	3702.O48838	3702.P59232	0	0	0	0	0	0.447	0.331	0.099	0.637
F24L7.7	RPS27AA	3702.O48838	3702.P59271	0	0	0	0	0	0.447	0.331	0.099	0.637
F24L7.7	RPL40B	3702.O48838	3702.Q42202	0	0	0	0	0.094	0.526	0.387	0.157	0.748
FAD4L2	RPL40A	3702.O81006	3702.B9DHA6	0	0	0	0	0	0.630	0.327	0.058	0.744
FAD4L2	F24L7.7	3702.O81006	3702.O48838	0	0	0	0	0	0.260	0.308	0.077	0.486
FAD4L2	UBC9	3702.O81006	3702.P35132	0	0	0	0	0	0.260	0.308	0.077	0.486
FAD4L2	UBC10	3702.O81006	3702.P35133	0	0	0	0	0	0.260	0.308	0.077	0.486
FAD4L2	UBC8	3702.O81006	3702.P35131	0	0	0	0	0	0.260	0.308	0.077	0.486
FAD4L2	UBC22	3702.O81006	3702.Q9FF66	0	0	0	0	0	0.183	0.332	0.206	0.528
FAD4L2	RPL40B	3702.O81006	3702.Q42202	0	0	0	0	0	0.630	0.327	0.058	0.744
FAD4L2	RPS27AB	3702.O81006	3702.P59232	0	0	0	0	0	0.602	0.360	0.177	0.772
FAD4L2	RPS27AC	3702.O81006	3702.P59233	0	0	0	0	0	0.602	0.360	0.177	0.772
FAD4L2	RPS27AA	3702.O81006	3702.P59271	0	0	0	0	0	0.602	0.360	0.177	0.772
