#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDKA-1	CDKB2-1	3702.P24100	3702.Q8LF80	0	0	0.063	0.954	0	0.450	0	0.082	0.485
CDKA-1	FBL17	3702.P24100	3702.Q8W104	0	0	0	0	0.045	0	0	0.891	0.891
CDKA-1	KRP4	3702.P24100	3702.Q8GYJ3	0	0	0	0	0	0.781	0	0.739	0.940
CDKA-1	KRP3	3702.P24100	3702.Q9FKB5	0	0	0	0	0	0.783	0	0.833	0.962
CDKA-1	KRP5	3702.P24100	3702.Q9LRY0	0	0	0	0	0	0.779	0	0.846	0.964
CDKA-1	KRP2	3702.P24100	3702.Q9SCR2	0	0	0	0	0	0.837	0	0.880	0.979
CDKA-1	RBR1	3702.P24100	3702.Q9LKZ3	0	0	0	0	0.064	0.619	0.551	0.950	0.991
CDKA-1	CYCD2-1	3702.P24100	3702.P42752	0	0	0	0	0.094	0.839	0.303	0.952	0.994
CDKA-1	CYCD3-1	3702.P24100	3702.P42753	0	0	0	0	0.094	0.878	0.303	0.979	0.998
CDKB1-2	CYCD2-1	3702.Q2V419	3702.P42752	0	0	0	0	0.094	0.289	0.303	0.809	0.903
CDKB1-2	CYCD3-1	3702.Q2V419	3702.P42753	0	0	0	0	0.139	0.289	0.303	0.867	0.935
CDKB1-2	FBL17	3702.Q2V419	3702.Q8W104	0	0	0	0	0.060	0	0	0.547	0.555
CDKB1-2	CDKB2-1	3702.Q2V419	3702.Q8LF80	0	0	0.058	0.965	0.523	0.230	0	0.063	0.632
CDKB1-2	KRP3	3702.Q2V419	3702.Q9FKB5	0	0	0	0	0.062	0.230	0	0.717	0.777
CDKB1-2	KRP4	3702.Q2V419	3702.Q8GYJ3	0	0	0	0	0	0.230	0	0.739	0.790
CDKB1-2	KRP2	3702.Q2V419	3702.Q9SCR2	0	0	0	0	0	0.230	0	0.776	0.820
CDKB1-2	KRP5	3702.Q2V419	3702.Q9LRY0	0	0	0	0	0	0.230	0	0.851	0.880
CDKB1-2	RBR1	3702.Q2V419	3702.Q9LKZ3	0	0	0	0	0.064	0.526	0.551	0.895	0.976
CDKB2-1	CDKA-1	3702.Q8LF80	3702.P24100	0	0	0.063	0.954	0	0.450	0	0.082	0.485
CDKB2-1	CYCD2-1	3702.Q8LF80	3702.P42752	0	0	0	0	0.094	0.610	0.303	0.810	0.947
CDKB2-1	CYCD3-1	3702.Q8LF80	3702.P42753	0	0	0	0	0.277	0.475	0.303	0.878	0.963
CDKB2-1	CDKB1-2	3702.Q8LF80	3702.Q2V419	0	0	0.058	0.965	0.523	0.230	0	0.063	0.632
CDKB2-1	KRP4	3702.Q8LF80	3702.Q8GYJ3	0	0	0	0	0	0.230	0	0.740	0.791
CDKB2-1	FBL17	3702.Q8LF80	3702.Q8W104	0	0	0	0	0.053	0	0	0.540	0.545
CDKB2-1	KRP3	3702.Q8LF80	3702.Q9FKB5	0	0	0	0	0.063	0	0	0.757	0.762
CDKB2-1	KRP2	3702.Q8LF80	3702.Q9SCR2	0	0	0	0	0	0.230	0	0.780	0.823
CDKB2-1	KRP5	3702.Q8LF80	3702.Q9LRY0	0	0	0	0	0	0	0	0.840	0.840
CDKB2-1	RBR1	3702.Q8LF80	3702.Q9LKZ3	0	0	0	0	0.067	0.526	0.551	0.867	0.970
CYCD2-1	CDKA-1	3702.P42752	3702.P24100	0	0	0	0	0.094	0.839	0.303	0.952	0.994
CYCD2-1	KRP5	3702.P42752	3702.Q9LRY0	0	0	0	0	0	0.621	0	0.492	0.799
CYCD2-1	KRP4	3702.P42752	3702.Q8GYJ3	0	0	0	0	0	0.621	0	0.574	0.831
CYCD2-1	KRP3	3702.P42752	3702.Q9FKB5	0	0	0	0	0	0.621	0	0.716	0.887
CYCD2-1	CDKB1-2	3702.P42752	3702.Q2V419	0	0	0	0	0.094	0.289	0.303	0.809	0.903
CYCD2-1	KRP2	3702.P42752	3702.Q9SCR2	0	0	0	0	0	0.497	0	0.882	0.938
CYCD2-1	CDKB2-1	3702.P42752	3702.Q8LF80	0	0	0	0	0.094	0.610	0.303	0.810	0.947
CYCD2-1	RBR1	3702.P42752	3702.Q9LKZ3	0	0	0	0	0	0.610	0.505	0.900	0.979
CYCD3-1	CDKA-1	3702.P42753	3702.P24100	0	0	0	0	0.094	0.878	0.303	0.979	0.998
CYCD3-1	KRP4	3702.P42753	3702.Q8GYJ3	0	0	0	0	0	0.230	0	0.456	0.563
CYCD3-1	KRP3	3702.P42753	3702.Q9FKB5	0	0	0	0	0.057	0.230	0	0.598	0.682
CYCD3-1	KRP2	3702.P42753	3702.Q9SCR2	0	0	0	0	0	0.450	0	0.737	0.849
CYCD3-1	CDKB1-2	3702.P42753	3702.Q2V419	0	0	0	0	0.139	0.289	0.303	0.867	0.935
CYCD3-1	CDKB2-1	3702.P42753	3702.Q8LF80	0	0	0	0	0.277	0.475	0.303	0.878	0.963
CYCD3-1	RBR1	3702.P42753	3702.Q9LKZ3	0	0	0	0	0.044	0.610	0.505	0.885	0.976
FBL17	CDKA-1	3702.Q8W104	3702.P24100	0	0	0	0	0.045	0	0	0.891	0.891
FBL17	CDKB1-2	3702.Q8W104	3702.Q2V419	0	0	0	0	0.060	0	0	0.547	0.555
FBL17	KRP4	3702.Q8W104	3702.Q8GYJ3	0	0	0	0	0	0.230	0	0.794	0.834
FBL17	CDKB2-1	3702.Q8W104	3702.Q8LF80	0	0	0	0	0.053	0	0	0.540	0.545
FBL17	KRP5	3702.Q8W104	3702.Q9LRY0	0	0	0	0	0	0	0	0.666	0.666
FBL17	KRP3	3702.Q8W104	3702.Q9FKB5	0	0	0	0	0	0	0	0.718	0.718
FBL17	KRP2	3702.Q8W104	3702.Q9SCR2	0	0	0	0	0	0	0	0.785	0.785
FBL17	RBR1	3702.Q8W104	3702.Q9LKZ3	0	0	0	0	0.058	0	0	0.794	0.797
KRP2	CDKA-1	3702.Q9SCR2	3702.P24100	0	0	0	0	0	0.837	0	0.880	0.979
KRP2	CYCD2-1	3702.Q9SCR2	3702.P42752	0	0	0	0	0	0.497	0	0.882	0.938
KRP2	CYCD3-1	3702.Q9SCR2	3702.P42753	0	0	0	0	0	0.450	0	0.737	0.849
