#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATR	CDKA-1	3702.Q9FKS4	3702.P24100	0	0	0	0	0	0.599	0.425	0.615	0.903
ATR	CYCB1-1	3702.Q9FKS4	3702.P30183	0	0	0	0	0	0.509	0	0.801	0.898
ATR	CYCB1-2	3702.Q9FKS4	3702.Q39067	0	0	0	0	0	0.509	0	0.430	0.708
ATR	CYCB1-3	3702.Q9FKS4	3702.Q39069	0	0	0	0	0	0.509	0	0.209	0.595
ATR	SOG1	3702.Q9FKS4	3702.Q6NQK2	0	0	0	0	0.081	0	0	0.926	0.929
ATR	CDC25	3702.Q9FKS4	3702.Q8GY31	0	0	0	0	0	0.275	0.593	0.527	0.848
ATR	WEE1	3702.Q9FKS4	3702.Q8L4H0	0	0	0	0	0	0.331	0	0.913	0.939
ATR	F16M2.180	3702.Q9FKS4	3702.Q8RXY0	0	0	0	0	0	0.977	0	0.516	0.988
CDC25	CDKA-1	3702.Q8GY31	3702.P24100	0	0	0	0	0.062	0.622	0.563	0.900	0.982
CDC25	CYCB1-1	3702.Q8GY31	3702.P30183	0	0	0	0	0.105	0.229	0.512	0.665	0.872
CDC25	CYCA2-3	3702.Q8GY31	3702.Q38819	0	0	0	0	0.116	0.050	0.481	0.471	0.738
CDC25	CYCB1-2	3702.Q8GY31	3702.Q39067	0	0	0	0	0.105	0.229	0.512	0.590	0.843
CDC25	CYCB1-3	3702.Q8GY31	3702.Q39069	0	0	0	0	0.105	0.229	0.512	0.340	0.748
CDC25	CYCA1-1	3702.Q8GY31	3702.Q9C6Y3	0	0	0	0	0.116	0.050	0.481	0.417	0.712
CDC25	ATR	3702.Q8GY31	3702.Q9FKS4	0	0	0	0	0	0.275	0.593	0.527	0.848
CDC25	WEE1	3702.Q8GY31	3702.Q8L4H0	0	0	0	0	0.080	0.884	0.085	0.967	0.996
CDC25	F16M2.180	3702.Q8GY31	3702.Q8RXY0	0	0	0	0	0.121	0.897	0.936	0.428	0.996
CDKA-1	F16M2.180	3702.P24100	3702.Q8RXY0	0	0	0	0	0.049	0.526	0	0.157	0.586
CDKA-1	SOG1	3702.P24100	3702.Q6NQK2	0	0	0	0	0.054	0	0	0.651	0.655
CDKA-1	CYCB1-3	3702.P24100	3702.Q39069	0	0	0	0	0.273	0.363	0.300	0.634	0.865
CDKA-1	ATR	3702.P24100	3702.Q9FKS4	0	0	0	0	0	0.599	0.425	0.615	0.903
CDKA-1	CYCA1-1	3702.P24100	3702.Q9C6Y3	0	0	0	0	0.245	0.425	0.306	0.828	0.941
CDKA-1	CYCB1-2	3702.P24100	3702.Q39067	0	0	0	0	0.273	0.634	0.300	0.802	0.958
CDKA-1	CYCB1-1	3702.P24100	3702.P30183	0	0	0	0	0.273	0.488	0.300	0.901	0.970
CDKA-1	WEE1	3702.P24100	3702.Q8L4H0	0	0	0	0.594	0.112	0.845	0.442	0.711	0.974
CDKA-1	CYCA2-3	3702.P24100	3702.Q38819	0	0	0	0	0.245	0.607	0.306	0.909	0.978
CDKA-1	CDC25	3702.P24100	3702.Q8GY31	0	0	0	0	0.062	0.622	0.563	0.900	0.982
CYCA1-1	CDKA-1	3702.Q9C6Y3	3702.P24100	0	0	0	0	0.245	0.425	0.306	0.828	0.941
CYCA1-1	CYCB1-1	3702.Q9C6Y3	3702.P30183	0	0	0.150	0.774	0.473	0.176	0.150	0.678	0.880
CYCA1-1	CYCB1-2	3702.Q9C6Y3	3702.Q39067	0	0	0.159	0.756	0.471	0.176	0.150	0.251	0.724
CYCA1-1	CYCB1-3	3702.Q9C6Y3	3702.Q39069	0	0	0.159	0.758	0.585	0.176	0.150	0.263	0.787
CYCA1-1	CDC25	3702.Q9C6Y3	3702.Q8GY31	0	0	0	0	0.116	0.050	0.481	0.417	0.712
CYCA1-1	WEE1	3702.Q9C6Y3	3702.Q8L4H0	0	0	0	0	0.253	0.216	0.395	0.826	0.930
CYCA2-3	CDKA-1	3702.Q38819	3702.P24100	0	0	0	0	0.245	0.607	0.306	0.909	0.978
CYCA2-3	CYCB1-1	3702.Q38819	3702.P30183	0	0	0.178	0.712	0.346	0.176	0.150	0.302	0.689
CYCA2-3	CYCB1-3	3702.Q38819	3702.Q39069	0	0	0.169	0.733	0.317	0.176	0.150	0.222	0.635
CYCA2-3	CYCB1-2	3702.Q38819	3702.Q39067	0	0	0.169	0.732	0.318	0.176	0.150	0.279	0.662
CYCA2-3	CDC25	3702.Q38819	3702.Q8GY31	0	0	0	0	0.116	0.050	0.481	0.471	0.738
CYCA2-3	WEE1	3702.Q38819	3702.Q8L4H0	0	0	0	0	0.266	0.216	0.395	0.820	0.929
CYCB1-1	CDKA-1	3702.P30183	3702.P24100	0	0	0	0	0.273	0.488	0.300	0.901	0.970
CYCB1-1	F16M2.180	3702.P30183	3702.Q8RXY0	0	0	0	0	0.067	0.363	0	0.212	0.490
CYCB1-1	CYCA2-3	3702.P30183	3702.Q38819	0	0	0.178	0.712	0.346	0.176	0.150	0.302	0.689
CYCB1-1	SOG1	3702.P30183	3702.Q6NQK2	0	0	0	0	0.080	0	0	0.795	0.803
CYCB1-1	CDC25	3702.P30183	3702.Q8GY31	0	0	0	0	0.105	0.229	0.512	0.665	0.872
CYCB1-1	CYCA1-1	3702.P30183	3702.Q9C6Y3	0	0	0.150	0.774	0.473	0.176	0.150	0.678	0.880
CYCB1-1	ATR	3702.P30183	3702.Q9FKS4	0	0	0	0	0	0.509	0	0.801	0.898
CYCB1-1	WEE1	3702.P30183	3702.Q8L4H0	0	0	0	0	0.222	0.508	0.413	0.829	0.956
CYCB1-2	CDKA-1	3702.Q39067	3702.P24100	0	0	0	0	0.273	0.634	0.300	0.802	0.958
CYCB1-2	CYCA2-3	3702.Q39067	3702.Q38819	0	0	0.169	0.732	0.318	0.176	0.150	0.279	0.662
