#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BHLH54	F24O1.44	3702.Q8LEG1	3702.O48807	0	0	0	0	0	0	0	0.541	0.541
DUF1	F24O1.44	3702.Q9ZVT1	3702.O48807	0	0	0	0	0	0	0	0.549	0.549
DUF1	TBR	3702.Q9ZVT1	3702.Q9FG35	0	0	0	0	0	0.057	0	0.755	0.759
DUF6	F24O1.44	3702.O22897	3702.O48807	0	0	0	0	0	0	0	0.514	0.514
DUF6	TBR	3702.O22897	3702.Q9FG35	0	0	0	0	0	0.057	0	0.718	0.722
F24O1.44	DUF6	3702.O48807	3702.O22897	0	0	0	0	0	0	0	0.514	0.514
F24O1.44	K18I23.5	3702.O48807	3702.Q9FLC9	0	0	0	0	0	0	0	0.493	0.493
F24O1.44	TBR	3702.O48807	3702.Q9FG35	0	0	0	0	0	0	0	0.540	0.540
F24O1.44	BHLH54	3702.O48807	3702.Q8LEG1	0	0	0	0	0	0	0	0.541	0.541
F24O1.44	DUF1	3702.O48807	3702.Q9ZVT1	0	0	0	0	0	0	0	0.549	0.549
F24O1.44	RABD2C	3702.O48807	3702.Q9SEH3	0	0	0	0	0	0	0	0.790	0.790
K18I23.5	F24O1.44	3702.Q9FLC9	3702.O48807	0	0	0	0	0	0	0	0.493	0.493
RABD2C	F24O1.44	3702.Q9SEH3	3702.O48807	0	0	0	0	0	0	0	0.790	0.790
TBR	DUF6	3702.Q9FG35	3702.O22897	0	0	0	0	0	0.057	0	0.718	0.722
TBR	F24O1.44	3702.Q9FG35	3702.O48807	0	0	0	0	0	0	0	0.540	0.540
TBR	DUF1	3702.Q9FG35	3702.Q9ZVT1	0	0	0	0	0	0.057	0	0.755	0.759
