#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ASHH1	HTR4	3702.Q84WW6	3702.P59169	0	0.032	0	0	0.050	0.618	0.391	0.770	0.942
ASHH1	HTR2	3702.Q84WW6	3702.P59226	0	0.032	0	0	0.050	0.618	0.391	0.771	0.942
ASHH1	ASHR3	3702.Q84WW6	3702.Q949T8	0	0	0.147	0.661	0.154	0	0	0.330	0.474
ASHH1	ATXR6	3702.Q84WW6	3702.Q9FNE9	0	0	0	0	0.272	0	0	0.814	0.859
ASHH1	HTR11	3702.Q84WW6	3702.Q9FKQ3	0	0.031	0	0	0.050	0.618	0.391	0.771	0.942
ASHH1	F10A5.19	3702.Q84WW6	3702.Q9LR02	0	0.031	0	0	0.050	0.618	0.391	0.771	0.942
ASHH1	MGH3	3702.Q84WW6	3702.Q9FXI7	0	0.032	0	0	0.050	0.618	0.391	0.770	0.942
ASHH1	T24H18.80	3702.Q84WW6	3702.Q9LXU8	0	0.028	0	0	0.050	0.618	0.391	0.771	0.942
ASHH1	HTR12	3702.Q84WW6	3702.Q8RVQ9	0	0	0	0	0.050	0.618	0.391	0.770	0.942
ASHH1	T6J4.12	3702.Q84WW6	3702.Q9FX60	0	0.031	0	0	0.050	0.618	0.391	0.771	0.942
ASHR3	HTR4	3702.Q949T8	3702.P59169	0	0	0	0	0.051	0.239	0.181	0.702	0.800
ASHR3	HTR2	3702.Q949T8	3702.P59226	0	0	0	0	0.107	0.239	0.181	0.702	0.812
ASHR3	ASHH1	3702.Q949T8	3702.Q84WW6	0	0	0.147	0.661	0.154	0	0	0.330	0.474
ASHR3	HTR12	3702.Q949T8	3702.Q8RVQ9	0	0	0	0	0.107	0.239	0.181	0.687	0.802
ASHR3	F10A5.19	3702.Q949T8	3702.Q9LR02	0	0	0	0	0.051	0.239	0.181	0.704	0.801
ASHR3	T6J4.12	3702.Q949T8	3702.Q9FX60	0	0	0	0	0.051	0.239	0.181	0.704	0.801
ASHR3	HTR11	3702.Q949T8	3702.Q9FKQ3	0	0	0	0	0.055	0.239	0.181	0.704	0.802
ASHR3	T24H18.80	3702.Q949T8	3702.Q9LXU8	0	0	0	0	0.054	0.239	0.181	0.705	0.803
ASHR3	MGH3	3702.Q949T8	3702.Q9FXI7	0	0	0	0	0.066	0.239	0.181	0.716	0.813
ASHR3	ATXR6	3702.Q949T8	3702.Q9FNE9	0	0	0	0	0.112	0	0.060	0.802	0.820
ATXR6	HTR4	3702.Q9FNE9	3702.P59169	0	0	0	0	0.050	0.636	0.181	0.795	0.934
ATXR6	HTR2	3702.Q9FNE9	3702.P59226	0	0	0	0	0.107	0.636	0.181	0.796	0.938
ATXR6	ASHH1	3702.Q9FNE9	3702.Q84WW6	0	0	0	0	0.272	0	0	0.814	0.859
ATXR6	HTR12	3702.Q9FNE9	3702.Q8RVQ9	0	0	0	0	0.090	0.431	0.181	0.796	0.901
ATXR6	ASHR3	3702.Q9FNE9	3702.Q949T8	0	0	0	0	0.112	0	0.060	0.802	0.820
ATXR6	HTR11	3702.Q9FNE9	3702.Q9FKQ3	0	0	0	0	0.062	0.507	0.181	0.790	0.909
ATXR6	T6J4.12	3702.Q9FNE9	3702.Q9FX60	0	0	0	0	0.050	0.507	0.181	0.790	0.908
ATXR6	MGH3	3702.Q9FNE9	3702.Q9FXI7	0	0	0	0	0.050	0.507	0.181	0.790	0.908
ATXR6	F10A5.19	3702.Q9FNE9	3702.Q9LR02	0	0	0	0	0.050	0.507	0.181	0.790	0.908
ATXR6	T24H18.80	3702.Q9FNE9	3702.Q9LXU8	0	0	0	0	0.056	0.507	0.181	0.790	0.909
F10A5.19	ASHH1	3702.Q9LR02	3702.Q84WW6	0	0.031	0	0	0.050	0.618	0.391	0.771	0.942
