#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDKA-1	CDKB2-1	3702.P24100	3702.Q8LF80	0	0	0.063	0.954	0	0.450	0	0.082	0.485
CDKA-1	DPB	3702.P24100	3702.Q9FNY2	0	0	0	0	0	0.253	0.419	0.583	0.803
CDKA-1	DPA	3702.P24100	3702.Q9FNY3	0	0	0	0	0.044	0.070	0.419	0.758	0.858
CDKA-1	E2FA	3702.P24100	3702.Q9FNY0	0	0	0	0	0	0.335	0.423	0.852	0.938
CDKA-1	CYCA2-1	3702.P24100	3702.Q39071	0	0	0	0	0.245	0.425	0.306	0.830	0.942
CDKA-1	CYCA2-3	3702.P24100	3702.Q38819	0	0	0	0	0.245	0.607	0.306	0.909	0.978
CDKA-1	RBR1	3702.P24100	3702.Q9LKZ3	0	0	0	0	0.064	0.619	0.551	0.950	0.991
CDKA-1	CYCD3-1	3702.P24100	3702.P42753	0	0	0	0	0.094	0.878	0.303	0.979	0.998
CDKB1-1	CDKB2-1	3702.P25859	3702.Q8LF80	0	0	0.057	0.967	0.413	0.230	0	0.065	0.548
CDKB1-1	DPB	3702.P25859	3702.Q9FNY2	0	0	0	0	0	0.070	0.419	0.517	0.716
CDKB1-1	DPA	3702.P25859	3702.Q9FNY3	0	0	0	0	0	0.070	0.419	0.694	0.820
CDKB1-1	E2FA	3702.P25859	3702.Q9FNY0	0	0	0	0	0.044	0.172	0.423	0.850	0.922
CDKB1-1	CYCD3-1	3702.P25859	3702.P42753	0	0	0	0	0.147	0.289	0.303	0.923	0.963
CDKB1-1	CYCA2-1	3702.P25859	3702.Q39071	0	0	0	0	0.262	0.569	0.306	0.901	0.975
CDKB1-1	RBR1	3702.P25859	3702.Q9LKZ3	0	0	0	0	0.064	0.607	0.551	0.939	0.988
CDKB1-1	CYCA2-3	3702.P25859	3702.Q38819	0	0	0	0	0.282	0.797	0.306	0.978	0.997
CDKB1-2	CYCD3-1	3702.Q2V419	3702.P42753	0	0	0	0	0.139	0.289	0.303	0.867	0.935
CDKB1-2	DPB	3702.Q2V419	3702.Q9FNY2	0	0	0	0	0	0.070	0.419	0.176	0.516
CDKB1-2	DPA	3702.Q2V419	3702.Q9FNY3	0	0	0	0	0	0.070	0.419	0.346	0.616
CDKB1-2	CDKB2-1	3702.Q2V419	3702.Q8LF80	0	0	0.058	0.965	0.523	0.230	0	0.063	0.632
CDKB1-2	E2FA	3702.Q2V419	3702.Q9FNY0	0	0	0	0	0.052	0.335	0.423	0.817	0.924
CDKB1-2	CYCA2-1	3702.Q2V419	3702.Q39071	0	0	0	0	0.267	0.425	0.306	0.896	0.965
CDKB1-2	CYCA2-3	3702.Q2V419	3702.Q38819	0	0	0	0	0.282	0.425	0.306	0.910	0.971
CDKB1-2	RBR1	3702.Q2V419	3702.Q9LKZ3	0	0	0	0	0.064	0.526	0.551	0.895	0.976
CDKB2-1	CDKA-1	3702.Q8LF80	3702.P24100	0	0	0.063	0.954	0	0.450	0	0.082	0.485
CDKB2-1	CDKB1-1	3702.Q8LF80	3702.P25859	0	0	0.057	0.967	0.413	0.230	0	0.065	0.548
CDKB2-1	CYCD3-1	3702.Q8LF80	3702.P42753	0	0	0	0	0.277	0.475	0.303	0.878	0.963
CDKB2-1	CDKB1-2	3702.Q8LF80	3702.Q2V419	0	0	0.058	0.965	0.523	0.230	0	0.063	0.632
CDKB2-1	CYCA2-3	3702.Q8LF80	3702.Q38819	0	0	0	0	0.337	0.425	0.306	0.906	0.972
CDKB2-1	CYCA2-1	3702.Q8LF80	3702.Q39071	0	0	0	0	0.268	0.425	0.306	0.912	0.971
CDKB2-1	DPB	3702.Q8LF80	3702.Q9FNY2	0	0	0	0	0	0.253	0.419	0.207	0.625
CDKB2-1	DPA	3702.Q8LF80	3702.Q9FNY3	0	0	0	0	0	0.070	0.419	0.413	0.655
CDKB2-1	E2FA	3702.Q8LF80	3702.Q9FNY0	0	0	0	0	0.052	0.172	0.423	0.821	0.908
CDKB2-1	RBR1	3702.Q8LF80	3702.Q9LKZ3	0	0	0	0	0.067	0.526	0.551	0.867	0.970
CYCA2-1	CDKA-1	3702.Q39071	3702.P24100	0	0	0	0	0.245	0.425	0.306	0.830	0.942
CYCA2-1	CDKB1-1	3702.Q39071	3702.P25859	0	0	0	0	0.262	0.569	0.306	0.901	0.975
CYCA2-1	CYCD3-1	3702.Q39071	3702.P42753	0	0	0	0	0.121	0	0	0.797	0.814
CYCA2-1	CDKB1-2	3702.Q39071	3702.Q2V419	0	0	0	0	0.267	0.425	0.306	0.896	0.965
CYCA2-1	DPA	3702.Q39071	3702.Q9FNY3	0	0	0	0	0.064	0	0.394	0.081	0.433
CYCA2-1	DPB	3702.Q39071	3702.Q9FNY2	0	0	0	0	0.064	0	0.394	0.081	0.433
CYCA2-1	RBR1	3702.Q39071	3702.Q9LKZ3	0	0	0	0	0.081	0.235	0.462	0.556	0.809
CYCA2-1	E2FA	3702.Q39071	3702.Q9FNY0	0	0	0	0	0	0.255	0.415	0.765	0.889
CYCA2-1	CDKB2-1	3702.Q39071	3702.Q8LF80	0	0	0	0	0.268	0.425	0.306	0.912	0.971
CYCA2-3	CDKA-1	3702.Q38819	3702.P24100	0	0	0	0	0.245	0.607	0.306	0.909	0.978
CYCA2-3	CDKB1-1	3702.Q38819	3702.P25859	0	0	0	0	0.282	0.797	0.306	0.978	0.997
CYCA2-3	CYCD3-1	3702.Q38819	3702.P42753	0	0	0	0	0.235	0	0	0.807	0.846
CYCA2-3	CDKB1-2	3702.Q38819	3702.Q2V419	0	0	0	0	0.282	0.425	0.306	0.910	0.971
CYCA2-3	DPB	3702.Q38819	3702.Q9FNY2	0	0	0	0	0.064	0	0.394	0.081	0.433
CYCA2-3	DPA	3702.Q38819	3702.Q9FNY3	0	0	0	0	0.064	0	0.394	0.309	0.573
CYCA2-3	E2FA	3702.Q38819	3702.Q9FNY0	0	0	0	0	0	0.255	0.415	0.783	0.897
CYCA2-3	RBR1	3702.Q38819	3702.Q9LKZ3	0	0	0	0	0.081	0.235	0.462	0.830	0.927
CYCA2-3	CDKB2-1	3702.Q38819	3702.Q8LF80	0	0	0	0	0.337	0.425	0.306	0.906	0.972
CYCD3-1	CDKA-1	3702.P42753	3702.P24100	0	0	0	0	0.094	0.878	0.303	0.979	0.998
CYCD3-1	CDKB1-1	3702.P42753	3702.P25859	0	0	0	0	0.147	0.289	0.303	0.923	0.963
CYCD3-1	DPB	3702.P42753	3702.Q9FNY2	0	0	0	0	0.062	0	0.381	0.334	0.579
CYCD3-1	DPA	3702.P42753	3702.Q9FNY3	0	0	0	0	0.062	0	0.381	0.593	0.743
CYCD3-1	CYCA2-1	3702.P42753	3702.Q39071	0	0	0	0	0.121	0	0	0.797	0.814
CYCD3-1	CYCA2-3	3702.P42753	3702.Q38819	0	0	0	0	0.235	0	0	0.807	0.846
CYCD3-1	CDKB1-2	3702.P42753	3702.Q2V419	0	0	0	0	0.139	0.289	0.303	0.867	0.935
CYCD3-1	E2FA	3702.P42753	3702.Q9FNY0	0	0	0	0	0	0	0.361	0.904	0.936
CYCD3-1	CDKB2-1	3702.P42753	3702.Q8LF80	0	0	0	0	0.277	0.475	0.303	0.878	0.963
CYCD3-1	RBR1	3702.P42753	3702.Q9LKZ3	0	0	0	0	0.044	0.610	0.505	0.885	0.976
DPA	CDKA-1	3702.Q9FNY3	3702.P24100	0	0	0	0	0.044	0.070	0.419	0.758	0.858
DPA	CDKB1-1	3702.Q9FNY3	3702.P25859	0	0	0	0	0	0.070	0.419	0.694	0.820
DPA	CYCD3-1	3702.Q9FNY3	3702.P42753	0	0	0	0	0.062	0	0.381	0.593	0.743
DPA	CDKB1-2	3702.Q9FNY3	3702.Q2V419	0	0	0	0	0	0.070	0.419	0.346	0.616
DPA	CYCA2-3	3702.Q9FNY3	3702.Q38819	0	0	0	0	0.064	0	0.394	0.309	0.573
DPA	CYCA2-1	3702.Q9FNY3	3702.Q39071	0	0	0	0	0.064	0	0.394	0.081	0.433
DPA	CDKB2-1	3702.Q9FNY3	3702.Q8LF80	0	0	0	0	0	0.070	0.419	0.413	0.655
DPA	E2FA	3702.Q9FNY3	3702.Q9FNY0	0	0	0.390	0	0.107	0.966	0.639	0.997	0.999
DPA	DPB	3702.Q9FNY3	3702.Q9FNY2	0	0	0.090	0.901	0.048	0	0.900	0.119	0.913
DPA	RBR1	3702.Q9FNY3	3702.Q9LKZ3	0	0	0	0	0.081	0.955	0.973	0.930	0.999
DPB	CDKA-1	3702.Q9FNY2	3702.P24100	0	0	0	0	0	0.253	0.419	0.583	0.803
DPB	CDKB1-1	3702.Q9FNY2	3702.P25859	0	0	0	0	0	0.070	0.419	0.517	0.716
DPB	CYCD3-1	3702.Q9FNY2	3702.P42753	0	0	0	0	0.062	0	0.381	0.334	0.579
DPB	CDKB1-2	3702.Q9FNY2	3702.Q2V419	0	0	0	0	0	0.070	0.419	0.176	0.516
DPB	CYCA2-3	3702.Q9FNY2	3702.Q38819	0	0	0	0	0.064	0	0.394	0.081	0.433
DPB	CYCA2-1	3702.Q9FNY2	3702.Q39071	0	0	0	0	0.064	0	0.394	0.081	0.433
DPB	CDKB2-1	3702.Q9FNY2	3702.Q8LF80	0	0	0	0	0	0.253	0.419	0.207	0.625
DPB	E2FA	3702.Q9FNY2	3702.Q9FNY0	0	0	0.362	0	0.079	0.966	0.639	0.948	0.999
DPB	DPA	3702.Q9FNY2	3702.Q9FNY3	0	0	0.090	0.901	0.048	0	0.900	0.119	0.913
DPB	RBR1	3702.Q9FNY2	3702.Q9LKZ3	0	0	0	0	0.081	0.940	0.973	0.886	0.999
E2FA	CDKA-1	3702.Q9FNY0	3702.P24100	0	0	0	0	0	0.335	0.423	0.852	0.938
E2FA	CDKB1-1	3702.Q9FNY0	3702.P25859	0	0	0	0	0.044	0.172	0.423	0.850	0.922
E2FA	CYCD3-1	3702.Q9FNY0	3702.P42753	0	0	0	0	0	0	0.361	0.904	0.936
E2FA	CDKB1-2	3702.Q9FNY0	3702.Q2V419	0	0	0	0	0.052	0.335	0.423	0.817	0.924
E2FA	CYCA2-3	3702.Q9FNY0	3702.Q38819	0	0	0	0	0	0.255	0.415	0.783	0.897
E2FA	CYCA2-1	3702.Q9FNY0	3702.Q39071	0	0	0	0	0	0.255	0.415	0.765	0.889
E2FA	CDKB2-1	3702.Q9FNY0	3702.Q8LF80	0	0	0	0	0.052	0.172	0.423	0.821	0.908
E2FA	DPA	3702.Q9FNY0	3702.Q9FNY3	0	0	0.390	0	0.107	0.966	0.639	0.997	0.999
E2FA	RBR1	3702.Q9FNY0	3702.Q9LKZ3	0	0	0	0	0.098	0.976	0.765	0.979	0.999
E2FA	DPB	3702.Q9FNY0	3702.Q9FNY2	0	0	0.362	0	0.079	0.966	0.639	0.948	0.999
