#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALPHA-ADR	CLC2	3702.Q8LPL6	3702.O04209	0	0	0	0	0	0.292	0.540	0.785	0.923
ALPHA-ADR	AP2M	3702.Q8LPL6	3702.O23140	0	0	0	0	0.351	0.972	0.962	0.871	0.999
ALPHA-ADR	BETAC-AD	3702.Q8LPL6	3702.O81742	0	0	0	0.552	0.105	0.884	0.728	0.303	0.977
ALPHA-ADR	CHC2	3702.Q8LPL6	3702.Q0WLB5	0	0	0	0	0.097	0.363	0.822	0.848	0.982
ALPHA-ADR	EPSIN2	3702.Q8LPL6	3702.Q67YI9	0	0	0	0	0.136	0.466	0.738	0.811	0.974
ALPHA-ADR	AP17	3702.Q8LPL6	3702.Q84WL9	0	0	0	0	0.116	0.973	0.975	0.893	0.999
ALPHA-ADR	EPSIN3	3702.Q8LPL6	3702.Q93YP4	0	0	0	0	0.110	0.278	0.738	0.700	0.942
ALPHA-ADR	F12A12.60	3702.Q8LPL6	3702.Q9SNC4	0	0	0	0	0.081	0.278	0.738	0.709	0.942
ALPHA-ADR	EPSIN1	3702.Q8LPL6	3702.Q8VY07	0	0	0	0	0.081	0.466	0.738	0.809	0.972
ALPHA-ADR	BETAB-AD	3702.Q8LPL6	3702.Q9SUS3	0	0	0	0.552	0.107	0.884	0.728	0.550	0.985
AP17	CLC2	3702.Q84WL9	3702.O04209	0	0	0	0	0.054	0	0.360	0.541	0.697
AP17	AP2M	3702.Q84WL9	3702.O23140	0	0	0.243	0	0.348	0.975	0.975	0.888	0.999
AP17	BETAC-AD	3702.Q84WL9	3702.O81742	0	0	0	0	0	0.931	0.759	0.399	0.989
AP17	CHC2	3702.Q84WL9	3702.Q0WLB5	0	0	0	0	0	0.057	0.839	0.835	0.972
AP17	EPSIN2	3702.Q84WL9	3702.Q67YI9	0	0	0	0	0.051	0	0.728	0.177	0.769
AP17	EPSIN3	3702.Q84WL9	3702.Q93YP4	0	0	0	0	0.051	0	0.728	0.177	0.769
AP17	F12A12.60	3702.Q84WL9	3702.Q9SNC4	0	0	0	0	0.051	0	0.728	0.177	0.769
AP17	EPSIN1	3702.Q84WL9	3702.Q8VY07	0	0	0	0	0.051	0	0.728	0.215	0.779
AP17	BETAB-AD	3702.Q84WL9	3702.Q9SUS3	0	0	0	0	0.046	0.947	0.759	0.880	0.998
AP17	ALPHA-ADR	3702.Q84WL9	3702.Q8LPL6	0	0	0	0	0.116	0.973	0.975	0.893	0.999
AP2M	CLC2	3702.O23140	3702.O04209	0	0	0	0	0.083	0	0.360	0.785	0.862
AP2M	F12A12.60	3702.O23140	3702.Q9SNC4	0	0	0	0	0	0.107	0.649	0.122	0.701
AP2M	EPSIN3	3702.O23140	3702.Q93YP4	0	0	0	0	0.072	0.107	0.649	0.122	0.710
AP2M	EPSIN1	3702.O23140	3702.Q8VY07	0	0	0	0	0.082	0.107	0.649	0.122	0.714
AP2M	EPSIN2	3702.O23140	3702.Q67YI9	0	0	0	0	0.079	0.107	0.649	0.339	0.784
AP2M	CHC2	3702.O23140	3702.Q0WLB5	0	0	0	0	0.109	0.311	0.755	0.864	0.976
AP2M	BETAC-AD	3702.O23140	3702.O81742	0	0	0	0	0.138	0.916	0.728	0.394	0.986
AP2M	BETAB-AD	3702.O23140	3702.Q9SUS3	0	0	0	0	0.274	0.938	0.728	0.849	0.997
AP2M	AP17	3702.O23140	3702.Q84WL9	0	0	0.243	0	0.348	0.975	0.975	0.888	0.999
AP2M	ALPHA-ADR	3702.O23140	3702.Q8LPL6	0	0	0	0	0.351	0.972	0.962	0.871	0.999
BETAB-AD	CLC2	3702.Q9SUS3	3702.O04209	0	0	0	0	0.063	0.230	0.360	0.540	0.759
BETAB-AD	AP2M	3702.Q9SUS3	3702.O23140	0	0	0	0	0.274	0.938	0.728	0.849	0.997
BETAB-AD	BETAC-AD	3702.Q9SUS3	3702.O81742	0	0	0.047	0.986	0.105	0	0.360	0.052	0.413
BETAB-AD	CHC2	3702.Q9SUS3	3702.Q0WLB5	0	0	0	0	0.219	0.750	0.727	0.778	0.986
BETAB-AD	EPSIN2	3702.Q9SUS3	3702.Q67YI9	0	0	0	0	0.188	0.258	0.592	0.511	0.864
BETAB-AD	AP17	3702.Q9SUS3	3702.Q84WL9	0	0	0	0	0.046	0.947	0.759	0.880	0.998
BETAB-AD	ALPHA-ADR	3702.Q9SUS3	3702.Q8LPL6	0	0	0	0.552	0.107	0.884	0.728	0.550	0.985
BETAB-AD	EPSIN1	3702.Q9SUS3	3702.Q8VY07	0	0	0	0	0.062	0.258	0.592	0.098	0.709
BETAB-AD	EPSIN3	3702.Q9SUS3	3702.Q93YP4	0	0	0	0	0.050	0.258	0.592	0.098	0.706
BETAB-AD	F12A12.60	3702.Q9SUS3	3702.Q9SNC4	0	0	0	0	0	0.258	0.592	0.098	0.703
BETAC-AD	CLC2	3702.O81742	3702.O04209	0	0	0	0	0	0	0.360	0.717	0.811
BETAC-AD	AP2M	3702.O81742	3702.O23140	0	0	0	0	0.138	0.916	0.728	0.394	0.986
BETAC-AD	BETAB-AD	3702.O81742	3702.Q9SUS3	0	0	0.047	0.986	0.105	0	0.360	0.052	0.413
BETAC-AD	F12A12.60	3702.O81742	3702.Q9SNC4	0	0	0	0	0	0.258	0.592	0.098	0.703
BETAC-AD	EPSIN1	3702.O81742	3702.Q8VY07	0	0	0	0	0.048	0.258	0.592	0.098	0.705
BETAC-AD	EPSIN3	3702.O81742	3702.Q93YP4	0	0	0	0	0.069	0.258	0.592	0.098	0.711
BETAC-AD	EPSIN2	3702.O81742	3702.Q67YI9	0	0	0	0	0.076	0.258	0.592	0.098	0.714
BETAC-AD	CHC2	3702.O81742	3702.Q0WLB5	0	0	0	0	0.126	0.750	0.727	0.630	0.975
BETAC-AD	ALPHA-ADR	3702.O81742	3702.Q8LPL6	0	0	0	0.552	0.105	0.884	0.728	0.303	0.977
BETAC-AD	AP17	3702.O81742	3702.Q84WL9	0	0	0	0	0	0.931	0.759	0.399	0.989
CHC2	CLC2	3702.Q0WLB5	3702.O04209	0	0	0	0	0.059	0.237	0.540	0.929	0.973
CHC2	AP2M	3702.Q0WLB5	3702.O23140	0	0	0	0	0.109	0.311	0.755	0.864	0.976
CHC2	BETAC-AD	3702.Q0WLB5	3702.O81742	0	0	0	0	0.126	0.750	0.727	0.630	0.975
CHC2	AP17	3702.Q0WLB5	3702.Q84WL9	0	0	0	0	0	0.057	0.839	0.835	0.972
CHC2	F12A12.60	3702.Q0WLB5	3702.Q9SNC4	0	0	0	0	0	0.611	0.745	0.818	0.980
CHC2	EPSIN3	3702.Q0WLB5	3702.Q93YP4	0	0	0	0	0	0.611	0.745	0.829	0.981
CHC2	ALPHA-ADR	3702.Q0WLB5	3702.Q8LPL6	0	0	0	0	0.097	0.363	0.822	0.848	0.982
CHC2	EPSIN1	3702.Q0WLB5	3702.Q8VY07	0	0	0	0	0	0.611	0.745	0.843	0.983
CHC2	BETAB-AD	3702.Q0WLB5	3702.Q9SUS3	0	0	0	0	0.219	0.750	0.727	0.778	0.986
CHC2	EPSIN2	3702.Q0WLB5	3702.Q67YI9	0	0	0	0	0.141	0.712	0.745	0.844	0.988
CLC2	F12A12.60	3702.O04209	3702.Q9SNC4	0	0	0	0	0	0	0.540	0.242	0.636
CLC2	EPSIN1	3702.O04209	3702.Q8VY07	0	0	0	0	0	0	0.540	0.283	0.656
CLC2	EPSIN2	3702.O04209	3702.Q67YI9	0	0	0	0	0.059	0	0.540	0.323	0.681
CLC2	AP17	3702.O04209	3702.Q84WL9	0	0	0	0	0.054	0	0.360	0.541	0.697
CLC2	EPSIN3	3702.O04209	3702.Q93YP4	0	0	0	0	0	0	0.540	0.374	0.699
CLC2	BETAB-AD	3702.O04209	3702.Q9SUS3	0	0	0	0	0.063	0.230	0.360	0.540	0.759
CLC2	BETAC-AD	3702.O04209	3702.O81742	0	0	0	0	0	0	0.360	0.717	0.811
CLC2	AP2M	3702.O04209	3702.O23140	0	0	0	0	0.083	0	0.360	0.785	0.862
CLC2	ALPHA-ADR	3702.O04209	3702.Q8LPL6	0	0	0	0	0	0.292	0.540	0.785	0.923
CLC2	CHC2	3702.O04209	3702.Q0WLB5	0	0	0	0	0.059	0.237	0.540	0.929	0.973
EPSIN1	CLC2	3702.Q8VY07	3702.O04209	0	0	0	0	0	0	0.540	0.283	0.656
EPSIN1	AP2M	3702.Q8VY07	3702.O23140	0	0	0	0	0.082	0.107	0.649	0.122	0.714
EPSIN1	BETAC-AD	3702.Q8VY07	3702.O81742	0	0	0	0	0.048	0.258	0.592	0.098	0.705
EPSIN1	CHC2	3702.Q8VY07	3702.Q0WLB5	0	0	0	0	0	0.611	0.745	0.843	0.983
EPSIN1	EPSIN2	3702.Q8VY07	3702.Q67YI9	0	0	0	0.764	0.046	0	0.540	0.218	0.626
EPSIN1	AP17	3702.Q8VY07	3702.Q84WL9	0	0	0	0	0.051	0	0.728	0.215	0.779
EPSIN1	ALPHA-ADR	3702.Q8VY07	3702.Q8LPL6	0	0	0	0	0.081	0.466	0.738	0.809	0.972
EPSIN1	F12A12.60	3702.Q8VY07	3702.Q9SNC4	0	0	0	0.640	0	0	0.540	0	0.540
EPSIN1	EPSIN3	3702.Q8VY07	3702.Q93YP4	0	0	0	0.746	0	0	0.540	0.080	0.558
EPSIN1	BETAB-AD	3702.Q8VY07	3702.Q9SUS3	0	0	0	0	0.062	0.258	0.592	0.098	0.709
EPSIN2	CLC2	3702.Q67YI9	3702.O04209	0	0	0	0	0.059	0	0.540	0.323	0.681
EPSIN2	AP2M	3702.Q67YI9	3702.O23140	0	0	0	0	0.079	0.107	0.649	0.339	0.784
EPSIN2	BETAC-AD	3702.Q67YI9	3702.O81742	0	0	0	0	0.076	0.258	0.592	0.098	0.714
