#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ELF6	F17L21.32	3702.Q6BDA0	3702.F4HR62	0	0	0	0	0	0.465	0	0.077	0.485
ELF6	F4J364_ARATH	3702.Q6BDA0	3702.F4J364	0	0	0	0	0.047	0.618	0.307	0.120	0.748
ELF6	HDA19	3702.Q6BDA0	3702.O22446	0	0	0	0	0.047	0.618	0.307	0.422	0.834
ELF6	PRH	3702.Q6BDA0	3702.P48785	0	0	0	0	0	0.621	0	0.164	0.669
ELF6	HAT3.1	3702.Q6BDA0	3702.Q04996	0	0	0	0	0.055	0.884	0	0.309	0.917
ELF6	HDA17	3702.Q6BDA0	3702.Q9LXN8	0	0	0	0	0.047	0.618	0.307	0.120	0.748
ELF6	HDA10	3702.Q6BDA0	3702.Q9M1N8	0	0	0	0	0.047	0.618	0.307	0.120	0.748
ELF6	HDA7	3702.Q6BDA0	3702.Q9FH09	0	0	0	0	0.047	0.618	0.307	0.120	0.748
ELF6	HDA9	3702.Q6BDA0	3702.Q8H0W2	0	0	0	0	0.047	0.618	0.307	0.174	0.763
ELF6	HDA6	3702.Q6BDA0	3702.Q9FML2	0	0	0	0	0.047	0.618	0.307	0.339	0.811
F17L21.32	ELF6	3702.F4HR62	3702.Q6BDA0	0	0	0	0	0	0.465	0	0.077	0.485
F17L21.32	HDA17	3702.F4HR62	3702.Q9LXN8	0	0	0	0	0.054	0.322	0.239	0.085	0.493
F17L21.32	HDA9	3702.F4HR62	3702.Q8H0W2	0	0	0	0	0.054	0.322	0.239	0.085	0.493
F17L21.32	HDA19	3702.F4HR62	3702.O22446	0	0	0	0	0.054	0.322	0.239	0.085	0.493
F17L21.32	F4J364_ARATH	3702.F4HR62	3702.F4J364	0	0	0	0	0.054	0.322	0.239	0.085	0.493
F17L21.32	HDA10	3702.F4HR62	3702.Q9M1N8	0	0	0	0	0.054	0.322	0.239	0.085	0.493
F17L21.32	HDA6	3702.F4HR62	3702.Q9FML2	0	0	0	0	0.054	0.322	0.239	0.085	0.493
F17L21.32	HDA7	3702.F4HR62	3702.Q9FH09	0	0	0	0	0.083	0.322	0.239	0.085	0.509
F17L21.32	HAT3.1	3702.F4HR62	3702.Q04996	0	0	0	0	0.156	0.416	0	0.100	0.517
F17L21.32	PRH	3702.F4HR62	3702.P48785	0	0	0	0	0.156	0.416	0	0.100	0.517
F4J364_ARATH	F17L21.32	3702.F4J364	3702.F4HR62	0	0	0	0	0.054	0.322	0.239	0.085	0.493
F4J364_ARATH	PRH	3702.F4J364	3702.P48785	0	0	0	0	0.051	0.623	0	0.214	0.694
F4J364_ARATH	ELF6	3702.F4J364	3702.Q6BDA0	0	0	0	0	0.047	0.618	0.307	0.120	0.748
F4J364_ARATH	HAT3.1	3702.F4J364	3702.Q04996	0	0	0	0	0.078	0.689	0	0.214	0.755
HAT3.1	F17L21.32	3702.Q04996	3702.F4HR62	0	0	0	0	0.156	0.416	0	0.100	0.517
HAT3.1	F4J364_ARATH	3702.Q04996	3702.F4J364	0	0	0	0	0.078	0.689	0	0.214	0.755
HAT3.1	HDA19	3702.Q04996	3702.O22446	0	0	0	0	0.051	0.689	0	0.214	0.747
HAT3.1	PRH	3702.Q04996	3702.P48785	0	0	0.089	0.702	0.185	0	0	0.263	0.405
HAT3.1	HDA7	3702.Q04996	3702.Q9FH09	0	0	0	0	0.051	0.689	0	0.214	0.747
HAT3.1	HDA10	3702.Q04996	3702.Q9M1N8	0	0	0	0	0.051	0.689	0	0.214	0.747
HAT3.1	HDA17	3702.Q04996	3702.Q9LXN8	0	0	0	0	0.051	0.689	0	0.214	0.747
HAT3.1	HDA6	3702.Q04996	3702.Q9FML2	0	0	0	0	0.051	0.689	0	0.214	0.747
HAT3.1	HDA9	3702.Q04996	3702.Q8H0W2	0	0	0	0	0.066	0.689	0	0.214	0.751
HAT3.1	ELF6	3702.Q04996	3702.Q6BDA0	0	0	0	0	0.055	0.884	0	0.309	0.917
HDA10	F17L21.32	3702.Q9M1N8	3702.F4HR62	0	0	0	0	0.054	0.322	0.239	0.085	0.493
